No.,Card name,Type,Rarity
001/051,Weedle,Grass,C
002/051,Kakuna,Grass,C
003/051,Beedrill,Grass,U
004/051,Cacnea,Grass,C
005/051,Cacturne,Grass,U
006/051,Leafeon,Grass,U
007/051,Flareon,Fire,U
008/051,Reshiram,Fire,R
009/051,Vaporeon,Water,U
010/051,Wooper,Water,C
011/051,Quagsire,Water,U
012/051,Vanillite,Water,C
013/051,Vanillish,Water,C
014/051,Vanilluxe,Water,U
015/051,Cryogonal,Water,U
016/051,Kyurem,Water,R
017/051,Voltorb,Lightning,C
018/051,Electrode,Lightning,R
019/051,Pachirisu,Lightning,C
020/051,ThundurusEX,Lightning,R
021/051,Nidoran♂,Psychic,C
022/051,Nidorino,Psychic,C
023/051,Grimer,Psychic,C
024/051,Muk,Psychic,U
025/051,Beldum,Psychic,C
026/051,Metang,Psychic,C
027/051,Metagross,Psychic,R
028/051,Nidoking,Fighting,U
029/051,Makuhita,Fighting,C
030/051,Hariyama,Fighting,C
031/051,Umbreon,Darkness,R
032/051,Pawniard,Darkness,C
033/051,Bisharp,Darkness,U
034/051,Deino,Darkness,C
035/051,Zweilous,Darkness,C
036/051,Hydreigon,Darkness,R
037/051,Mawile,Metal,C
038/051,Dratini,Dragon,C
039/051,Dragonair,Dragon,C
040/051,Dragonite,Dragon,R
041/051,LatiasEX,Dragon,R
042/051,Eevee,Colorless,C
043/051,Starly,Colorless,C
044/051,Staravia,Colorless,C
045/051,Staraptor,Colorless,U
046/051,TornadusEX,Colorless,R
047/051,Team Plasma Ball,I,U
048/051,Float Stone,I,U
049/051,Shadow Triad,Su,U
050/051,Life Dew,I,R
051/051,Plasma Energy,Colorless E,U
052/051,ThundurusEX,Lightning,SR
053/051,LatiasEX,Dragon,SR
054/051,TornadusEX,Colorless,SR
055/051,Professor Juniper,Su,SR
056/051,Garbodor,Psychic,UR
057/051,Garchomp,Dragon,UR
058/051,Max Potion,I,UR
