No.,Card name,Type,Rarity
001/060,Weedle,Grass,C
002/060,Kakuna,Grass,C
003/060,Beedrill,Grass,U
004/060,Ledyba,Grass,C
005/060,Ledian,Grass,U
006/060,Illumise,Grass,C
007/060,Chespin,Grass,C
008/060,Quilladin,Grass,U
009/060,Chesnaught,Grass,R
010/060,Pansear,Fire,C
011/060,Simisear,Fire,C
012/060,Fletchinder,Fire,C
013/060,Talonflame,Fire,R
014/060,BlastoiseEX,Water,RR
015/060,MegaBlastoiseEX,Water,RR
016/060,Shellder,Water,C
017/060,Cloyster,Water,U
018/060,Lapras,Water,R
019/060,Panpour,Water,C
020/060,Simipour,Water,C
021/060,Voltorb,Lightning,C
022/060,Electrode,Lightning,C
023/060,EmolgaEX,Lightning,RR
024/060,Venipede,Psychic,C
025/060,Whirlipede,Psychic,C
026/060,Scolipede,Psychic,U
027/060,Pumpkaboo,Psychic,C
028/060,Gourgeist,Psychic,R
029/060,Diglett,Fighting,C
030/060,Dugtrio,Fighting,U
031/060,Rhyhorn,Fighting,C
032/060,Rhydon,Fighting,U
033/060,Rhyperior,Fighting,R
034/060,Solrock,Fighting,C
035/060,Inkay,Darkness,C
036/060,Malamar,Darkness,U
037/060,YveltalEX,Darkness,RR
038/060,Honedge,Metal,C
039/060,Doublade,Metal,C
040/060,Aegislash,Metal,U
041/060,Aegislash,Metal,R
042/060,Jigglypuff,Fairy,C
043/060,Wigglytuff,Fairy,U
044/060,Spritzee,Fairy,C
045/060,Aromatisse,Fairy,R
046/060,Doduo,Colorless,C
047/060,Dodrio,Colorless,C
048/060,Skitty,Colorless,C
049/060,Delcatty,Colorless,U
050/060,Bidoof,Colorless,C
051/060,Bibarel,Colorless,C
052/060,Fletchling,Colorless,C
053/060,Furfrou,Colorless,R
054/060,Super Potion,I,U
055/060,Professor's Letter,I,U
056/060,Red Card,I,U
057/060,Hard Charm,I,U
058/060,Cassius,Su,U
059/060,Tierno,Su,U
060/060,Double Colorless Energy,Colorless E,U
061/060,BlastoiseEX,Water,SR
062/060,EmolgaEX,Lightning,SR
063/060,YveltalEX,Darkness,SR
