No.,Card name,Type,Rarity
001/080,Caterpie,Grass,C
002/080,Metapod,Grass,C
003/080,Butterfree,Grass,U
004/080,Pineco,Grass,C
005/080,Seedot,Grass,C
006/080,Nuzleaf,Grass,C
007/080,Shiftry,Grass,R
008/080,Roselia,Grass,C
009/080,Roserade,Grass,U
010/080,Maractus,Grass,C
011/080,CharizardEX,Fire,RR
012/080,Ponyta,Fire,C
013/080,Rapidash,Fire,U
014/080,Litleo,Fire,C
015/080,Pyroar,Fire,R
016/080,Qwilfish,Water,C
017/080,Feebas,Water,C
018/080,Milotic,Water,R
019/080,Spheal,Water,C
020/080,Sealeo,Water,C
021/080,Walrein,Water,U
022/080,Luvdisc,Water,C
023/080,Buizel,Water,C
024/080,Floatzel,Water,U
025/080,Bergmite,Water,C
026/080,Avalugg,Water,U
027/080,Shinx,Lightning,C
028/080,Luxio,Lightning,C
029/080,Luxray,Lightning,U
030/080,MagnezoneEX,Lightning,RR
031/080,Helioptile,Lightning,C
032/080,Heliolisk,Lightning,R
033/080,Duskull,Psychic,C
034/080,Dusclops,Psychic,C
035/080,Dusknoir,Psychic,R
036/080,ToxicroakEX,Psychic,RR
037/080,Espurr,Psychic,C
038/080,Meowstic,Psychic,R
039/080,Skrelp,Psychic,C
040/080,Geodude,Fighting,C
041/080,Graveler,Fighting,C
042/080,Golem,Fighting,U
043/080,Binacle,Fighting,C
044/080,Barbaracle,Fighting,U
045/080,Sneasel,Darkness,C
046/080,Weavile,Darkness,U
047/080,Stunky,Darkness,C
048/080,Skuntank,Darkness,U
049/080,Forretress,Metal,U
050/080,Durant,Metal,C
051/080,Flabébé,Fairy,C
052/080,Floette,Fairy,C
053/080,Florges,Fairy,R
054/080,Carbink,Fairy,R
055/080,MegaCharizardEX,Dragon,RR
056/080,Druddigon,Dragon,R
057/080,Dragalge,Dragon,U
058/080,Goomy,Dragon,C
059/080,Sliggoo,Dragon,C
060/080,Goodra,Dragon,R
061/080,Pidgey,Colorless,C
062/080,Pidgeotto,Colorless,C
063/080,Pidgeot,Colorless,U
064/080,KangaskhanEX,Colorless,RR
065/080,MegaKangaskhanEX,Colorless,RR
066/080,Snorlax,Colorless,U
067/080,Sentret,Colorless,C
068/080,Furret,Colorless,C
069/080,Miltank,Colorless,U
070/080,Buneary,Colorless,C
071/080,Lopunny,Colorless,U
072/080,Trick Shovel,I,U
073/080,Sacred Ash,I,U
074/080,Startling Megaphone,I,U
075/080,Fiery Torch,I,U
076/080,Protection Cube,I,U
077/080,Lysandre,Su,U
078/080,Pokémon Center Lady,Su,U
079/080,Pokémon Fan Club,Su,U
080/080,Magnetic Storm,St,U
081/080,CharizardEX,Fire,SR
082/080,MagnezoneEX,Lightning,SR
083/080,ToxicroakEX,Psychic,SR
084/080,KangaskhanEX,Colorless,SR
085/080,Lysandre,Su,SR
086/080,Pokémon Center Lady,Su,SR
087/080,Pokémon Fan Club,Su,SR
088/080,MegaCharizardEX,Fire,UR
089/080,MegaCharizardEX,Dragon,UR
090/080,MegaKangaskhanEX,Colorless,UR
