No.,Card name,Type,Rarity
001/081,Oddish,Grass,C
002/081,Gloom,Grass,C
003/081,Vileplume,Grass,U
004/081,Bellossom,Grass,C
005/081,Spinarak,Grass,C
006/081,Ariados,Grass,C
007/081,SceptileEX,Grass,RR
008/081,MegaSceptileEX,Grass,RR
009/081,Combee,Grass,C
010/081,Vespiquen,Grass,C
011/081,Vespiquen,Grass,C
012/081,Virizion,Grass,R
013/081,Flareon,Fire,C
014/081,Entei,Fire,U
015/081,Entei,Fire,R
016/081,Larvesta,Fire,C
017/081,Volcarona,Fire,R
018/081,Volcarona,Fire,U
019/081,Magikarp,Water,C
020/081,Gyarados,Water,U
021/081,Gyarados,Water,R
022/081,Vaporeon,Water,C
023/081,Relicanth,Water,C
024/081,Regice,Water,U
025/081,KyuremEX,Water,RR
026/081,Jolteon,Lightning,R
027/081,AmpharosEX,Lightning,RR
028/081,MegaAmpharosEX,Lightning,RR
029/081,Rotom,Lightning,C
030/081,Unown,Psychic,C
031/081,Baltoy,Psychic,C
032/081,Baltoy,Psychic,C
033/081,Claydol,Psychic,U
034/081,Golett,Psychic,C
035/081,Golurk,Psychic,U
036/081,HoopaEX,Psychic,RR
037/081,MachampEX,Fighting,RR
038/081,Wooper,Fighting,C
039/081,Quagsire,Fighting,C
040/081,Regirock,Fighting,U
041/081,Golurk,Fighting,C
042/081,TyranitarEX,Darkness,RR
043/081,MegaTyranitarEX,Darkness,RR
044/081,Sableye,Darkness,C
045/081,Inkay,Darkness,C
046/081,Malamar,Darkness,C
047/081,Beldum,Metal,C
048/081,Metang,Metal,C
049/081,Metagross,Metal,R
050/081,Metagross,Metal,U
051/081,Registeel,Metal,U
052/081,Ralts,Fairy,C
053/081,Kirlia,Fairy,C
054/081,Gardevoir,Fairy,R
055/081,Cottonee,Fairy,C
056/081,Whimsicott,Fairy,C
057/081,GiratinaEX,Dragon,RR
058/081,Goomy,Dragon,C
059/081,Sliggoo,Dragon,C
060/081,Goodra,Dragon,R
061/081,Meowth,Colorless,C
062/081,Persian,Colorless,C
063/081,Eevee,Colorless,C
064/081,Porygon,Colorless,C
065/081,Porygon2,Colorless,C
066/081,Porygon-Z,Colorless,U
067/081,Porygon-Z,Colorless,R
068/081,LugiaEX,Colorless,RR
069/081,Eco Arm,I,U
070/081,Paint Roller,I,U
071/081,Level Ball,I,U
072/081,Lucky Helmet,I,U
073/081,Sceptile Spirit Link,I,U
074/081,Ampharos Spirit Link,I,U
075/081,Tyranitar Spirit Link,I,U
076/081,Ace Trainer,Su,U
077/081,Hex Maniac,Su,U
078/081,Faded Town,St,U
079/081,Forest of Giant Plants,St,U
080/081,Flash Energy,Lightning E,U
081/081,Dangerous Energy,Darkness E,U
082/081,SceptileEX,Grass,SR
083/081,MegaSceptileEX,Grass,SR
084/081,KyuremEX,Water,SR
085/081,AmpharosEX,Lightning,SR
086/081,MegaAmpharosEX,Lightning,SR
087/081,HoopaEX,Psychic,SR
088/081,MachampEX,Fighting,SR
089/081,TyranitarEX,Darkness,SR
090/081,MegaTyranitarEX,Darkness,SR
091/081,GiratinaEX,Dragon,SR
092/081,LugiaEX,Colorless,SR
093/081,Primal KyogreEX,Water,UR
094/081,Primal GroudonEX,Fighting,UR
095/081,MegaRayquazaEX,Colorless,UR
096/081,Energy Retrieval,I,UR
097/081,Trainers' Mail,I,UR
