No.,Mark,Card name,Type,Rarity
001/060,A,Pinsir,Grass,C
002/060,A,Surskit,Grass,C
003/060,A,Masquerain,Grass,U
004/060,A,Grubbin,Grass,C
005/060,A,Fomantis,Grass,C
006/060,A,LurantisGX,Grass,RR
007/060,A,Morelull,Grass,C
008/060,A,Shiinotic,Grass,R
009/060,A,Poliwag,Water,C
010/060,A,Poliwhirl,Water,U
011/060,A,Poliwrath,Water,R
012/060,A,Corsola,Water,C
013/060,A,Wingull,Water,C
014/060,A,Pelipper,Water,C
015/060,A,Crabominable,Water,U
016/060,A,Bruxish,Water,C
017/060,A,Chinchou,Lightning,C
018/060,A,Lanturn,Lightning,U
019/060,A,Charjabug,Lightning,U
020/060,A,Vikavolt,Lightning,R
021/060,A,Togedemaru,Lightning,C
022/060,A,Alolan Grimer,Psychic,C
023/060,A,Alolan Muk,Psychic,R
024/060,A,Drowzee,Psychic,C
025/060,A,Hypno,Psychic,C
026/060,A,Cosmog,Psychic,C
027/060,A,Cosmoem,Psychic,U
028/060,A,LunalaGX,Psychic,RR
029/060,A,Roggenrola,Fighting,C
030/060,A,Boldore,Fighting,U
031/060,A,Gigalith,Fighting,R
032/060,A,Crabrawler,Fighting,C
033/060,A,Sandygast,Fighting,C
034/060,A,Palossand,Fighting,U
035/060,A,Alolan Rattata,Darkness,C
036/060,A,Alolan Raticate,Darkness,U
037/060,A,UmbreonGX,Darkness,RR
038/060,A,Carvanha,Darkness,C
039/060,A,Sharpedo,Darkness,R
040/060,A,Snubbull,Fairy,C
041/060,A,Granbull,Fairy,C
042/060,A,Dratini,Dragon,C
043/060,A,Dragonair,Dragon,U
044/060,A,Dragonite,Dragon,R
045/060,A,Spearow,Colorless,C
046/060,A,Fearow,Colorless,C
047/060,A,TaurosGX,Colorless,RR
048/060,A,Eevee,Colorless,C
049/060,A,Pikipek,Colorless,C
050/060,A,Trumbeak,Colorless,C
051/060,A,Toucannon,Colorless,U
052/060,A,Oranguru,Colorless,R
053/060,A,Energy Retrieval,I,U
054/060,A,Big Malasada,I,U
055/060,A,Nest Ball,I,U
056/060,A,Switch,I,U
057/060,A,Poison Barb,I,U
058/060,A,Team Skull Grunt,Su,U
059/060,A,Lillie,Su,U
060/060,A,Rainbow Energy,Colorless E,U
061/060,A,LurantisGX,Grass,SR
062/060,A,LunalaGX,Psychic,SR
063/060,A,UmbreonGX,Darkness,SR
064/060,A,TaurosGX,Colorless,SR
065/060,A,Team Skull Grunt,Su,SR
066/060,A,Lillie,Su,SR
067/060,A,LurantisGX,Grass,HR
068/060,A,LunalaGX,Psychic,HR
069/060,A,UmbreonGX,Darkness,HR
070/060,A,TaurosGX,Colorless,HR
071/060,A,Nest Ball,I,UR
072/060,A,Switch,I,UR
073/060,—,Psychic Energy,Psychic E,UR
