No.,Mark,Card name,Type,Rarity
001/051,A,Rowlet,Grass,—
002/051,A,Dartrix,Grass,—
003/051,A,DecidueyeGX,Grass,RR
004/051,A,Grubbin,Grass,—
005/051,A,Fomantis,Grass,—
006/051,A,Lurantis,Grass,—
007/051,A,Litten,Fire,—
008/051,A,Torracat,Fire,—
009/051,A,IncineroarGX,Fire,RR
010/051,A,Oricorio,Fire,—
011/051,A,Poliwag,Water,—
012/051,A,Poliwhirl,Water,—
013/051,A,Politoed,Water,—
014/051,A,Popplio,Water,—
015/051,A,Brionne,Water,—
016/051,A,PrimarinaGX,Water,RR
017/051,A,Dewpider,Water,—
018/051,A,Araquanid,Water,—
019/051,A,Pyukumuku,Water,—
020/051,A,Charjabug,Lightning,—
021/051,A,VikavoltGX,Lightning,RR
022/051,A,Oricorio,Lightning,—
023/051,A,Oricorio,Psychic,—
024/051,A,Oricorio,Psychic,—
025/051,A,Mareanie,Psychic,—
026/051,A,ToxapexGX,Psychic,RR
027/051,A,Cosmog,Psychic,—
028/051,A,Cosmoem,Psychic,—
029/051,A,Lunala,Psychic,—
030/051,A,Sudowoodo,Fighting,—
031/051,A,Mudbray,Fighting,—
032/051,A,Mudsdale,Fighting,—
033/051,A,Passimian,Fighting,—
034/051,A,Sandygast,Fighting,—
035/051,A,Palossand,Fighting,—
036/051,A,Alolan Rattata,Darkness,—
037/051,A,Alolan Raticate,Darkness,—
038/051,A,Absol,Darkness,—
039/051,A,Solgaleo,Metal,—
040/051,A,SylveonGX,Fairy,RR
041/051,A,Eevee,Colorless,—
042/051,A,DrampaGX,Colorless,RR
043/051,A,Energy Recycler,I,—
044/051,A,Enhanced Hammer,I,—
045/051,A,Ultra Ball,I,—
046/051,A,Rare Candy,I,—
047/051,A,Multi Switch,I,—
048/051,A,Max Potion,I,—
049/051,A,Choice Band,I,—
050/051,A,Altar of the Moone,St,—
051/051,A,Altar of the Sunne,St,—
052/051,A,DecidueyeGX,Grass,SR
053/051,A,IncineroarGX,Fire,SR
054/051,A,PrimarinaGX,Water,SR
055/051,A,VikavoltGX,Lightning,SR
056/051,A,ToxapexGX,Psychic,SR
057/051,A,SylveonGX,Fairy,SR
058/051,A,DrampaGX,Colorless,SR
059/051,A,DecidueyeGX,Grass,HR
060/051,A,IncineroarGX,Fire,HR
061/051,A,PrimarinaGX,Water,HR
062/051,A,VikavoltGX,Lightning,HR
063/051,A,ToxapexGX,Psychic,HR
064/051,A,SylveonGX,Fairy,HR
065/051,A,DrampaGX,Colorless,HR
066/051,A,Rare Candy,I,UR
067/051,A,Double Colorless Energy,Colorless E,UR
068/051,—,Grass Energy,Grass E,UR
—,—,Grass Energy,Grass E,—
—,—,Fire Energy,Fire E,—
—,—,Psychic Energy,Psychic E,—
—,—,Metal Energy,Metal E,—
—,—,Fairy Energy,Fairy E,—
