No.,Mark,Card name,Type,Rarity
001/050,A,Bellsprout,Grass,C
002/050,A,Weepinbell,Grass,C
003/050,A,Victreebel,Grass,U
004/050,A,Petilil,Grass,C
005/050,A,Lilligant,Grass,C
006/050,A,Wimpod,Grass,C
007/050,A,Golisopod,Grass,R
008/050,A,Victini,Fire,R
009/050,A,TurtonatorGX,Fire,RR
010/050,A,Alolan Sandshrew,Water,C
011/050,A,Alolan Sandslash,Water,U
012/050,A,Alolan Vulpix,Water,C
013/050,A,Alolan NinetalesGX,Water,RR
014/050,A,Delibird,Water,C
015/050,A,Snorunt,Water,C
016/050,A,Glalie,Water,U
017/050,A,Vanillite,Water,C
018/050,A,Vanillish,Water,C
019/050,A,Vanilluxe,Water,U
020/050,A,Helioptile,Lightning,C
021/050,A,Heliolisk,Lightning,U
022/050,A,Tapu KokoGX,Lightning,RR
023/050,A,Slowpoke,Psychic,C
024/050,A,Slowbro,Psychic,U
025/050,A,Gothita,Psychic,C
026/050,A,Gothorita,Psychic,C
027/050,A,Gothitelle,Psychic,U
028/050,A,Machop,Fighting,C
029/050,A,Machoke,Fighting,U
030/050,A,Machamp,Fighting,R
031/050,A,Nosepass,Fighting,C
032/050,A,Barboach,Fighting,C
033/050,A,Whiscash,Fighting,U
034/050,A,Probopass,Metal,U
035/050,A,Clefairy,Fairy,C
036/050,A,Clefable,Fairy,C
037/050,A,Comfey,Fairy,R
038/050,A,Drampa,Dragon,R
039/050,A,Jangmo-o,Dragon,C
040/050,A,Hakamo-o,Dragon,C
041/050,A,Kommo-oGX,Dragon,RR
042/050,A,Chansey,Colorless,C
043/050,A,Blissey,Colorless,R
044/050,A,Taillow,Colorless,C
045/050,A,Swellow,Colorless,U
046/050,A,Komala,Colorless,U
047/050,A,Energy Loto,I,U
048/050,A,Field Blower,I,U
049/050,A,Hala,Su,U
050/050,A,Aether Paradise Conservation Area,St,U
051/050,A,TurtonatorGX,Fire,SR
052/050,A,Alolan NinetalesGX,Water,SR
053/050,A,Tapu KokoGX,Lightning,SR
054/050,A,Kommo-oGX,Dragon,SR
055/050,A,Hala,Su,SR
056/050,A,TurtonatorGX,Fire,HR
057/050,A,Alolan NinetalesGX,Water,HR
058/050,A,Tapu KokoGX,Lightning,HR
059/050,A,Kommo-oGX,Dragon,HR
060/050,A,Field Blower,I,UR
061/050,A,Max Potion,I,UR
062/050,—,Lightning Energy,Lightning E,UR
