No.,Mark,Card name,Type,Rarity
001/095,C,Celebi & VenusaurTag Team GX,Grass,RR
002/095,C,Weedle,Grass,C
003/095,C,Weedle,Grass,C
004/095,C,Kakuna,Grass,C
005/095,C,Beedrill,Grass,U
006/095,C,Paras,Grass,C
007/095,C,Parasect,Grass,U
008/095,C,Exeggcute,Grass,C
009/095,C,Pinsir,Grass,U
010/095,C,Charmander,Fire,C
011/095,C,Charmander,Fire,C
012/095,C,Charmeleon,Fire,C
013/095,C,Charizard,Fire,R
014/095,C,Vulpix,Fire,C
015/095,C,Ninetales,Fire,U
016/095,C,Ponyta,Fire,C
017/095,C,Rapidash,Fire,C
018/095,C,Moltres,Fire,R
019/095,C,Magikarp & WailordTag Team GX,Water,RR
020/095,C,Squirtle,Water,C
021/095,C,Squirtle,Water,C
022/095,C,Wartortle,Water,C
023/095,C,Blastoise,Water,R
024/095,C,Psyduck,Water,C
025/095,C,Golduck,Water,C
026/095,C,Staryu,Water,C
027/095,C,Magikarp,Water,C
028/095,C,Gyarados,Water,R
029/095,C,Lapras,Water,U
030/095,C,Articuno,Water,R
031/095,C,Pikachu & ZekromTag Team GX,Lightning,RR
032/095,C,Alolan Geodude,Lightning,C
033/095,C,Alolan Geodude,Lightning,C
034/095,C,Alolan Graveler,Lightning,C
035/095,C,Alolan Golem,Lightning,U
036/095,C,Voltorb,Lightning,C
037/095,C,Electrode,Lightning,R
038/095,C,Gengar & MimikyuTag Team GX,Psychic,RR
039/095,C,Nidoran♀,Psychic,C
040/095,C,Nidorina,Psychic,C
041/095,C,Nidoqueen,Psychic,U
042/095,C,Nidoran♂,Psychic,C
043/095,C,Nidorino,Psychic,C
044/095,C,Nidoking,Psychic,U
045/095,C,Tentacool,Psychic,C
046/095,C,Tentacruel,Psychic,C
047/095,C,Grimer,Psychic,C
048/095,C,Muk,Psychic,U
049/095,C,Starmie,Psychic,U
050/095,C,Mr. Mime,Psychic,U
051/095,C,Jynx,Psychic,C
052/095,C,Mankey,Fighting,C
053/095,C,Primeape,Fighting,U
054/095,C,Hitmonlee,Fighting,C
055/095,C,Hitmonchan,Fighting,C
056/095,C,Omanyte,Fighting,U
057/095,C,Omastar,Fighting,R
058/095,C,Kabuto,Fighting,U
059/095,C,Kabutops,Fighting,U
060/095,C,Latias & LatiosTag Team GX,Dragon,RR
061/095,C,Alolan Exeggutor,Dragon,U
062/095,C,Dratini,Dragon,C
063/095,C,Dratini,Dragon,C
064/095,C,Dragonair,Dragon,C
065/095,C,Dragonite,Dragon,R
066/095,C,Eevee & SnorlaxTag Team GX,Colorless,RR
067/095,C,Pidgey,Colorless,C
068/095,C,Pidgey,Colorless,C
069/095,C,Pidgeotto,Colorless,C
070/095,C,Pidgeot,Colorless,U
071/095,C,Meowth,Colorless,C
072/095,C,Persian,Colorless,C
073/095,C,Farfetch'd,Colorless,C
074/095,C,Kangaskhan,Colorless,U
075/095,C,Tauros,Colorless,U
076/095,C,Aerodactyl,Colorless,U
077/095,A,Escape Rope,I,U
078/095,C,Judge Whistle,I,U
079/095,B,Unidentified Fossil,I,C
080/095,A,Ultra Ball,I,U
081/095,A,Rare Candy,I,U
082/095,C,Pokémon Communication,I,U
083/095,C,Buff Padding,I,U
084/095,C,Erika's Hospitality,Su,R
085/095,B,Judge,Su,U
086/095,B,Cynthia,Su,U
087/095,C,Brock's Grit,Su,U
088/095,C,Sabrina's Suggestion,Su,U
089/095,C,Bill's Analysis,Su,R
090/095,C,Lavender Town,St,U
091/095,C,Viridian Forest,St,U
092/095,A,Aqua Patch,I,TR
093/095,A,Field Blower,I,TR
094/095,A,Choice Band,I,TR
095/095,B,Volkner,Su,TR
096/095,C,Celebi & VenusaurTag Team GX,Grass,SR
097/095,C,Celebi & VenusaurTag Team GX,Grass,SR
098/095,C,Magikarp & WailordTag Team GX,Water,SR
099/095,C,Magikarp & WailordTag Team GX,Water,SR
100/095,C,Pikachu & ZekromTag Team GX,Lightning,SR
101/095,C,Pikachu & ZekromTag Team GX,Lightning,SR
102/095,C,Gengar & MimikyuTag Team GX,Psychic,SR
103/095,C,Gengar & MimikyuTag Team GX,Psychic,SR
104/095,C,Latias & LatiosTag Team GX,Dragon,SR
105/095,C,Latias & LatiosTag Team GX,Dragon,SR
106/095,C,Eevee & SnorlaxTag Team GX,Colorless,SR
107/095,C,Erika's Hospitality,Su,SR
108/095,C,Brock's Grit,Su,SR
109/095,C,Sabrina's Suggestion,Su,SR
110/095,C,Celebi & VenusaurTag Team GX,Grass,HR
111/095,C,Magikarp & WailordTag Team GX,Water,HR
112/095,C,Pikachu & ZekromTag Team GX,Lightning,HR
113/095,C,Gengar & MimikyuTag Team GX,Psychic,HR
114/095,C,Latias & LatiosTag Team GX,Dragon,HR
115/095,C,Eevee & SnorlaxTag Team GX,Colorless,HR
116/095,C,Pokémon Communication,I,UR
117/095,C,Judge Whistle,I,UR
118/095,A,Brooklet Hill,St,UR
