No.,Mark,Card name,Type,Rarity
001/054,C,Karrablast,Grass,C
002/054,C,Magmar,Fire,C
003/054,C,Magmortar,Fire,U
004/054,C,HeatranGX,Fire,RR
005/054,C,Litwick,Fire,C
006/054,C,Lampent,Fire,C
007/054,C,Chandelure,Fire,R
008/054,C,Raichu & Alolan RaichuTag Team GX,Lightning,RR
009/054,C,Pikachu,Lightning,C
010/054,C,Alolan Raichu,Lightning,R
011/054,C,Stunfisk,Lightning,C
012/054,C,Thundurus,Lightning,C
013/054,C,Alolan Marowak,Psychic,U
014/054,C,Drifloon,Psychic,C
015/054,C,Drifblim,Psychic,U
016/054,C,Giratina,Psychic,R
017/054,C,Munna,Psychic,C
018/054,C,Musharna,Psychic,C
019/054,C,Cubone,Fighting,C
020/054,C,Meditite,Fighting,C
021/054,C,Medicham,Fighting,U
022/054,C,Gible,Fighting,C
023/054,C,Gabite,Fighting,C
024/054,C,Garchomp,Fighting,R
025/054,C,Riolu,Fighting,C
026/054,C,Lucario,Fighting,U
027/054,C,Meloetta,Fighting,U
028/054,C,Zygarde,Fighting,U
029/054,C,Hoopa,Darkness,R
030/054,C,MawileGX,Metal,RR
031/054,C,Escavalier,Metal,U
032/054,C,Garchomp & GiratinaTag Team GX,Dragon,RR
033/054,C,Latias,Dragon,U
034/054,C,Axew,Dragon,C
035/054,C,Fraxure,Dragon,C
036/054,C,Haxorus,Dragon,R
037/054,C,Kangaskhan,Colorless,R
038/054,C,Bidoof,Colorless,C
039/054,C,Bibarel,Colorless,C
040/054,C,Munchlax,Colorless,C
041/054,C,Pidove,Colorless,C
042/054,C,Tranquill,Colorless,C
043/054,C,Unfezant,Colorless,U
044/054,C,Tornadus,Colorless,C
045/054,C,Tag Switch,I,U
046/054,C,Reset Stamp,I,U
047/054,C,Karate Belt,I,U
048/054,C,Grimsley,Su,U
049/054,C,Coach Trainer,Su,U
050/054,C,Giant Hearth,St,U
051/054,A,Escape Rope,I,TR
052/054,A,Nest Ball,I,TR
053/054,A,Rotom Dex,I,TR
054/054,B,Tate & Liza,Su,TR
055/054,C,HeatranGX,Fire,SR
056/054,C,Raichu & Alolan RaichuTag Team GX,Lightning,SR
057/054,C,Raichu & Alolan RaichuTag Team GX,Lightning,SR
058/054,C,MawileGX,Metal,SR
059/054,C,Garchomp & GiratinaTag Team GX,Dragon,SR
060/054,C,Garchomp & GiratinaTag Team GX,Dragon,SR
061/054,C,Grimsley,Su,SR
062/054,C,Coach Trainer,Su,SR
063/054,C,HeatranGX,Fire,HR
064/054,C,Raichu & Alolan RaichuTag Team GX,Lightning,HR
065/054,C,MawileGX,Metal,HR
066/054,C,Garchomp & GiratinaTag Team GX,Dragon,HR
067/054,C,Tag Switch,I,UR
068/054,C,Reset Stamp,I,UR
069/054,C,Karate Belt,I,UR
