No.,Mark,Card name,Type,Rarity
001/054,C,Rowlet & Alolan ExeggutorTag Team GX,Grass,RR
002/054,C,Dwebble,Grass,C
003/054,C,Crustle,Grass,U
004/054,C,Fomantis,Grass,C
005/054,C,Lurantis,Grass,C
006/054,C,Bounsweet,Grass,C
007/054,C,Steenee,Grass,C
008/054,C,Tsareena,Grass,R
009/054,C,Numel,Fire,C
010/054,C,Camerupt,Fire,U
011/054,C,Victini,Fire,R
012/054,C,Fletchinder,Fire,C
013/054,C,Talonflame,Fire,U
014/054,C,Snorunt,Water,C
015/054,C,Froslass,Water,R
016/054,C,Snover,Water,C
017/054,C,Abomasnow,Water,U
018/054,C,Cryogonal,Water,C
019/054,C,KeldeoGX,Water,RR
020/054,C,Tapu Fini,Water,U
021/054,C,Magnemite,Lightning,C
022/054,C,Magneton,Lightning,C
023/054,C,Magnezone,Lightning,R
024/054,C,Xurkitree,Lightning,U
025/054,C,Ekans,Psychic,C
026/054,C,Arbok,Psychic,U
027/054,C,Koffing,Psychic,C
028/054,C,Weezing,Psychic,U
029/054,C,Uxie,Psychic,R
030/054,C,Mesprit,Psychic,C
031/054,C,Azelf,Psychic,C
032/054,C,Poipole,Psychic,C
033/054,C,Druddigon,Dragon,C
034/054,C,NaganadelGX,Dragon,RR
035/054,C,Moltres & Zapdos & ArticunoTag Team GX,Colorless,RR
036/054,C,Lickitung,Colorless,C
037/054,C,Lickilicky,Colorless,U
038/054,C,Hoothoot,Colorless,C
039/054,C,Noctowl,Colorless,C
040/054,C,Audino,Colorless,U
041/054,C,Fletchling,Colorless,C
042/054,C,Type: Null,Colorless,C
043/054,C,Silvally,Colorless,R
044/054,C,Normalium Z: Tackle,I,U
045/054,C,Flyinium Z: Air Slash,I,U
046/054,C,U-Turn Board,I,U
047/054,C,Poké Maniac,Su,U
048/054,C,Jessie & James,Su,R
049/054,C,Blizzard Town,St,U
050/054,C,Recycle Energy,Colorless E,U
051/054,B,Net Ball,I,TR
052/054,A,Gladion,Su,TR
053/054,A,Lillie,Su,TR
054/054,A,Lusamine,Su,TR
055/054,C,Rowlet & Alolan ExeggutorTag Team GX,Grass,SR
056/054,C,Rowlet & Alolan ExeggutorTag Team GX,Grass,SR
057/054,C,KeldeoGX,Water,SR
058/054,C,NaganadelGX,Dragon,SR
059/054,C,Moltres & Zapdos & ArticunoTag Team GX,Colorless,SR
060/054,C,Moltres & Zapdos & ArticunoTag Team GX,Colorless,SR
061/054,C,Poké Maniac,Su,SR
062/054,C,Jessie & James,Su,SR
063/054,C,Rowlet & Alolan ExeggutorTag Team GX,Grass,HR
064/054,C,KeldeoGX,Water,HR
065/054,C,NaganadelGX,Dragon,HR
066/054,C,Moltres & Zapdos & ArticunoTag Team GX,Colorless,HR
067/054,C,U-Turn Board,I,UR
068/054,C,Viridian Forest,St,UR
069/054,C,Recycle Energy,Colorless E,UR
