No.,Mark,Card name,Type,Rarity
001/070,D,ButterfreeV,Grass,RR
002/070,D,ButterfreeVMAX,Grass,RRR
003/070,D,Karrablast,Grass,C
004/070,D,Shelmet,Grass,C
005/070,D,Accelgor,Grass,U
006/070,D,Bounsweet,Grass,C
007/070,D,Steenee,Grass,C
008/070,D,Tsareena,Grass,U
009/070,D,Wimpod,Grass,C
010/070,D,Golisopod,Grass,R
011/070,D,Heatran,Fire,R
012/070,D,Larvesta,Fire,C
013/070,D,Volcarona,Fire,U
014/070,D,Fletchinder,Fire,C
015/070,D,Talonflame,Fire,U
016/070,D,CentiskorchV,Fire,RR
017/070,D,CentiskorchVMAX,Fire,RRR
018/070,D,Galarian Mr. Mime,Water,C
019/070,D,Galarian Mr. Rime,Water,U
020/070,D,Feebas,Water,C
021/070,D,Milotic,Water,R
022/070,D,Cubchoo,Water,C
023/070,D,Beartic,Water,U
024/070,D,Wishiwashi,Water,C
025/070,D,VikavoltV,Lightning,RR
026/070,D,Toxel,Lightning,C
027/070,D,Toxtricity,Lightning,R
028/070,D,Snubbull,Psychic,C
029/070,D,Granbull,Psychic,U
030/070,D,GardevoirV,Psychic,RR
031/070,D,GardevoirVMAX,Psychic,RRR
032/070,D,Lunatone,Psychic,U
033/070,D,Dedenne,Psychic,C
034/070,D,Morelull,Psychic,C
035/070,D,Shiinotic,Psychic,U
036/070,D,Sinistea,Psychic,C
037/070,D,Polteageist,Psychic,U
038/070,D,Diglett,Fighting,C
039/070,D,Dugtrio,Fighting,C
040/070,D,Larvitar,Fighting,C
041/070,D,Pupitar,Fighting,C
042/070,D,Tyranitar,Fighting,R
043/070,D,Solrock,Fighting,U
044/070,D,Diggersby,Fighting,U
045/070,D,GrapploctV,Fighting,RR
046/070,D,Grimer,Darkness,C
047/070,D,Muk,Darkness,U
048/070,D,Darkrai,Darkness,R
049/070,D,Purrloin,Darkness,C
050/070,D,Liepard,Darkness,U
051/070,D,Aron,Metal,C
052/070,D,Lairon,Metal,C
053/070,D,Aggron,Metal,R
054/070,D,Escavalier,Metal,U
055/070,D,Galarian StunfiskV,Metal,RR
056/070,D,Sentret,Colorless,C
057/070,D,Furret,Colorless,C
058/070,D,Bunnelby,Colorless,C
059/070,D,Fletchling,Colorless,C
060/070,D,Rookidee,Colorless,C
061/070,D,Corvisquire,Colorless,C
062/070,D,Corviknight,Colorless,R
063/070,D,Suspicious Food Tin,I,U
064/070,D,Familiar Bell,I,U
065/070,D,Old PC,I,U
066/070,D,Big Parasol,I,U
067/070,D,Kabu,Su,U
068/070,D,Pokémon Breeder's Nurturing,Su,U
069/070,D,Glimwood Tangle,St,U
070/070,D,Heat Fire Energy,Fire E,U
071/070,D,ButterfreeV,Grass,SR
072/070,D,CentiskorchV,Fire,SR
073/070,D,VikavoltV,Lightning,SR
074/070,D,GardevoirV,Psychic,SR
075/070,D,GrapploctV,Fighting,SR
076/070,D,Galarian StunfiskV,Metal,SR
077/070,D,Kabu,Su,SR
078/070,D,Pokémon Breeder's Nurturing,Su,SR
079/070,D,ButterfreeVMAX,Grass,HR
080/070,D,CentiskorchVMAX,Fire,HR
081/070,D,GardevoirVMAX,Psychic,HR
082/070,D,Kabu,Su,HR
083/070,D,Pokémon Breeder's Nurturing,Su,HR
084/070,D,Rillaboom,Grass,UR
085/070,D,Suspicious Food Tin,I,UR
086/070,D,Big Parasol,I,UR
