No.,Mark,Card name,Type,Rarity
001/190,D,Rowlet,Grass,—
002/190,D,Dartrix,Grass,—
003/190,D,Decidueye,Grass,—
004/190,D,Wimpod,Grass,—
005/190,D,Golisopod,Grass,—
006/190,D,Grookey,Grass,—
007/190,D,Thwackey,Grass,—
008/190,D,Rillaboom,Grass,—
009/190,D,RillaboomV,Grass,RR
010/190,D,RillaboomVMAX,Grass,RRR
011/190,D,Blipbug,Grass,—
012/190,D,Dottler,Grass,—
013/190,D,Orbeetle,Grass,—
014/190,D,Gossifleur,Grass,—
015/190,D,Eldegoss,Grass,—
016/190,D,EldegossV,Grass,RR
017/190,D,Applin,Grass,—
018/190,D,Flapple,Grass,—
019/190,D,Appletun,Grass,—
020/190,D,Heatran,Fire,—
021/190,D,Reshiram,Fire,A
022/190,D,Scorbunny,Fire,—
023/190,D,Raboot,Fire,—
024/190,D,Cinderace,Fire,—
025/190,D,Sizzlipede,Fire,—
026/190,D,Centiskorch,Fire,—
027/190,D,CentiskorchV,Fire,RR
028/190,D,CentiskorchVMAX,Fire,RRR
029/190,D,Galarian Mr. Mime,Water,—
030/190,D,Galarian Mr. Rime,Water,—
031/190,D,LaprasV,Water,RR
032/190,D,LaprasVMAX,Water,RRR
033/190,D,Suicune,Water,—
034/190,D,Feebas,Water,—
035/190,D,Milotic,Water,—
036/190,D,Kyogre,Water,A
037/190,D,Galarian Darumaka,Water,—
038/190,D,Galarian Darmanitan,Water,—
039/190,D,Sobble,Water,—
040/190,D,Drizzile,Water,—
041/190,D,Inteleon,Water,—
042/190,D,Chewtle,Water,—
043/190,D,Drednaw,Water,—
044/190,D,Cramorant,Water,—
045/190,D,Arrokuda,Water,—
046/190,D,Barraskewda,Water,—
047/190,D,Snom,Water,—
048/190,D,Frosmoth,Water,—
049/190,D,Eiscue,Water,—
050/190,D,Dracovish,Water,—
051/190,D,Arctovish,Water,—
052/190,D,Rotom,Lightning,—
053/190,D,Tapu Koko,Lightning,—
054/190,D,Yamper,Lightning,—
055/190,D,Boltund,Lightning,—
056/190,D,BoltundV,Lightning,RR
057/190,D,Toxel,Lightning,—
058/190,D,Toxtricity,Lightning,—
059/190,D,ToxtricityV,Lightning,RR
060/190,D,ToxtricityVMAX,Lightning,RRR
061/190,D,Pincurchin,Lightning,—
062/190,D,Morpeko,Lightning,—
063/190,D,Dracozolt,Lightning,—
064/190,D,Arctozolt,Lightning,—
065/190,D,Clefairy,Psychic,—
066/190,D,Clefable,Psychic,—
067/190,D,Galarian Ponyta,Psychic,—
068/190,D,Galarian Rapidash,Psychic,—
069/190,D,Gastly,Psychic,—
070/190,D,Haunter,Psychic,—
071/190,D,Gengar,Psychic,—
072/190,D,Galarian Corsola,Psychic,—
073/190,D,Galarian Cursola,Psychic,—
074/190,D,Sigilyph,Psychic,—
075/190,D,Dedenne,Psychic,—
076/190,D,Sinistea,Psychic,—
077/190,D,Polteageist,Psychic,—
078/190,D,Hatenna,Psychic,—
079/190,D,Hattrem,Psychic,—
080/190,D,Hatterene,Psychic,—
081/190,D,Milcery,Psychic,—
082/190,D,Alcremie,Psychic,—
083/190,D,Indeedee,Psychic,—
084/190,D,IndeedeeV,Psychic,RR
085/190,D,Dreepy,Psychic,—
086/190,D,Drakloak,Psychic,—
087/190,D,Dragapult,Psychic,—
088/190,D,DragapultV,Psychic,RR
089/190,D,DragapultVMAX,Psychic,RRR
090/190,D,Galarian Farfetch'd,Fighting,—
091/190,D,Galarian Sirfetch'd,Fighting,—
092/190,D,Galarian Yamask,Fighting,—
093/190,D,Galarian Runerigus,Fighting,—
094/190,D,Rolycoly,Fighting,—
095/190,D,Carkol,Fighting,—
096/190,D,Coalossal,Fighting,—
097/190,D,Silicobra,Fighting,—
098/190,D,Sandaconda,Fighting,—
099/190,D,Clobbopus,Fighting,—
100/190,D,Grapploct,Fighting,—
101/190,D,Falinks,Fighting,—
102/190,D,FalinksV,Fighting,RR
103/190,D,Stonjourner,Fighting,—
104/190,D,Koffing,Darkness,—
105/190,D,Galarian Weezing,Darkness,—
106/190,D,Spinarak,Darkness,—
107/190,D,Ariados,Darkness,—
108/190,D,CrobatV,Darkness,RR
109/190,D,CrobatVMAX,Darkness,RRR
110/190,D,Galarian Zigzagoon,Darkness,—
