No.,Mark,Card name,Type,Rarity
001/070,E,Snover,Grass,C
002/070,E,Abomasnow,Grass,U
003/070,E,Dwebble,Grass,C
004/070,E,Crustle,Grass,C
005/070,E,Deerling,Grass,C
006/070,E,Sawsbuck,Grass,U
007/070,E,Bounsweet,Grass,C
008/070,E,Steenee,Grass,C
009/070,E,Tsareena,Grass,U
010/070,E,Zarude,Grass,R
011/070,E,Castform Sunny Form,Fire,C
012/070,E,Litleo,Fire,C
013/070,E,Pyroar,Fire,C
014/070,E,VolcanionV,Fire,RR
015/070,E,Scorbunny,Fire,C
016/070,E,Raboot,Fire,U
017/070,E,Cinderace,Fire,R
018/070,E,Lapras,Water,C
019/070,E,Castform Snowy Form,Water,C
020/070,E,Snorunt,Water,C
021/070,E,Froslass,Water,R
022/070,E,Spheal,Water,C
023/070,E,Sealeo,Water,C
024/070,E,Walrein,Water,U
025/070,E,Bergmite,Water,C
026/070,E,Avalugg,Water,C
027/070,E,Ice Rider CalyrexV,Water,RR
028/070,E,Ice Rider CalyrexVMAX,Water,RRR
029/070,E,Galarian RapidashV,Psychic,RR
030/070,E,Galarian Slowpoke,Psychic,C
031/070,E,Drowzee,Psychic,C
032/070,E,Hypno,Psychic,U
033/070,E,Ralts,Psychic,C
034/070,E,Kirlia,Psychic,U
035/070,E,Gardevoir,Psychic,R
036/070,E,Shuppet,Psychic,C
037/070,E,Banette,Psychic,U
038/070,E,Hippopotas,Fighting,C
039/070,E,Hippowdon,Fighting,C
040/070,E,Gallade,Fighting,U
041/070,E,Rockruff,Fighting,C
042/070,E,Lycanroc,Fighting,R
043/070,E,SandacondaV,Fighting,RR
044/070,E,SandacondaVMAX,Fighting,RRR
045/070,E,Galarian Slowking,Darkness,R
046/070,E,Qwilfish,Darkness,C
047/070,E,LiepardV,Darkness,RR
048/070,E,Aron,Metal,C
049/070,E,Lairon,Metal,C
050/070,E,Aggron,Metal,U
051/070,E,Tauros,Colorless,R
052/070,E,Porygon,Colorless,C
053/070,E,Porygon2,Colorless,U
054/070,E,Porygon-Z,Colorless,R
055/070,E,Teddiursa,Colorless,C
056/070,E,Ursaring,Colorless,U
057/070,E,TornadusV,Colorless,RR
058/070,E,TornadusVMAX,Colorless,RRR
059/070,E,Furfrou,Colorless,C
060/070,E,Expedition Uniform,I,U
061/070,E,Rugged Helmet,I,U
062/070,E,Single Strike Scroll of Piercing,I,U
063/070,E,Fire-Resistant Gloves,I,U
064/070,E,Crushing Gloves,I,U
065/070,E,Flannery,Su,U
066/070,E,Doctor,Su,U
067/070,E,Peony,Su,U
068/070,E,Melony,Su,U
069/070,E,Path to the Peak,St,U
070/070,E,Impact Energy,Colorless E,U
071/070,E,VolcanionV,Fire,SR
072/070,E,Ice Rider CalyrexV,Water,SR
073/070,E,Ice Rider CalyrexV,Water,SR
074/070,E,Galarian RapidashV,Psychic,SR
075/070,E,Galarian RapidashV,Psychic,SR
076/070,E,SandacondaV,Fighting,SR
077/070,E,LiepardV,Darkness,SR
078/070,E,TornadusV,Colorless,SR
079/070,E,TornadusV,Colorless,SR
080/070,E,Flannery,Su,SR
081/070,E,Doctor,Su,SR
082/070,E,Peony,Su,SR
083/070,E,Melony,Su,SR
084/070,E,Ice Rider CalyrexVMAX,Water,HR
085/070,E,Ice Rider CalyrexVMAX,Water,HR
086/070,E,SandacondaVMAX,Fighting,HR
087/070,E,TornadusVMAX,Colorless,HR
088/070,E,Flannery,Su,HR
089/070,E,Doctor,Su,HR
090/070,E,Peony,Su,HR
091/070,E,Melony,Su,HR
092/070,E,Bronzong,Metal,UR
093/070,E,Welcoming Lantern,I,UR
094/070,E,Rugged Helmet,I,UR
095/070,—,Water Energy,Water E,UR
