No.,Mark,Card name,Type,Rarity
001/070,E,Ledyba,Grass,C
002/070,E,Ledian,Grass,C
003/070,E,CelebiV,Grass,RR
004/070,E,CelebiVMAX,Grass,RRR
005/070,E,Seedot,Grass,C
006/070,E,Grookey,Grass,C
007/070,E,Thwackey,Grass,U
008/070,E,Rillaboom,Grass,R
009/070,E,Psyduck,Water,C
010/070,E,Golduck,Water,U
011/070,E,Sneasel,Water,C
012/070,E,Weavile,Water,R
013/070,E,Castform Rainy Form,Water,C
014/070,E,Luvdisc,Water,C
015/070,E,Tympole,Water,C
016/070,E,Tapu Fini,Water,R
017/070,E,ArctovishV,Water,RR
018/070,E,Mareep,Lightning,C
019/070,E,Flaaffy,Lightning,C
020/070,E,Ampharos,Lightning,U
021/070,E,Blitzle,Lightning,C
022/070,E,Zebstrika,Lightning,U
023/070,E,Emolga,Lightning,C
024/070,E,ZeraoraV,Lightning,RR
025/070,E,Gastly,Psychic,C
026/070,E,Haunter,Psychic,U
027/070,E,Gengar,Psychic,R
028/070,E,Sableye,Psychic,C
029/070,E,Cresselia,Psychic,R
030/070,E,Golett,Psychic,C
031/070,E,Golurk,Psychic,U
032/070,E,Inkay,Psychic,C
033/070,E,Malamar,Psychic,U
034/070,E,Cutiefly,Psychic,C
035/070,E,Ribombee,Psychic,C
036/070,E,Shadow Rider CalyrexV,Psychic,RR
037/070,E,Shadow Rider CalyrexVMAX,Psychic,RRR
038/070,E,Palpitoad,Fighting,C
039/070,E,Seismitoad,Fighting,U
040/070,E,Crabrawler,Fighting,C
041/070,E,Crabominable,Fighting,C
042/070,E,Clobbopus,Fighting,C
043/070,E,Grapploct,Fighting,R
044/070,E,Koffing,Darkness,C
045/070,E,Weezing,Darkness,U
046/070,E,Galarian Weezing,Darkness,U
047/070,E,Nuzleaf,Darkness,C
048/070,E,Shiftry,Darkness,U
049/070,E,MetagrossV,Metal,RR
050/070,E,MetagrossVMAX,Metal,RRR
051/070,E,Cobalion,Metal,R
052/070,E,BlisseyV,Colorless,RR
053/070,E,Castform,Colorless,C
054/070,E,Kecleon,Colorless,C
055/070,E,Fletchling,Colorless,C
056/070,E,Fletchinder,Colorless,C
057/070,E,Talonflame,Colorless,U
058/070,E,Skwovet,Colorless,C
059/070,E,Greedent,Colorless,R
060/070,E,Fog Crystal,I,U
061/070,E,Weeding Gloves,I,U
062/070,E,Justified Gloves,I,U
063/070,E,Rapid Strike Scroll of the Skies,I,U
064/070,E,Caitlin,Su,U
065/070,E,Agatha,Su,U
066/070,E,Peonia,Su,U
067/070,E,Siebold,Su,U
068/070,E,Old Cemetery,St,U
069/070,E,Spiral Energy,Colorless E,U
070/070,E,Lucky Energy,Colorless E,U
071/070,E,CelebiV,Grass,SR
072/070,E,ArctovishV,Water,SR
073/070,E,ZeraoraV,Lightning,SR
074/070,E,ZeraoraV,Lightning,SR
075/070,E,Shadow Rider CalyrexV,Psychic,SR
076/070,E,Shadow Rider CalyrexV,Psychic,SR
077/070,E,MetagrossV,Metal,SR
078/070,E,BlisseyV,Colorless,SR
079/070,E,BlisseyV,Colorless,SR
080/070,E,Caitlin,Su,SR
081/070,E,Agatha,Su,SR
082/070,E,Peonia,Su,SR
083/070,E,Siebold,Su,SR
084/070,E,CelebiVMAX,Grass,HR
085/070,E,Shadow Rider CalyrexVMAX,Psychic,HR
086/070,E,Shadow Rider CalyrexVMAX,Psychic,HR
087/070,E,MetagrossVMAX,Metal,HR
088/070,E,Caitlin,Su,HR
089/070,E,Agatha,Su,HR
090/070,E,Peonia,Su,HR
091/070,E,Siebold,Su,HR
092/070,D,Electrode,Lightning,UR
093/070,E,Fog Crystal,I,UR
094/070,E,Echoing Horn,I,UR
095/070,—,Psychic Energy,Psychic E,UR
