No.,Mark,Card name,Type,Rarity
001/172,F,Paras,Grass,—
002/172,F,Parasect,Grass,—
003/172,F,Hisuian Voltorb,Grass,—
004/172,F,Hisuian Electrode,Grass,—
005/172,F,Hisuian ElectrodeV,Grass,RR
006/172,F,Turtwig,Grass,—
007/172,F,Grotle,Grass,—
008/172,F,Torterra,Grass,—
009/172,F,Kricketot,Grass,—
010/172,F,Kricketune,Grass,—
011/172,F,LeafeonV,Grass,RR
012/172,E,LeafeonVSTAR,Grass,RRR
013/172,F,CharizardV,Fire,RR
014/172,F,CharizardVSTAR,Fire,RRR
015/172,F,Radiant Charizard,Fire,K
016/172,F,Magmar,Fire,—
017/172,F,Magmortar,Fire,—
018/172,F,Moltres,Fire,—
019/172,F,EnteiV,Fire,RR
020/172,F,SimisearV,Fire,RR
021/172,F,SimisearVSTAR,Fire,RRR
022/172,E,Oricorio,Fire,—
023/172,F,Lapras,Water,—
024/172,E,SuicuneV,Water,RR
025/172,F,Regice,Water,—
026/172,F,LumineonV,Water,RR
027/172,F,Origin Forme PalkiaV,Water,RR
028/172,F,Origin Forme PalkiaVSTAR,Water,RRR
029/172,F,Manaphy,Water,—
030/172,F,Hisuian Basculin,Water,—
031/172,F,Hisuian Basculegion,Water,—
032/172,F,Keldeo,Water,—
033/172,F,Radiant Greninja,Water,K
034/172,F,Electabuzz,Lightning,—
035/172,F,Electivire,Lightning,—
036/172,E,Mareep,Lightning,—
037/172,E,Flaaffy,Lightning,—
038/172,F,RaikouV,Lightning,RR
039/172,F,Radiant Charjabug,Lightning,K
040/172,F,ZeraoraV,Lightning,RR
041/172,F,ZeraoraVMAX,Lightning,RRR
042/172,F,ZeraoraVSTAR,Lightning,RRR
043/172,E,Toxel,Lightning,—
044/172,E,Toxtricity,Lightning,—
045/172,F,Regieleki,Lightning,—
046/172,F,Gastly,Psychic,—
047/172,F,Haunter,Psychic,—
048/172,F,Gengar,Psychic,—
049/172,E,Galarian Articuno,Psychic,—
050/172,F,MewtwoV,Psychic,RR
051/172,F,MewtwoVSTAR,Psychic,RRR
052/172,E,Mew,Psychic,—
053/172,E,MewV,Psychic,RR
054/172,E,MewVMAX,Psychic,RRR
055/172,F,Radiant Gardevoir,Psychic,K
056/172,F,Lunatone,Psychic,—
057/172,F,Duskull,Psychic,—
058/172,F,Dusclops,Psychic,—
059/172,F,Dusknoir,Psychic,—
060/172,E,Deoxys,Psychic,—
061/172,E,Pumpkaboo,Psychic,—
062/172,E,Gourgeist,Psychic,—
063/172,F,Diancie,Psychic,—
064/172,F,Comfey,Psychic,—
065/172,F,HattereneV,Psychic,RR
066/172,F,HattereneVMAX,Psychic,RRR
067/172,F,ZacianV,Psychic,RR
068/172,F,EnamorusV,Psychic,RR
069/172,F,Hisuian Growlithe,Fighting,—
070/172,F,Hisuian Arcanine,Fighting,—
071/172,F,MachampV,Fighting,RR
072/172,F,MachampVMAX,Fighting,RRR
073/172,E,Galarian Zapdos,Fighting,—
074/172,F,Solrock,Fighting,—
075/172,F,Regirock,Fighting,—
076/172,F,Riolu,Fighting,—
077/172,F,Lucario,Fighting,—
078/172,F,Radiant Hawlucha,Fighting,—
079/172,E,Galarian Moltres,Darkness,—
080/172,E,Galarian MoltresV,Darkness,RR
081/172,F,Poochyena,Darkness,—
082/172,F,Mightyena,Darkness,—
083/172,F,Absol,Darkness,—
084/172,F,Spiritomb,Darkness,—
085/172,F,DrapionV,Darkness,RR
086/172,F,Hisuian SamurottV,Darkness,RR
087/172,F,Hisuian SamurottVSTAR,Darkness,RRR
088/172,F,Purrloin,Darkness,—
089/172,F,Liepard,Darkness,—
090/172,E,Zorua,Darkness,—
091/172,E,Zoroark,Darkness,—
092/172,F,Nickit,Darkness,—
093/172,F,Thievul,Darkness,—
094/172,F,Magnemite,Metal,—
095/172,F,Magneton,Metal,—
096/172,F,Magnezone,Metal,—
097/172,F,Registeel,Metal,—
098/172,E,Bronzor,Metal,—
099/172,E,Bronzong,Metal,—
100/172,F,Origin Forme DialgaV,Metal,RR
101/172,F,Origin Forme DialgaVSTAR,Metal,RRR
102/172,E,GenesectV,Metal,RR
103/172,F,ZamazentaV,Metal,RR
104/172,E,Altaria,Dragon,—
105/172,E,Latias,Dragon,—
106/172,E,Latios,Dragon,—
107/172,E,RayquazaV,Dragon,RR
108/172,E,RayquazaVMAX,Dragon,RRR
109/172,F,GarchompV,Dragon,RR
110/172,F,GiratinaV,Dragon,RR
111/172,F,GiratinaVSTAR,Dragon,RRR
112/172,F,Goomy,Dragon,—
113/172,F,Hisuian Sliggoo,Dragon,—
114/172,F,Hisuian Goodra,Dragon,—
115/172,F,Radiant Eternatus,Dragon,K
116/172,F,Regidrago,Dragon,—
117/172,F,Ditto,Colorless,—
118/172,E,Dunsparce,Colorless,—
119/172,F,Miltank,Colorless,—
120/172,E,Swablu,Colorless,—
121/172,F,Bidoof,Colorless,—
