No.,Mark,Card name,Type,Rarity
001/106,H,Exeggcute,Grass,C
002/106,H,Exeggutor,Grass,U
003/106,H,Durantex,Grass,RR
004/106,H,Scatterbug,Grass,C
005/106,H,Spewpa,Grass,C
006/106,H,Vivillon,Grass,U
007/106,H,Capsakid,Grass,C
008/106,H,Rellor,Grass,C
009/106,H,Rabsca,Grass,R
010/106,H,Wo-Chien,Grass,U
011/106,H,Paldean Tauros,Fire,U
012/106,H,Victini,Fire,U
013/106,H,Larvesta,Fire,C
014/106,H,Volcarona,Fire,C
015/106,H,Sizzlipede,Fire,C
016/106,H,Centiskorch,Fire,C
017/106,H,Fuecoco,Fire,C
018/106,H,Crocalor,Fire,C
019/106,H,Skeledirge,Fire,R
020/106,H,Charcadet,Fire,C
021/106,H,Armarouge,Fire,U
022/106,H,Ceruledge,Fire,U
023/106,H,Scovillainex,Fire,RR
024/106,H,Paldean Tauros,Water,U
025/106,H,Feebas,Water,C
026/106,H,Miloticex,Water,RR
027/106,H,Spheal,Water,C
028/106,H,Sealeo,Water,C
029/106,H,Walrein,Water,U
030/106,H,Shellos,Water,C
031/106,H,Iron Bundle,Water,U
032/106,H,Chien-Pao,Water,R
033/106,H,Pikachuex,Lightning,RR
034/106,H,Magnemite,Lightning,C
035/106,H,Magneton,Lightning,U
036/106,H,Magnezone,Lightning,U
037/106,H,Rotom,Lightning,C
038/106,H,Blitzle,Lightning,C
039/106,H,Zebstrika,Lightning,C
040/106,H,Stunfisk,Lightning,C
041/106,H,Tapu Koko,Lightning,R
042/106,H,Wattrel,Lightning,C
043/106,H,Kilowattrel,Lightning,U
044/106,H,Miraidon,Lightning,U
045/106,H,Togepi,Psychic,C
046/106,H,Togetic,Psychic,C
047/106,H,Togekiss,Psychic,R
048/106,H,Uxie,Psychic,C
049/106,H,Mesprit,Psychic,C
050/106,H,Azelf,Psychic,C
051/106,H,Yamask,Psychic,C
052/106,H,Cofagrigus,Psychic,R
053/106,H,Espurr,Psychic,C
054/106,H,Meowstic,Psychic,U
055/106,H,Dedenne,Psychic,C
056/106,H,Sandygast,Psychic,C
057/106,H,Palossandex,Psychic,RR
058/106,H,Indeedee,Psychic,U
059/106,H,Flutter Mane,Psychic,U
060/106,H,Mankey,Fighting,C
061/106,H,Primeape,Fighting,C
062/106,H,Annihilape,Fighting,U
063/106,H,Paldean Tauros,Fighting,U
064/106,H,Phanpy,Fighting,C
065/106,H,Donphan,Fighting,C
066/106,H,Gastrodon,Fighting,R
067/106,H,Glimmet,Fighting,C
068/106,H,Glimmora,Fighting,C
069/106,H,Koraidon,Fighting,U
070/106,H,Deino,Darkness,C
071/106,H,Zweilous,Darkness,C
072/106,H,Hydreigonex,Darkness,RR
073/106,H,Shroodle,Darkness,C
074/106,H,Grafaiai,Darkness,U
075/106,H,Pecharunt,Darkness,U
076/106,H,Alolan Diglett,Metal,C
077/106,H,Alolan Dugtrio,Metal,U
078/106,H,Bronzor,Metal,C
079/106,H,Bronzong,Metal,C
080/106,H,Eternatus,Dragon,R
081/106,H,Tatsugiriex,Dragon,RR
082/106,H,Slakoth,Colorless,C
083/106,H,Vigoroth,Colorless,C
084/106,H,Slakingex,Colorless,RR
085/106,H,Zangoose,Colorless,C
086/106,H,Kecleon,Colorless,C
087/106,H,Bouffalant,Colorless,C
088/106,H,Helioptile,Colorless,C
089/106,H,Heliolisk,Colorless,C
090/106,H,Oranguru,Colorless,C
091/106,H,Tandemaus,Colorless,C
092/106,H,Maushold,Colorless,U
093/106,H,Terapagos,Colorless,R
094/106,H,Deduction Kit,I,U
095/106,H,Scramble Switch,I,ACE
096/106,H,Chill Teaser Toy,I,U
097/106,H,Miracle Headset,I,ACE
098/106,H,Amulet of Hope,PT,ACE
099/106,H,Colbur Berry,PT,U
100/106,H,Babiri Berry,PT,U
101/106,H,Technical Machine: Fluorite,PT,U
102/106,H,Cyrano,Su,U
103/106,H,Clemont's Quick Wit,Su,U
104/106,H,Jasmine's Gaze,Su,U
105/106,H,Lively Stadium,St,U
106/106,H,Gravity Mountain,St,U
107/106,H,Vivillon,Grass,AR
108/106,H,Larvesta,Fire,AR
109/106,H,Ceruledge,Fire,AR
110/106,H,Feebas,Water,AR
111/106,H,Spheal,Water,AR
112/106,H,Magneton,Lightning,AR
113/106,H,Stunfisk,Lightning,AR
114/106,H,Mesprit,Psychic,AR
115/106,H,Phanpy,Fighting,AR
116/106,H,Alolan Dugtrio,Metal,AR
117/106,H,Slakoth,Colorless,AR
118/106,H,Kecleon,Colorless,AR
119/106,H,Durantex,Grass,SR
120/106,H,Scovillainex,Fire,SR
121/106,H,Miloticex,Water,SR
122/106,H,Pikachuex,Lightning,SR
123/106,H,Palossandex,Psychic,SR
124/106,H,Hydreigonex,Darkness,SR
125/106,H,Tatsugiriex,Dragon,SR
126/106,H,Slakingex,Colorless,SR
127/106,H,Cyrano,Su,SR
128/106,H,Clemont's Quick Wit,Su,SR
129/106,H,Jasmine's Gaze,Su,SR
130/106,H,Durantex,Grass,SAR
131/106,H,Miloticex,Water,SAR
132/106,H,Pikachuex,Lightning,SAR
133/106,H,Hydreigonex,Darkness,SAR
134/106,H,Clemont's Quick Wit,Su,SAR
135/106,H,Jasmine's Gaze,Su,SAR
136/106,H,Pikachuex,Lightning,UR
137/106,H,Night Stretcher,I,UR
138/106,H,Gravity Mountain,St,UR
