No.,Mark,Card name,Type,Rarity
001/063,I,Tangela,Grass,C
002/063,I,Tangrowth,Grass,U
003/063,I,Chikorita,Grass,C
004/063,I,Bayleef,Grass,C
005/063,I,Meganium,Grass,R
006/063,I,Shuckle,Grass,U
007/063,I,Nincada,Grass,C
008/063,I,Ninjask,Grass,U
009/063,I,Dhelmise,Grass,C
010/063,I,Litleo,Fire,C
011/063,I,Pyroar,Fire,U
012/063,I,Sizzlipede,Fire,C
013/063,I,Centiskorch,Fire,U
014/063,I,Chi-Yu,Fire,U
015/063,I,Mantine,Water,C
016/063,I,Kyogre,Water,R
017/063,I,Snover,Water,C
018/063,I,Mega Abomasnowex,Water,RR
019/063,I,Clauncher,Water,C
020/063,I,Clawitzer,Water,R
021/063,I,Sobble,Water,C
022/063,I,Drizzile,Water,C
023/063,I,Inteleon,Water,U
024/063,I,Snom,Water,C
025/063,I,Frosmoth,Water,U
026/063,I,Eiscue,Water,C
027/063,I,Magnemite,Lightning,C
028/063,I,Magneton,Lightning,C
029/063,I,Magnezone,Lightning,U
030/063,I,Raikou,Lightning,R
031/063,I,Electrike,Lightning,C
032/063,I,Mega Manectricex,Lightning,RR
033/063,I,Pachirisu,Lightning,C
034/063,I,Helioptile,Lightning,C
035/063,I,Heliolisk,Lightning,C
036/063,I,Abra,Psychic,C
037/063,I,Kadabra,Psychic,U
038/063,I,Alakazam,Psychic,R
039/063,I,Jynx,Psychic,C
040/063,I,Ralts,Psychic,C
041/063,I,Kirlia,Psychic,C
042/063,I,Mega Gardevoirex,Psychic,RR
043/063,I,Shedinja,Psychic,U
044/063,I,Spoink,Psychic,C
045/063,I,Grumpig,Psychic,U
046/063,I,Xerneas,Psychic,R
047/063,I,Greavard,Psychic,C
048/063,I,Houndstone,Psychic,U
049/063,I,Mega Latiasex,Dragon,RR
050/063,I,Latios,Dragon,U
051/063,I,Mega Kangaskhanex,Colorless,RR
052/063,I,Delibird,Colorless,C
053/063,I,Buneary,Colorless,C
054/063,I,Lopunny,Colorless,C
055/063,I,Stufful,Colorless,C
056/063,I,Bewear,Colorless,C
057/063,I,Strange Timepiece,I,U
058/063,I,Mega Signal,I,U
059/063,I,Acerola's Mischief,Su,U
060/063,I,Wally's Compassion,Su,U
061/063,I,Forest of Vitality,St,U
062/063,I,Surfing Beach,St,U
063/063,I,Mystery Garden,St,U
064/063,I,Shuckle,Grass,AR
065/063,I,Ninjask,Grass,AR
066/063,I,Litleo,Fire,AR
067/063,I,Snover,Water,AR
068/063,I,Clawitzer,Water,AR
069/063,I,Inteleon,Water,AR
070/063,I,Helioptile,Lightning,AR
071/063,I,Alakazam,Psychic,AR
072/063,I,Shedinja,Psychic,AR
073/063,I,Houndstone,Psychic,AR
074/063,I,Delibird,Colorless,AR
075/063,I,Stufful,Colorless,AR
076/063,I,Mega Abomasnowex,Water,SR
077/063,I,Mega Manectricex,Lightning,SR
078/063,I,Mega Gardevoirex,Psychic,SR
079/063,I,Mega Latiasex,Dragon,SR
080/063,I,Mega Kangaskhanex,Colorless,SR
081/063,H,Buddy-Buddy Poffin,I,SR
082/063,I,Rare Candy,I,SR
083/063,I,Mega Signal,I,SR
084/063,I,Acerola's Mischief,Su,SR
085/063,I,Wally's Compassion,Su,SR
086/063,I,Mystery Garden,St,SR
087/063,I,Mega Gardevoirex,Psychic,SAR
088/063,I,Mega Latiasex,Dragon,SAR
089/063,I,Mega Kangaskhanex,Colorless,SAR
090/063,I,Acerola's Mischief,Su,SAR
091/063,I,Wally's Compassion,Su,SAR
092/063,I,Mega Gardevoirex,Psychic,MUR
