No.,Card name,Type,Rarity
—,Nidoran♀,Grass,Common
—,Oddish,Grass,Common
—,Paras,Grass,Common
—,Venonat,Grass,Common
—,Bellsprout,Grass,Common
—,Exeggcute,Grass,Common
—,Butterfree,Grass,Uncommon
—,Nidorina,Grass,Uncommon
—,Gloom,Grass,Uncommon
—,Parasect,Grass,Uncommon
—,Weepinbell,Grass,Uncommon
—,Exeggutor,Grass,Uncommon
—,Nidoqueen,Grass,Rare Holo
—,Vileplume,Grass,Rare Holo
—,Venomoth,Grass,Rare Holo
—,Victreebel,Grass,Rare Holo
—,Scyther,Grass,Rare Holo
—,Pinsir,Grass,Rare Holo
—,Rapidash,Fire,Uncommon
—,Flareon,Fire,Rare Holo
—,Goldeen,Water,Common
—,Seaking,Water,Uncommon
—,Vaporeon,Water,Rare Holo
—,Pikachu,Lightning,Common
—,Electrode,Lightning,Rare Holo
—,Jolteon,Lightning,Rare Holo
—,Mr. Mime,Psychic,Rare Holo
—,Mankey,Fighting,Common
—,Cubone,Fighting,Common
—,Rhyhorn,Fighting,Common
—,Primeape,Fighting,Uncommon
—,Marowak,Fighting,Uncommon
—,Rhydon,Fighting,Uncommon
—,Spearow,Colorless,Common
—,Jigglypuff,Colorless,Common
—,Meowth,Colorless,Common
—,Eevee,Colorless,Common
—,Fearow,Colorless,Uncommon
—,Persian,Colorless,Uncommon
—,Dodrio,Colorless,Uncommon
—,Lickitung,Colorless,Uncommon
—,Tauros,Colorless,Uncommon
—,Pidgeot,Colorless,Rare Holo
—,Clefable,Colorless,Rare Holo
—,Wigglytuff,Colorless,Rare Holo
—,Kangaskhan,Colorless,Rare Holo
—,Snorlax,Colorless,Rare Holo
—,Poké Ball,T,Common
