No.,Card name,Type,Rarity
—,Ekans,Grass,Common
—,Zubat,Grass,Common
—,Grimer,Grass,Common
—,Arbok,Grass,Uncommon
—,Golbat,Grass,Uncommon
—,Weezing,Grass,Uncommon
—,Muk,Grass,Rare Holo
—,Magmar,Fire,Uncommon
—,Moltres,Fire,Rare Holo
—,Psyduck,Water,Common
—,Tentacool,Water,Common
—,Shellder,Water,Common
—,Krabby,Water,Common
—,Horsea,Water,Common
—,Omanyte,Water,Common
—,Golduck,Water,Uncommon
—,Tentacruel,Water,Uncommon
—,Cloyster,Water,Uncommon
—,Kingler,Water,Uncommon
—,Seadra,Water,Uncommon
—,Omastar,Water,Uncommon
—,Lapras,Water,Rare Holo
—,Articuno,Water,Rare Holo
—,Raichu,Lightning,Rare Holo
—,Magneton,Lightning,Rare Holo
—,Zapdos,Lightning,Rare Holo
—,Slowpoke,Psychic,Common
—,Slowbro,Psychic,Uncommon
—,Gastly,Psychic,Uncommon
—,Haunter,Psychic,Rare Holo
—,Gengar,Psychic,Rare Holo
—,Hypno,Psychic,Rare Holo
—,Mew,Psychic,Rare Holo
—,Geodude,Fighting,Common
—,Kabuto,Fighting,Common
—,Sandslash,Fighting,Uncommon
—,Graveler,Fighting,Uncommon
—,Golem,Fighting,Uncommon
—,Hitmonlee,Fighting,Rare Holo
—,Kabutops,Fighting,Rare Holo
—,Aerodactyl,Fighting,Rare Holo
—,Ditto,Colorless,Rare Holo
—,Dragonite,Colorless,Rare Holo
—,Energy Search,T,Common
—,Gambler,T,Common
—,Mysterious Fossil,T,Common
—,Recycle,T,Common
—,Mr. Fuji,T,Uncommon
