No.,Card name,Type,Rarity
—,Ekans,Grass,Common
—,Zubat,Grass,Common
—,Oddish,Grass,Common
—,Grimer,Grass,Common
—,Koffing,Grass,Common
—,Dark Gloom,Grass,Uncommon
—,Dark Muk,Grass,Uncommon
—,Dark Arbok,Grass,Rare Holo
—,Dark Golbat,Grass,Rare Holo
—,Dark Vileplume,Grass,Rare Holo
—,Dark Weezing,Grass,Rare Holo
—,Charmander,Fire,Common
—,Ponyta,Fire,Common
—,Dark Rapidash,Fire,Uncommon
—,Dark Charmeleon,Fire,Uncommon
—,Dark Flareon,Fire,Uncommon
—,Dark Charizard,Fire,Rare Holo
—,Squirtle,Water,Common
—,Psyduck,Water,Common
—,Magikarp,Water,Common
—,Dark Wartortle,Water,Uncommon
—,Dark Golduck,Water,Uncommon
—,Dark Vaporeon,Water,Uncommon
—,Dark Blastoise,Water,Rare Holo
—,Dark Gyarados,Water,Rare Holo
—,Magnemite,Lightning,Common
—,Voltorb,Lightning,Common
—,Dark Electrode,Lightning,Uncommon
—,Dark Jolteon,Lightning,Uncommon
—,Dark Magneton,Lightning,Rare Holo
—,Abra,Psychic,Common
—,Slowpoke,Psychic,Common
—,Drowzee,Psychic,Common
—,Dark Kadabra,Psychic,Uncommon
—,Dark Alakazam,Psychic,Rare Holo
—,Dark Slowbro,Psychic,Rare Holo
—,Dark Hypno,Psychic,Rare Holo
—,Diglett,Fighting,Common
—,Mankey,Fighting,Common
—,Machop,Fighting,Common
—,Dark Primeape,Fighting,Uncommon
—,Dark Machoke,Fighting,Uncommon
—,Dark Dugtrio,Fighting,Rare Holo
—,Dark Machamp,Fighting,Rare Holo
—,Rattata,Colorless,Common
—,Dark Raticate,Colorless,Common
—,Meowth,Colorless,Common
—,Dark Persian,Colorless,Common
—,Eevee,Colorless,Common
—,Porygon,Colorless,Common
—,Dratini,Colorless,Common
—,Dark Dragonair,Colorless,Uncommon
—,Dark Dragonite,Colorless,Rare Holo
—,Sleep!,T [R],Common
—,Digger,T [R],Common
—,Goop Gas Attack,T,Common
—,Nightly Garbage Run,T [R],Common
—,Challenge!,T,Uncommon
—,Imposter Oak's Revenge,T,Uncommon
—,The Boss's Way,T,Uncommon
—,Rocket's Sneak Attack,T,Rare Holo
—,Here Comes Team Rocket!,T,SuperRare Holo
—,Potion Energy,Colorless E,Common
—,Full Heal Energy,Colorless E,Common
—,Rainbow Energy,Rainbow E,Rare Holo
