No.,Card,Type,Quantity
—,Brock's Zubat,Grass,1×
—,Brock's Vulpix,Fire,1×
—,Brock's Sandshrew,Fighting,2×
—,Brock's Sandslash,Fighting,1×
—,Brock's Mankey,Fighting,2×
—,Brock's Geodude,Fighting,2×
—,Brock's Geodude,Fighting,2×
—,Brock's Graveler,Fighting,2×
—,Brock's Golem,Fighting,1×
—,Brock's Onix,Fighting,2×
—,Brock's Onix,Fighting,2×
—,Brock's Rhyhorn,Fighting,2×
—,Brock's Rhydon,Fighting,1×
—,Energy Retrieval,T,1×
—,Recall,T,1×
—,Potion,T,1×
—,Revive,T,1×
—,Brock,T,1×
—,Brock's Training Method,T,1×
—,Full Heal,T,1×
—,Pewter City Gym,T [St],1×
—,Switch,T,2×
—,Pokédex,T,1×
—,Pokémon Center,T,1×
—,Fire Energy,Fire E,2×
—,Fighting Energy,Fighting E,28×
—,Double Colorless Energy,Colorless E,1×
