No.,Card,Type,Quantity
—,Erika's Oddish,Grass,2×
—,Erika's Oddish,Grass,2×
—,Erika's Gloom,Grass,2×
—,Erika's Vileplume,Grass,1×
—,Erika's Bellsprout,Grass,2×
—,Erika's Bellsprout,Grass,2×
—,Erika's Weepinbell,Grass,2×
—,Erika's Victreebel,Grass,1×
—,Erika's Exeggcute,Grass,2×
—,Erika's Exeggutor,Grass,1×
—,Erika's Tangela,Grass,2×
—,Erika's Clefairy,Colorless,2×
—,Erika's Dratini,Colorless,1×
—,Energy Retrieval,T,1×
—,Energy Search,T,2×
—,Erika,T,1×
—,Erika's Maids,T,1×
—,Erika's Perfume,T,1×
—,Charity,T,1×
—,Potion,T,1×
—,Celadon City Gym,T [St],1×
—,Defender,T,2×
—,Full Heal,T,1×
—,PlusPower,T,1×
—,Switch,T,1×
—,Recycle,T,1×
—,Good Manners,T,1×
—,Grass Energy,Grass E,20×
—,Psychic Energy,Psychic E,5×
—,Double Colorless Energy,Colorless E,1×
