No.,Card name,Type,Rarity
—,Brock's Zubat,Grass,Common
—,Erika's Oddish,Grass,Common
—,Erika's Oddish,Grass,Common
—,Erika's Paras,Grass,Common
—,Erika's Bellsprout,Grass,Common
—,Erika's Tangela,Grass,Common
—,Erika's Bulbasaur,Grass,Uncommon
—,Brock's Golbat,Grass,Uncommon
—,Erika's Gloom,Grass,Uncommon
—,Erika's Bellsprout,Grass,Uncommon
—,Erika's Weepinbell,Grass,Uncommon
—,Erika's Exeggcute,Grass,Uncommon
—,Erika's Exeggutor,Grass,Uncommon
—,Erika's Vileplume,Grass,Rare Holo
—,Erika's Victreebel,Grass,Rare
—,Rocket's Scyther,Grass,Rare Holo
—,Brock's Vulpix,Fire,Common
—,Brock's Vulpix,Fire,Uncommon
—,Brock's Ninetales,Fire,Rare Holo
—,Rocket's Moltres,Fire,Rare Holo
—,Misty's Psyduck,Water,Common
—,Misty's Poliwag,Water,Common
—,Misty's Seel,Water,Common
—,Misty's Horsea,Water,Common
—,Misty's Horsea,Water,Common
—,Misty's Goldeen,Water,Common
—,Misty's Staryu,Water,Common
—,Misty's Magikarp,Water,Common
—,Misty's Poliwhirl,Water,Uncommon
—,Misty's Tentacool,Water,Uncommon
—,Misty's Dewgong,Water,Uncommon
—,Misty's Golduck,Water,Rare Holo
—,Misty's Tentacruel,Water,Rare Holo
—,Misty's Seadra,Water,Rare Holo
—,Misty's Gyarados,Water,Rare Holo
—,Lt. Surge's Pikachu,Lightning,Common
—,Lt. Surge's Magnemite,Lightning,Common
—,Lt. Surge's Voltorb,Lightning,Common
—,Lt. Surge's Magnemite,Lightning,Uncommon
—,Lt. Surge's Magneton,Lightning,Rare Holo
—,Lt. Surge's Electabuzz,Lightning,Rare Holo
—,Lt. Surge's Jolteon,Lightning,Rare
—,Brock's Sandshrew,Fighting,Common
—,Brock's Diglett,Fighting,Common
—,Brock's Mankey,Fighting,Common
—,Brock's Geodude,Fighting,Common
—,Brock's Geodude,Fighting,Common
—,Brock's Onix,Fighting,Common
—,Brock's Rhyhorn,Fighting,Common
—,Brock's Sandslash,Fighting,Uncommon
—,Brock's Primeape,Fighting,Uncommon
—,Brock's Graveler,Fighting,Uncommon
—,Brock's Golem,Fighting,Rare
—,Rocket's Hitmonchan,Fighting,Rare Holo
—,Brock's Rhydon,Fighting,Rare Holo
—,Lt. Surge's Rattata,Colorless,Common
—,Lt. Surge's Spearow,Colorless,Common
—,Erika's Jigglypuff,Colorless,Common
—,Lt. Surge's Raticate,Colorless,Uncommon
—,Erika's Clefairy,Colorless,Uncommon
—,Brock's Lickitung,Colorless,Uncommon
—,Lt. Surge's Eevee,Colorless,Uncommon
—,Erika's Dratini,Colorless,Uncommon
—,Lt. Surge's Fearow,Colorless,Rare Holo
—,Erika's Clefable,Colorless,Rare Holo
—,Erika's Dragonair,Colorless,Rare Holo
—,Energy Flow,T,Common
—,Misty's Duel,T,Common
—,Misty's Tears,T,Common
—,Narrow Gym,T [St],Common
—,Recall,T,Uncommon
—,Erika's Maids,T,Uncommon
—,Erika's Perfume,T,Uncommon
—,Charity,T,Rare
—,Misty's Wrath,T,Uncommon
—,Vermilion City Gym,T [St],Uncommon
—,Brock's Training Method,T,Uncommon
—,Celadon City Gym,T [St],Uncommon
—,Pewter City Gym,T [St],Uncommon
—,Cerulean City Gym,T [St],Uncommon
—,Lt. Surge's Treaty,T,Uncommon
—,Good Manners,T,Uncommon
—,Erika,T,Rare
—,Erika's Kindness,T,Rare
—,Misty,T,Rare
—,Misty's Wish,T,Rare
—,Chaos Gym,T [St],Rare
—,Secret Mission,T,Uncommon
—,Brock,T,Rare
—,Brock's Protection,T,Rare
—,Resistance Gym,T [St],Rare
—,Lt. Surge,T,Rare
—,Lt. Surge's Secret Plan,T,Rare
—,No Removal Gym,T [St],Rare
—,The Rocket's Training Gym,T [St],Rare
—,The Rocket's Trap,T,Rare Holo
