No.,Card,Type,Quantity
—,Bulbasaur,Grass,1×
—,Caterpie,Grass,2×
—,Metapod,Grass,1×
—,Nidoran♀,Grass,1×
—,Nidoran♂,Grass,1×
—,Scyther,Grass,1×
—,Pinsir,Grass,1×
—,Charmander,Fire,1×
—,Vulpix,Fire,1×
—,Growlithe,Fire,1×
—,Ponyta,Fire,2×
—,Rapidash,Fire,1×
—,Magmar,Fire,1×
—,Moltres,Fire,1×
—,Abra,Psychic,1×
—,Kadabra,Psychic,1×
—,Gastly,Psychic,2×
—,Haunter,Psychic,1×
—,Mr. Mime,Psychic,1×
—,Mewtwo,Psychic,1×
—,Rattata,Colorless,1×
—,Clefairy,Colorless,1×
—,Chansey,Colorless,1×
—,Kangaskhan,Colorless,1×
—,Porygon,Colorless,1×
—,Energy Retrieval,T,2×
—,Energy Search,T,1×
—,Gambler,T,1×
—,Gust of Wind,T,1×
—,Master Ball,T,1×
—,Pokémon Trader,T,1×
—,Potion,T,1×
—,Grass Energy,Grass E,8×
—,Fire Energy,Fire E,8×
—,Psychic Energy,Psychic E,8×
