No.,Card,Type,Quantity
—,Squirtle,Water,1×
—,Poliwag,Water,1×
—,Poliwhirl,Water,1×
—,Poliwrath,Water,1×
—,Seel,Water,1×
—,Dewgong,Water,1×
—,Lapras,Water,1×
—,Articuno,Water,1×
—,Pikachu,Lightning,1×
—,Pikachu,Lightning,1×
—,Raichu,Lightning,1×
—,Magnemite,Lightning,2×
—,Magneton,Lightning,1×
—,Voltorb,Lightning,1×
—,Zapdos,Lightning,1×
—,Jynx,Psychic,1×
—,Sandshrew,Fighting,2×
—,Sandslash,Fighting,1×
—,Machop,Fighting,2×
—,Machoke,Fighting,1×
—,Onix,Fighting,1×
—,Hitmonchan,Fighting,1×
—,Doduo,Colorless,1×
—,Lickitung,Colorless,1×
—,Snorlax,Colorless,1×
—,Energy Retrieval,T,2×
—,Energy Search,T,1×
—,Gust of Wind,T,1×
—,Master Ball,T,1×
—,Pokémon Trader,T,1×
—,Potion,T,1×
—,Switch,T,1×
—,Water Energy,Water E,8×
—,Lightning Energy,Lightning E,8×
—,Fighting Energy,Fighting E,8×
