No.,Card,Type,Quantity
—,Blastoise,Water,1×
1,Growlithe,Fire,1×
2,Diglett,Fighting,1×
3,Wartortle,Water,1×
4,Fire Energy,Fire E,1×
5,Water Energy,Water E,1×
6,Water Energy,Water E,1×
7,Full Heal,T,1×
8,Fire Energy,Fire E,1×
9,Poliwag,Water,1×
10,Wartortle,Water,1×
11,Fire Energy,Fire E,1×
12,Fighting Energy,Fighting E,1×
13,Spearow,Colorless,1×
14,Jigglypuff,Colorless,1×
15,Fighting Energy,Fighting E,1×
16,Squirtle,Water,1×
17,Fighting Energy,Fighting E,1×
18,Squirtle,Water,1×
19,Energy Removal,T,1×
20,Water Energy,Water E,1×
21,Bill's Teleporter,T,1×
22,Water Energy,Water E,1×
23,Water Energy,Water E,1×
24,Potion,T,1×
25,Double Colorless Energy,Colorless E,1×
26,Growlithe,Fire,1×
27,Water Energy,Water E,1×
28,Fire Energy,Fire E,1×
29,Super Scoop Up,T,1×
30,Water Energy,Water E,1×
31,Fire Energy,Fire E,1×
32,Arcanine,Fire,1×
33,Fire Energy,Fire E,1×
34,Fighting Energy,Fighting E,1×
35,Machop,Fighting,1×
36,Water Energy,Water E,1×
37,Squirtle,Water,1×
38,Water Energy,Water E,1×
39,Magmar,Fire,1×
40,Squirtle,Water,1×
