No.,Card name,Type,Rarity
—,Caterpie,Grass,Common
—,Weedle,Grass,Common
—,Spinarak,Grass,Common
—,Hoppip,Grass,Common
—,Pineco,Grass,Common
—,Metapod,Grass,Uncommon
—,Kakuna,Grass,Uncommon
—,Scyther,Grass,Uncommon
—,Butterfree,Grass,Rare Holo
—,Beedrill,Grass,Rare Holo
—,Yanma,Grass,Rare Holo
—,Houndour,Fire,Rare Holo
—,Poliwag,Water,Common
—,Kabuto,Water,Common
—,Wooper,Water,Common
—,Poliwhirl,Water,Uncommon
—,Corsola,Water,Uncommon
—,Kabutops,Water,Rare Holo
—,Politoed,Water,Rare Holo
—,Mareep,Lightning,Common
—,Dark Raichu,Lightning,SuperRare Holo
—,Natu,Psychic,Common
—,Unown I,Psychic,Common
—,Xatu,Psychic,Uncommon
—,Unown D,Psychic,Uncommon
—,Unown F,Psychic,Uncommon
—,Unown M,Psychic,Uncommon
—,Unown U,Psychic,Uncommon
—,Espeon,Psychic,Rare Holo
—,Unown A,Psychic,Rare Holo
—,Wobbuffet,Psychic,Rare Holo
—,Omanyte,Fighting,Common
—,Tyrogue,Fighting,Common
—,Larvitar,Fighting,Common
—,Omastar,Fighting,Uncommon
—,Pupitar,Fighting,Uncommon
—,Poliwrath,Fighting,Rare Holo
—,Hitmontop,Fighting,Rare Holo
—,Houndour,Darkness,Uncommon
—,Umbreon,Darkness,Rare Holo
—,Houndoom,Darkness,Rare Holo
—,Tyranitar,Darkness,Rare Holo
—,Magnemite,Metal,Rare Holo
—,Forretress,Metal,Rare Holo
—,Scizor,Metal,Rare Holo
—,Sentret,Colorless,Common
—,Dunsparce,Colorless,Common
—,Teddiursa,Colorless,Common
—,Eevee,Colorless,Uncommon
—,Igglybuff,Colorless,Uncommon
—,Ursaring,Colorless,Rare Holo
—,Smeargle,Colorless,Rare Holo
—,Energy Ark,T,Common
—,Ruin Wall [Kabuto],T,Uncommon
—,Ruin Wall [Aerodactyl],T,Uncommon
—,Fossil Egg,T,Uncommon
—,Hyper Devolution Spray,T,Uncommon
