No.,Card name,Type,Rarity
—,Zubat,Grass,Common
—,Paras,Grass,Common
—,Skiploom,Grass,Common
—,Golbat,Grass,Uncommon
—,Parasect,Grass,Uncommon
—,Crobat,Grass,Rare Holo
—,Jumpluff,Grass,Rare Holo
—,Slugma,Fire,Common
—,Magcargo,Fire,Uncommon
—,Entei,Fire,Rare Holo
—,Ho-Oh,Fire,Rare Holo
—,Goldeen,Water,Common
—,Staryu,Water,Common
—,Quagsire,Water,Common
—,Qwilfish,Water,Common
—,Remoraid,Water,Common
—,Seaking,Water,Uncommon
—,Jynx,Water,Uncommon
—,Octillery,Water,Uncommon
—,Kingdra,Water,Rare Holo
—,Suicune,Water,Rare Holo
—,Shining Magikarp,Water,Shining Holo
—,Shining Gyarados,Water,Shining Holo
—,Chinchou,Lightning,Common
—,Raichu,Lightning,Uncommon
—,Lanturn,Lightning,Uncommon
—,Flaaffy,Lightning,Uncommon
—,Ampharos,Lightning,Rare Holo
—,Raikou,Lightning,Rare Holo
—,Unown K,Psychic,Common
—,Smoochum,Psychic,Common
—,Unown B,Psychic,Uncommon
—,Unown Y,Psychic,Uncommon
—,Starmie,Psychic,Rare Holo
—,Misdreavus,Psychic,Rare Holo
—,Celebi,Psychic,Rare Holo
—,Geodude,Fighting,Common
—,Swinub,Fighting,Common
—,Graveler,Fighting,Uncommon
—,Shuckle,Fighting,Uncommon
—,Piloswine,Fighting,Uncommon
—,Aerodactyl,Fighting,Rare Holo
—,Murkrow,Darkness,Common
—,Houndoom,Darkness,Rare Holo
—,Magneton,Metal,Rare Holo
—,Farfetch'd,Colorless,Common
—,Aipom,Colorless,Common
—,Snubbull,Colorless,Common
—,Stantler,Colorless,Uncommon
—,Delibird,Colorless,Rare Holo
—,Porygon2,Colorless,Rare Holo
—,Blissey,Colorless,Rare Holo
—,Old Rod,T,Common
—,Healing Field,T [St],Uncommon
—,Balloon Berry,T [PT],Uncommon
—,Pokémon Breeder Fields,T,Uncommon
—,Rocket's Hideout,T [St],Uncommon
