No.,Card,Type,Quantity
1,Chikorita,Grass,1×
2,Sunkern,Grass,1×
3,Grass Energy,Grass E,1×
4,Grass Energy,Grass E,1×
5,Fire Energy,Fire E,1×
6,Fighting Energy,Fighting E,1×
7,Full Heal,T,1×
8,Teddiursa,Colorless,1×
9,Grass Energy,Grass E,1×
10,Koffing,Grass,1×
11,Fighting Energy,Fighting E,1×
12,Growlithe,Fire,1×
13,Quilava,Fire,1×
14,Fire Energy,Fire E,1×
15,Potion,T,1×
16,Cyndaquil,Fire,1×
17,Fire Energy,Fire E,1×
18,Fighting Energy,Fighting E,1×
19,Fire Energy,Fire E,1×
20,Bill,T,1×
21,Master Ball,T,1×
22,Paras,Grass,1×
23,Cyndaquil,Fire,1×
24,Bayleef,Grass,1×
25,Fire Energy,Fire E,1×
26,Grass Energy,Grass E,1×
27,Grass Energy,Grass E,1×
28,Grass Energy,Grass E,1×
29,Grass Energy,Grass E,1×
30,Chikorita,Grass,1×
