No.,Card,Type,Quantity
1,Pikachu,Lightning,1×
2,Marill,Water,1×
3,Hoothoot,Colorless,1×
4,Croconaw,Water,1×
5,Water Energy,Water E,1×
6,Lightning Energy,Lightning E,1×
7,Psychic Energy,Psychic E,1×
8,Full Heal,T,1×
9,Lightning Energy,Lightning E,1×
10,Remoraid,Water,1×
11,Water Energy,Water E,1×
12,Psychic Energy,Psychic E,1×
13,Water Energy,Water E,1×
14,Water Energy,Water E,1×
15,Lightning Energy,Lightning E,1×
16,Totodile,Water,1×
17,Water Energy,Water E,1×
18,Mareep,Lightning,1×
19,Water Energy,Water E,1×
20,Potion,T,1×
21,Totodile,Water,1×
22,Master Ball,T,1×
23,Lightning Energy,Lightning E,1×
24,Qwilfish,Water,1×
25,Bill,T,1×
26,Flaaffy,Lightning,1×
27,Psychic Energy,Psychic E,1×
28,Water Energy,Water E,1×
29,Lightning Energy,Lightning E,1×
30,Mareep,Lightning,1×
