No.,Card name,Type,Rarity
—,Venonat,Grass,Common
—,Ledyba,Grass,Common
—,Sunkern,Grass,Common
—,Light Sunflora,Grass,Common
—,Pineco,Grass,Common
—,Light Venomoth,Grass,Uncommon
—,Scyther,Grass,Uncommon
—,Dark Forretress,Grass,Uncommon
—,Heracross,Grass,Uncommon
—,Light Ledian,Grass,Rare
—,Dark Ariados,Grass,Rare
—,Dark Crobat,Grass,Rare Holo
—,Shining Celebi,Grass,Shining Holo
—,Vulpix,Fire,Common
—,Growlithe,Fire,Common
—,Cyndaquil,Fire,Common
—,Slugma,Fire,Common
—,Light Ninetales,Fire,Uncommon
—,Light Flareon,Fire,Uncommon
—,Dark Quilava,Fire,Uncommon
—,Light Arcanine,Fire,Rare Holo
—,Dark Typhlosion,Fire,Rare Holo
—,Dark Magcargo,Fire,Rare
—,Dark Houndoom,Fire,Rare Holo
—,Shining Charizard,Fire,Shining Holo
—,Psyduck,Water,Common
—,Seel,Water,Common
—,Totodile,Water,Common
—,Swinub,Water,Common
—,Remoraid,Water,Common
—,Mantine,Water,Common
—,Light Golduck,Water,Uncommon
—,Light Dewgong,Water,Uncommon
—,Light Vaporeon,Water,Uncommon
—,Dark Omanyte,Water,Uncommon
—,Dark Croconaw,Water,Uncommon
—,Dark Octillery,Water,Uncommon
—,Dark Omastar,Water,Rare
—,Dark Feraligatr,Water,Rare Holo
—,Light Azumarill,Water,Rare Holo
—,Light Piloswine,Water,Rare
—,Mareep,Lightning,Common
—,Light Jolteon,Lightning,Uncommon
—,Dark Flaaffy,Lightning,Uncommon
—,Light Lanturn,Lightning,Rare
—,Dark Ampharos,Lightning,Rare Holo
—,Shining Raichu,Lightning,Shining Holo
—,Gastly,Psychic,Common
—,Exeggcute,Psychic,Common
—,Unown L,Psychic,Common
—,Unown S,Psychic,Common
—,Unown T,Psychic,Common
—,Unown V,Psychic,Common
—,Light Slowbro,Psychic,Uncommon
—,Dark Haunter,Psychic,Uncommon
—,Dark Exeggutor,Psychic,Uncommon
—,Unown C,Psychic,Uncommon
—,Unown P,Psychic,Uncommon
—,Unown Q,Psychic,Uncommon
—,Unown Z,Psychic,Uncommon
—,Dark Slowking,Psychic,Rare
—,Unown G,Psychic,Rare
—,Unown H,Psychic,Rare
—,Unown W,Psychic,Rare
—,Unown X,Psychic,Rare
—,Dark Gengar,Psychic,Rare Holo
—,Dark Espeon,Psychic,Rare Holo
—,Shining Mewtwo,Psychic,Shining Holo
—,Machop,Fighting,Common
—,Hitmonchan,Fighting,Common
—,Gligar,Fighting,Common
—,Phanpy,Fighting,Common
—,Larvitar,Fighting,Common
—,Light Machoke,Fighting,Uncommon
—,Hitmonlee,Fighting,Uncommon
—,Dark Pupitar,Fighting,Uncommon
—,Light Machamp,Fighting,Rare
—,Dark Donphan,Fighting,Rare Holo
—,Dark Tyranitar,Fighting,Rare Holo
—,Shining Kabutops,Fighting,Shining Holo
—,Houndour,Darkness,Uncommon
—,Shining Tyranitar,Darkness,Shining Holo
—,Dark Scizor,Metal,Rare Holo
—,Shining Steelix,Metal,Shining Holo
—,Jigglypuff,Colorless,Common
—,Porygon,Colorless,Common
—,Dratini,Colorless,Common
—,Togepi,Colorless,Common
—,Girafarig,Colorless,Common
—,Light Wigglytuff,Colorless,Uncommon
—,Dark Wigglytuff,Colorless,Uncommon
—,Chansey,Colorless,Uncommon
—,Light Dragonair,Colorless,Rare
—,Light Dragonite,Colorless,Rare Holo
—,Light Togetic,Colorless,Rare Holo
—,Dark Ursaring,Colorless,Rare
—,Dark Porygon2,Colorless,Rare Holo
—,Shining Noctowl,Colorless,Shining Holo
—,Heal Powder,T,Common
—,Mail from Bill,T,Common
—,Energy Stadium,T [St],Uncommon
—,Energy Amplifier,T,Uncommon
—,Counterattack Claws,T [PT],Uncommon
—,Magnifier,T,Uncommon
—,Pokémon Personality Test,T,Uncommon
—,Lucky Stadium,T [St],Uncommon
—,Team Rocket's Evil Deeds,T,Uncommon
—,Thought Wave Machine,T [R],Rare
—,EXP. ALL,T [PT],Rare
—,Broken Ground Gym,T [St],Rare
—,Impostor Oak's Invention,T,Rare
—,Radio Tower,T [St],Rare
—,Miracle Energy,Rainbow E,Rare Holo
