No.,Card name,Type,Promotion
001/P,Kecleon,Colorless,"Celebi: a Timeless Encounter theatrical release"
002/P,Rocket's Scizor,Metal,"Pokémon Card Trainers Vol. 12 (July 2001)"
003/P,Rocket's Sneasel,Darkness,"August 2001 CoroCoro Comic (July 2001)"
004/P,Pikachu,Lightning,"All Nippon Airways ""Pokémon Card e ANA Special '01 Version Campaign"" (July-September 2001)"
005/P,Larvitar,Fighting,"All Nippon Airways ""Pokémon Card e ANA Special '01 Version Campaign"" (July-September 2001)"
006/P,Celebi,Grass,"Nintendo Spaceworld 2001 Official Guidebook insert (August 2001)"
007/P,Celebi,Grass,"Pokémon Card Trainers Vol. 13 (September 2001)"
008/P,Tropical Wind,T,"Tropical Mega Battle 2001 finals participation prize"
009/P,Bill,T [Su],"Pokémon Card Trainers Vol. 13 (September 2001)"
010/P,Ho-Oh,Fire,"December 2001 CoroCoro Comic (November 2001)"
011/P,Rapidash,Fire,"January 2002 CoroCoro Comic (December 2001)"
012/P,Venusaur,Grass,"Starter Triple Get Campaign <Red Green Course>"
013/P,Blastoise,Water,"Starter Triple Get Campaign <Red Green Course>"
014/P,Charizard,Fire,"Starter Triple Get Campaign <Red Green Course>"
015/P,Meganium,Grass,"Starter Triple Get Campaign <Gold Silver Course>"
016/P,Feraligatr,Water,"Starter Triple Get Campaign <Gold Silver Course>"
017/P,Typhlosion,Fire,"Starter Triple Get Campaign <Gold Silver Course>"
018/P,Shining Imakuni?,T,"Pokémon Fan Club new membership giveaway"
019/P,Pokémon Center Tokyo,T,"Pokémon Center Tokyo: New York Pokémon Center opening commemoration (January 2002)"
020/P,Pokémon Center Osaka,T,"Pokémon Center Osaka: New York Pokémon Center opening commemoration (January 2002)"
021/P,Pikachu,Lightning,"McDonald's promotion (Saturdays, Sundays and public holidays from January 26 - February 24, 2002)"
022/P,Wooper,Water,"McDonald's promotion (Saturdays, Sundays and public holidays from January 26 - February 24, 2002)"
023/P,Tyrogue,Fighting,"McDonald's promotion (Saturdays, Sundays and public holidays from January 26 - February 24, 2002)"
024/P,Zapdos,Lightning,"McDonald's promotion (Saturdays, Sundays and public holidays from January 26 - February 24, 2002)"
025/P,Umbreon,Darkness,"McDonald's promotion (Saturdays, Sundays and public holidays from January 26 - February 24, 2002)"
026/P,Suicune,Water,"Celebi: a Timeless Encounter VHS/DVD release"
027/P,Touch Generation Change!,T,"New Garura Parent/Child Tournament participation prize"
028/P,Pichu Bros.,Lightning,"Guardian Gods of the City of Water: Latias and Latios advance ticket bonus"
029/P,Hoppip,Grass,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
030/P,Growlithe,Fire,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
031/P,Lanturn,Water,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
032/P,Pichu,Lightning,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
033/P,Mew,Psychic,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
034/P,Donphan,Fighting,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
035/P,Togepi,Colorless,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
036/P,Sneasel,Darkness,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
037/P,Scizor,Metal,"McDonald's promotion (Saturdays and Sundays from May 25 - June 16, 2002)"
038/P,Pikachu,Lightning,"Pokémon Festa 2002: Orienteering commemoration prize"
039/P,Crystal Energy,Colorless E,"Battle Road Summer 2002 gift card"
040/P,Boost Energy,Colorless E,"Battle Road Summer 2002 gift card"
041/P,Warp Energy,Colorless E,"Battle Road Summer 2002 gift card"
042/P,Celebi,Grass,"Pokémon Happy Adventure Rally 2002"
043/P,Entei,Fire,"Pokémon Happy Adventure Rally 2002"
044/P,Pikachu,Lightning,"Pokémon Happy Adventure Rally 2002"
045/P,Pichu,Lightning,"Pokémon Happy Adventure Rally 2002"
046/P,Mewtwo,Psychic,"Pokémon Happy Adventure Rally 2002"
047/P,Lugia,Psychic,"Pokémon Happy Adventure Rally 2002"
