No.,Card name,Type,Rarity
001/141,Falkner's Pidgeot,Colorless,Common
002/141,Falkner's Fearow,Colorless,Common
003/141,Falkner's Farfetch'd,Colorless,Common
004/141,Falkner's Dodrio,Colorless,Common
005/141,Falkner's Togetic,Colorless,Common
006/141,Falkner's Delibird,Colorless,Common
007/141,Falkner's Skarmory,Metal,Rare Holo
008/141,Bugsy's Butterfree,Grass,Common
009/141,Bugsy's Beedrill,Grass,Common
010/141,Bugsy's Pinsir,Grass,Common
011/141,Bugsy's Ledian,Grass,Common
012/141,Bugsy's Yanma,Grass,Common
013/141,Bugsy's Scizor,Metal,Rare Holo
014/141,Whitney's Clefable,Colorless,Common
015/141,Whitney's Wigglytuff,Colorless,Common
016/141,Whitney's Persian,Colorless,Common
017/141,Whitney's Lickitung,Colorless,Common
018/141,Whitney's Furret,Colorless,Common
019/141,Whitney's Miltank,Colorless,Common
020/141,Morty's Ninetales,Fire,Common
021/141,Morty's Gengar,Psychic,Common
022/141,Morty's Hypno,Psychic,Common
023/141,Morty's Marowak,Fighting,Common
024/141,Morty's Noctowl,Colorless,Common
025/141,Morty's Murkrow,Darkness,Rare Holo
026/141,Morty's Misdreavus,Psychic,Common
027/141,Jasmine's Raichu,Lightning,Common
028/141,Jasmine's Magneton,Lightning,Common
029/141,Jasmine's Electabuzz,Lightning,Common
030/141,Jasmine's Jolteon,Lightning,Common
031/141,Jasmine's Ampharos,Lightning,Common
032/141,Jasmine's Steelix,Metal,Rare Holo
033/141,Chuck's Primeape,Fighting,Common
034/141,Chuck's Poliwrath,Fighting,Common
035/141,Chuck's Rhydon,Fighting,Common
036/141,Chuck's Tauros,Colorless,Common
037/141,Chuck's Granbull,Colorless,Common
038/141,Chuck's Donphan,Fighting,Common
039/141,Pryce's Dewgong,Water,Common
040/141,Pryce's Cloyster,Water,Common
041/141,Pryce's Lapras,Water,Common
042/141,Pryce's Articuno,Water,Common
043/141,Pryce's Sneasel,Darkness,Rare Holo
044/141,Pryce's Piloswine,Water,Common
045/141,Pryce's Delibird,Water,Common
046/141,Clair's Blastoise,Water,Common
047/141,Clair's Jynx,Water,Common
048/141,Clair's Gyarados,Water,Common
049/141,Clair's Dragonite,Colorless,Common
050/141,Clair's Politoed,Water,Common
051/141,Clair's Mantine,Water,Common
052/141,Clair's Kingdra,Water,Common
053/141,Lt. Surge's Raichu,Lightning,Common
054/141,Lt. Surge's Lanturn,Lightning,Common
055/141,Sabrina's Xatu,Psychic,Common
056/141,Sabrina's Espeon,Psychic,Common
057/141,Misty's Lapras,Water,Common
058/141,Misty's Quagsire,Water,Common
059/141,Erika's Bellossom,Grass,Common
060/141,Erika's Jumpluff,Grass,Common
061/141,Janine's Beedrill,Grass,Common
062/141,Janine's Arbok,Grass,Common
063/141,Janine's Venomoth,Grass,Common
064/141,Janine's Weezing,Grass,Common
065/141,Janine's Ariados,Grass,Common
066/141,Janine's Crobat,Grass,Common
067/141,Janine's Shuckle,Grass,Common
068/141,Brock's Omastar,Fighting,Common
069/141,Brock's Kabutops,Fighting,Common
070/141,Blaine's Typhlosion,Fire,Common
071/141,Blaine's Magcargo,Fire,Common
072/141,Will's Slowbro,Psychic,Common
073/141,Will's Exeggutor,Psychic,Common
074/141,Will's Jynx,Psychic,Common
075/141,Will's Xatu,Psychic,Common
076/141,Will's Espeon,Psychic,Common
077/141,Will's Slowking,Psychic,Common
078/141,Will's Girafarig,Psychic,Common
079/141,Koga's Crobat,Grass,Common
080/141,Koga's Forretress,Grass,Common
081/141,Bruno's Machamp,Fighting,Common
082/141,Bruno's Hitmonlee,Fighting,Common
083/141,Bruno's Hitmonchan,Fighting,Common
084/141,Bruno's Steelix,Metal,Rare Holo
085/141,Bruno's Ursaring,Colorless,Common
086/141,Bruno's Hitmontop,Fighting,Common
087/141,Karen's Rapidash,Fire,Common
088/141,Karen's Magmar,Fire,Common
089/141,Karen's Flareon,Fire,Common
090/141,Karen's Tyranitar,Darkness,Rare Holo
091/141,Karen's Umbreon,Darkness,Rare Holo
092/141,Karen's Houndoom,Fire,Common
093/141,Rocket's Wobbuffet,Psychic,Rare Holo
094/141,Rocket's Raikou,Lightning,Rare Holo
095/141,Rocket's Entei,Fire,Rare Holo
096/141,Rocket's Suicune,Water,Rare Holo
097/141,Lance's Charizard,Fire,Common
098/141,Lance's Gyarados,Water,Common
099/141,Lance's Aerodactyl,Fighting,Common
100/141,Lance's Dragonite,Colorless,Common
101/141,Lance's Ampharos,Lightning,Common
102/141,Lance's Kingdra,Water,Common
103/141,Falkner's TM 01,T [TM],Uncommon
104/141,Falkner's TM 02,T [TM],Uncommon
105/141,Bugsy's TM 01,T [TM],Uncommon
106/141,Bugsy's TM 02,T [TM],Uncommon
107/141,Whitney's TM 01,T [TM],Uncommon
108/141,Whitney's TM 02,T [TM],Uncommon
109/141,Morty's TM 01,T [TM],Uncommon
110/141,Morty's TM 02,T [TM],Uncommon
111/141,Jasmine's TM 01,T [TM],Uncommon
112/141,Jasmine's TM 02,T [TM],Uncommon
113/141,Chuck's TM 01,T [TM],Uncommon
114/141,Chuck's TM 02,T [TM],Uncommon
115/141,Pryce's TM 01,T [TM],Uncommon
116/141,Pryce's TM 02,T [TM],Uncommon
117/141,Clair's TM 01,T [TM],Uncommon
118/141,Clair's TM 02,T [TM],Uncommon
119/141,Janine's TM 01,T [TM],Uncommon
120/141,Janine's TM 02,T [TM],Uncommon
121/141,Will's TM 01,T [TM],Uncommon
122/141,Will's TM 02,T [TM],Uncommon
123/141,Bruno's TM 01,T [TM],Uncommon
124/141,Bruno's TM 02,T [TM],Uncommon
125/141,Karen's TM 01,T [TM],Uncommon
126/141,Karen's TM 02,T [TM],Uncommon
127/141,Rocket's TM 01,T [TM],Uncommon
128/141,Lance's TM 01,T [TM],Uncommon
129/141,Lance's TM 02,T [TM],Uncommon
130/141,Potion,T,Common
131/141,Moo-Moo Milk,T,Common
132/141,Full Heal,T,Common
133/141,Pokémon Reversal,T,Common
134/141,Switch,T,Common
135/141,Warp Point,T,Common
136/141,Super Scoop Up,T,Common
137/141,Energy Flow,T,Common
138/141,Energy Charge,T,Common
139/141,Energy Ark,T,Common
140/141,Energy Restore,T,Common
141/141,Master Ball,T,Common
142/141,Rocket's Tyranitar,Darkness,Secret Rare
—,Grass Energy,Grass E,—
—,Fire Energy,Fire E,—
—,Water Energy,Water E,—
—,Lightning Energy,Lightning E,—
—,Psychic Energy,Psychic E,—
—,Fighting Energy,Fighting E,—
—,Darkness Energy,Darkness E,—
—,Metal Energy,Metal E,—
—,Rainbow Energy,Rainbow E,—
