No.,Card name,Type,Rarity
001/018,Bulbasaur,Grass,—
002/018,Oddish,Grass,—
003/018,Chikorita,Grass,—
004/018,Charmander,Fire,—
005/018,Vulpix,Fire,—
006/018,Cyndaquil,Fire,—
007/018,Squirtle,Water,—
008/018,Totodile,Water,—
009/018,Marill,Water,—
010/018,Pikachu,Lightning,—
011/018,Chinchou,Lightning,—
012/018,Mareep,Lightning,—
013/018,Abra,Psychic,—
014/018,Slowpoke,Psychic,—
015/018,Natu,Psychic,—
016/018,Sandshrew,Fighting,—
017/018,Phanpy,Fighting,—
018/018,Larvitar,Fighting,—
—,Grass Energy,Grass E,—
—,Fire Energy,Fire E,—
—,Water Energy,Water E,—
—,Lightning Energy,Lightning E,—
—,Psychic Energy,Psychic E,—
—,Fighting Energy,Fighting E,—
—,Grass Energy [Holo],Grass E,—
—,Fire Energy [Holo],Fire E,—
—,Water Energy [Holo],Water E,—
—,Lightning Energy [Holo],Lightning E,—
—,Psychic Energy [Holo],Psychic E,—
—,Fighting Energy [Holo],Fighting E,—
