No.,Card name,Type,Rarity
001/092,Nidoran♂,Grass,Common
002/092,Nidorino,Grass,Common
003/092,Grimer,Grass,Common
004/092,Muk,Grass,Rare
005/092,Muk,Grass,Rare Holo
006/092,Spinarak,Grass,Common
007/092,Spinarak,Grass,Common
008/092,Ariados,Grass,Rare
009/092,Ariados,Grass,Rare Holo
010/092,Hoppip,Grass,Common
011/092,Skiploom,Grass,Common
012/092,Jumpluff,Grass,Rare
013/092,Jumpluff,Grass,Rare Holo
014/092,Growlithe,Fire,Common
015/092,Growlithe,Fire,Common
016/092,Arcanine,Fire,Rare
017/092,Arcanine,Fire,Rare Holo
018/092,Houndour,Fire,Common
019/092,Houndoom,Fire,Uncommon
020/092,Psyduck,Water,Common
021/092,Golduck,Water,Common
022/092,Goldeen,Water,Common
023/092,Seaking,Water,Common
024/092,Marill,Water,Common
025/092,Azumarill,Water,Rare
026/092,Azumarill,Water,Rare Holo
027/092,Wooper,Water,Common
028/092,Wooper,Water,Common
029/092,Quagsire,Water,Uncommon
030/092,Suicune,Water,Rare
031/092,Suicune,Water,Rare Holo
032/092,Magnemite,Lightning,Common
033/092,Voltorb,Lightning,Common
034/092,Voltorb,Lightning,Common
035/092,Electrode,Lightning,Rare
036/092,Electrode,Lightning,Rare Holo
037/092,Zapdos,Lightning,Rare
038/092,Zapdos,Lightning,Rare Holo
039/092,Elekid,Lightning,Uncommon
040/092,Drowzee,Psychic,Common
041/092,Hypno,Psychic,Rare
042/092,Hypno,Psychic,Rare Holo
043/092,Mr. Mime,Psychic,Common
044/092,Jynx,Psychic,Uncommon
045/092,Espeon,Psychic,Rare
046/092,Espeon,Psychic,Rare Holo
047/092,Smoochum,Psychic,Common
048/092,Nidoking,Fighting,Rare
049/092,Nidoking,Fighting,Rare Holo
050/092,Cubone,Fighting,Common
051/092,Marowak,Fighting,Common
052/092,Hitmonchan,Fighting,Common
053/092,Phanpy,Fighting,Common
054/092,Donphan,Fighting,Uncommon
055/092,Tyrogue,Fighting,Common
056/092,Hitmontop,Fighting,Common
057/092,Chansey,Colorless,Common
058/092,Eevee,Colorless,Common
059/092,Porygon,Colorless,Common
060/092,Togepi,Colorless,Common
061/092,Togetic,Colorless,Rare
062/092,Togetic,Colorless,Rare Holo
063/092,Porygon2,Colorless,Uncommon
064/092,Smeargle,Colorless,Common
065/092,Blissey,Colorless,Rare
066/092,Blissey,Colorless,Rare Holo
067/092,Umbreon,Darkness,Rare
068/092,Umbreon,Darkness,Rare Holo
069/092,Houndour,Darkness,Common
070/092,Houndoom,Darkness,Rare
071/092,Houndoom,Darkness,Rare Holo
072/092,Magnemite,Metal,Common
073/092,Magneton,Metal,Rare
074/092,Magneton,Metal,Rare Holo
075/092,Weakness Guard,T,Uncommon
076/092,Super Energy Removal 2,T,Uncommon
077/092,Seer,T [Su],Uncommon
078/092,Pokémon Fan Club,T [Su],Uncommon
079/092,Town Volunteers,T [Su],Uncommon
080/092,Grass Cube 01,T [TM],Uncommon
081/092,Fire Cube 01,T [TM],Uncommon
082/092,Water Cube 01,T [TM],Uncommon
083/092,Lightning Cube 01,T [TM],Uncommon
084/092,Psychic Cube 01,T [TM],Uncommon
085/092,Fighting Cube 01,T [TM],Uncommon
086/092,Darkness Cube 01,T [TM],Uncommon
087/092,Metal Cube 01,T [TM],Uncommon
088/092,Pokémon Park,T [St],Uncommon
089/092,Power Plant,T [St],Uncommon
090/092,Darkness Energy,Darkness E,Uncommon
091/092,Metal Energy,Metal E,Uncommon
092/092,Rainbow Energy,Rainbow E,Uncommon
