No.,Card,Type,Quantity
001/018,Oakley's Ariados,Grass,1×
002/018,Brock's Crobat,Grass,1×
003/018,Misty's Politoed,Water,1×
004/018,Misty's Corsola,Water,1×
005/018,Ross's Wailmer,Water,1×
006/018,Alto Mare's Xatu,Psychic,1×
007/018,Annie's Espeon,Psychic,1×
008/018,Alto Mare's Kabutops,Fighting,1×
009/018,Alto Mare's Aerodactyl,Fighting,1×
010/018,Alto Mare's Pidgeotto,Colorless,1×
011/018,Alto Mare's Latias,Colorless,1×
012/018,Alto Mare's Latios,Colorless,1×
013/018,Energy Restore,T,1×
014/018,Energy Search,T,1×
015/018,Potion,T,1×
016/018,Soul Dew,T,1×
017/018,Switch,T,1×
018/018,Alto Mare Cube,T [TM],1×
—,Grass Energy,Grass E,3×
—,Water Energy,Water E,3×
—,Psychic Energy,Psychic E,3×
—,Fighting Energy,Fighting E,3×
