No.,Card name,Type,Rarity
001/088,Weedle,Grass,Common
002/088,Weedle,Grass,Common
003/088,Kakuna,Grass,Common
004/088,Beedrill,Grass,Rare
005/088,Beedrill,Grass,Rare Holo
006/088,Nidoran♀,Grass,Common
007/088,Nidoran♀,Grass,Common
008/088,Nidorina,Grass,Common
009/088,Nidoqueen,Grass,Rare
010/088,Nidoqueen,Grass,Rare Holo
011/088,Venonat,Grass,Common
012/088,Venomoth,Grass,Common
013/088,Sunkern,Grass,Common
014/088,Sunflora,Grass,Common
015/088,Growlithe,Fire,Common
016/088,Arcanine,Fire,Rare
017/088,Arcanine,Fire,Rare Holo
018/088,Moltres,Fire,Rare
019/088,Moltres,Fire,Rare Holo
020/088,Slugma,Fire,Common
021/088,Houndour,Fire,Common
022/088,Seel,Water,Common
023/088,Seel,Water,Common
024/088,Dewgong,Water,Rare
025/088,Dewgong,Water,Rare Holo
026/088,Magikarp,Water,Common
027/088,Gyarados,Water,Rare
028/088,Gyarados,Water,Rare Holo
029/088,Lapras,Water,Common
030/088,Articuno,Water,Rare
031/088,Articuno,Water,Rare Holo
032/088,Swinub,Water,Common
033/088,Piloswine,Water,Rare
034/088,Piloswine,Water,Rare Holo
035/088,Delibird,Water,Common
036/088,Magnemite,Lightning,Common
037/088,Magneton,Lightning,Rare
038/088,Magneton,Lightning,Rare Holo
039/088,Voltorb,Lightning,Common
040/088,Electrode,Lightning,Uncommon
041/088,Gastly,Psychic,Common
042/088,Haunter,Psychic,Common
043/088,Gengar,Psychic,Rare
044/088,Gengar,Psychic,Rare Holo
045/088,Natu,Psychic,Common
046/088,Xatu,Psychic,Rare
047/088,Xatu,Psychic,Rare Holo
048/088,Diglett,Fighting,Common
049/088,Dugtrio,Fighting,Common
050/088,Machop,Fighting,Common
051/088,Machoke,Fighting,Common
052/088,Machamp,Fighting,Rare
053/088,Machamp,Fighting,Rare Holo
054/088,Gligar,Fighting,Common
055/088,Magcargo,Fighting,Rare
056/088,Magcargo,Fighting,Rare Holo
057/088,Swinub,Fighting,Common
058/088,Piloswine,Fighting,Uncommon
059/088,Jigglypuff,Colorless,Common
060/088,Wigglytuff,Colorless,Uncommon
061/088,Farfetch'd,Colorless,Common
062/088,Snorlax,Colorless,Common
063/088,Hoothoot,Colorless,Common
064/088,Noctowl,Colorless,Uncommon
065/088,Igglybuff,Colorless,Common
066/088,Teddiursa,Colorless,Common
067/088,Ursaring,Colorless,Common
068/088,Stantler,Colorless,Common
069/088,Houndoom,Darkness,Rare
070/088,Houndoom,Darkness,Rare Holo
071/088,Magneton,Metal,Rare
072/088,Magneton,Metal,Rare Holo
073/088,Steelix,Metal,Rare
074/088,Steelix,Metal,Rare Holo
075/088,Fast Ball,T,Uncommon
076/088,Friend Ball,T,Uncommon
077/088,Lure Ball,T,Uncommon
078/088,Relic Hunter,T [Su],Uncommon
079/088,Fisherman,T [Su],Uncommon
080/088,Apricorn Maker,T [Su],Uncommon
081/088,Miracle Sphere α,T [TM],Uncommon
082/088,Miracle Sphere β,T [TM],Uncommon
083/088,Miracle Sphere γ,T [TM],Uncommon
084/088,Ancient Ruins,T [St],Uncommon
085/088,Mystery Zone,T [St],Uncommon
086/088,Cyclone Energy,Colorless E,Uncommon
087/088,Bounce Energy,Colorless E,Uncommon
088/088,Retro Energy,Colorless E,Uncommon
089/088,Charizard,Colorless,Rare Holo
090/088,Crobat,Colorless,Rare Holo
091/088,Celebi,Colorless,Rare Holo
