No.,Card name,Type,Promotion
001/PLAY,Regice ex,Water,"1st Season Subscription"
002/PLAY,Regirock ex,Fighting,"1st Season Subscription"
003/PLAY,Registeel ex,Metal,"1st Season Subscription"
004/PLAY,Plusle,Lightning,"Earn 2000 EXP Points"
005/PLAY,Minun,Lightning,"Earn 3000 EXP Points"
006/PLAY,Celebi ex,Grass,"Earn 5000 EXP Points"
007/PLAY,Mew ex,Psychic,"Earn 7000 EXP Points"
008/PLAY,Pokémon Card Fan,T [Su],"Battle Road Summer 2003"
009/PLAY,Moltres ex,Fire,"2nd Season Subscription (New Members)"
010/PLAY,Articuno ex,Water,"2nd Season Subscription (New Members)"
011/PLAY,Zapdos ex,Lightning,"2nd Season Subscription (New Members)"
012/PLAY,_____'s Celebi,Grass,"2nd Season Subscription (Continuing Players)"
013/PLAY,_____'s Mew,Psychic,"2nd Season Subscription (Continuing Players)"
014/PLAY,_____'s Jirachi,Metal,"2nd Season Subscription (Continuing Players)"
015/PLAY,Cyclone Energy,Colorless E,"2nd Season Subscription (Continuing Players)"
016/PLAY,Boost Energy,Colorless E,"2nd Season Subscription (Continuing Players)"
017/PLAY,Warp Energy,Colorless E,"2nd Season Subscription (Continuing Players)"
018/PLAY,Master Ball,T,"Battle Road Spring 2004"
019/PLAY,_____'s Kyogre,Water,"3rd Season Subscription"
020/PLAY,_____'s Groudon,Fighting,"3rd Season Subscription"
021/PLAY,_____'s Rayquaza,Colorless,"3rd Season Subscription"
022/PLAY,Vaporeon Star,Water,"Earn 10,000 EXP Points"
023/PLAY,Jolteon Star,Lightning,"Earn 20,000 EXP Points"
024/PLAY,Flareon Star,Fire,"Earn 30,000 EXP Points"
025/PLAY,Espeon Star,Psychic,"Earn 40,000 EXP Points"
026/PLAY,Umbreon Star,Darkness,"Earn 70,000 EXP Points"
027/PLAY,Kyogre ex,Water,"Limited Edition Starter Kit"
028/PLAY,Groudon ex,Fighting,"Limited Edition Starter Kit"
029/PLAY,Rayquaza ex,Colorless,"Limited Edition Starter Kit"
030/PLAY,Ho-Oh ex,Fire,"4th Season Subscription"
031/PLAY,Lugia ex,Psychic,"4th Season Subscription"
032/PLAY,Jirachi ex,Metal,"4th Season Subscription"
