No.,Card,Type,Quantity
001/019,Lapras ex,Water,1×
002/019,Mudkip,Water,1×
003/019,Mudkip,Water,1×
004/019,Marshtomp,Water,1×
005/019,Marshtomp,Water,1×
006/019,Swampert,Water,1×
007/019,Ralts,Psychic,1×
008/019,Ralts,Psychic,1×
009/019,Kirlia,Psychic,1×
010/019,Aron,Metal,1×
011/019,Aron,Metal,1×
012/019,Lairon,Metal,1×
013/019,Energy Switch,T,1×
014/019,Potion,T,1×
015/019,PokéNav,T,1×
016/019,Switch,T,1×
017/019,Poké Ball,T,1×
018/019,Professor Birch,T [Su],1×
019/019,Lum Berry,T [PT],1×
—,Water Energy,Water E,5×
—,Psychic Energy,Psychic E,5×
—,Metal Energy,Metal E,1×
