No.,Card,Type,Quantity
001/019,Scyther ex,Grass,1×
002/019,Treecko,Grass,1×
003/019,Treecko,Grass,1×
004/019,Grovyle,Grass,1×
005/019,Grovyle,Grass,1×
006/019,Sceptile,Grass,1×
007/019,Makuhita,Fighting,1×
008/019,Makuhita,Fighting,1×
009/019,Hariyama,Fighting,1×
010/019,Skitty,Colorless,1×
011/019,Skitty,Colorless,1×
012/019,Delcatty,Colorless,1×
013/019,Energy Search,T,1×
014/019,Energy Removal 2,T,1×
015/019,Potion,T,1×
016/019,PokéNav,T,1×
017/019,Poké Ball,T,1×
018/019,Professor Birch,T [Su],1×
019/019,Lum Berry,T [PT],1×
—,Grass Energy,Grass E,5×
—,Fighting Energy,Fighting E,5×
—,Rainbow Energy,Rainbow E,1×
