No.,Card,Type,Quantity
001/019,Nincada,Grass,1×
002/019,Nincada,Grass,1×
003/019,Ninjask,Grass,1×
004/019,Magnemite,Lightning,1×
005/019,Magnemite,Lightning,1×
006/019,Magneton,Lightning,1×
007/019,Trapinch,Fighting,1×
008/019,Trapinch,Fighting,1×
009/019,Vibrava,Colorless,1×
010/019,Vibrava,Colorless,1×
011/019,Flygon,Colorless,1×
012/019,Latios ex,Colorless,1×
013/019,Energy Recycle System,T,1×
014/019,Potion,T,1×
015/019,PokéNav,T,1×
016/019,Poké Ball,T,1×
017/019,TV Reporter,T [Su],1×
018/019,Balloon Berry,T [PT],1×
019/019,Low Pressure System,T [St],1×
—,Grass Energy,Grass E,5×
—,Lightning Energy,Lightning E,5×
—,Rainbow Energy,Rainbow E,1×
