No.,Card,Type,Quantity
001/019,Numel,Fire,1×
002/019,Numel,Fire,1×
003/019,Camerupt,Fire,1×
004/019,Corphish,Water,1×
005/019,Corphish,Water,1×
006/019,Crawdaunt,Water,1×
007/019,Bagon,Colorless,1×
008/019,Bagon,Colorless,1×
009/019,Shelgon,Colorless,1×
010/019,Shelgon,Colorless,1×
011/019,Salamence,Colorless,1×
012/019,Latias ex,Colorless,1×
013/019,Energy Recycle System,T,1×
014/019,Potion,T,1×
015/019,PokéNav,T,1×
016/019,Poké Ball,T,1×
017/019,TV Reporter,T [Su],1×
018/019,Balloon Berry,T [PT],1×
019/019,High Pressure System,T [St],1×
—,Fire Energy,Fire E,5×
—,Water Energy,Water E,5×
—,Rainbow Energy,Rainbow E,1×
