No.,Card,Type,Quantity
001/019,Forina's Nuzleaf,Grass,1×
002/019,Forina's Breloom,Grass,1×
003/019,Forina's Tropius,Grass,1×
004/019,Forina's Jirachi,Psychic,1×
005/019,Forina's Linoone,Colorless,1×
006/019,Forina's Flygon,Colorless,1×
007/019,Forina's Altaria,Colorless,1×
008/019,Forina's Absol,Darkness,1×
009/019,Butler's Kirlia,Psychic,1×
010/019,Butler's Dusclops,Psychic,1×
011/019,Butler's Salamence,Colorless,1×
012/019,Butler's Mightyena,Darkness,1×
013/019,Energy Restore,T,1×
014/019,Energy Switch,T,1×
015/019,Potion,T,1×
016/019,Switch,T,1×
017/019,Pokémon Reversal,T,1×
018/019,Butler's Magic Trick,T [Su],1×
019/019,Wish Maker,T [PT],1×
—,Grass Energy,Grass E,5×
—,Psychic Energy,Psychic E,5×
—,Darkness Energy,Darkness E,1×
