No.,Card,Type,Quantity
001/033,Team Aqua's Carvanha,Water,1×
002/033,Team Aqua's Carvanha,Water,1×
003/033,Team Aqua's Sharpedo,Water,1×
008/033,Team Aqua's Spheal,Water,2×
009/033,Team Aqua's Sealeo,Water,2×
011/033,Team Aqua's Walrein,WaterDarkness,1×
013/033,Team Aqua's Kyogre,WaterDarkness,1×
015/033,Team Aqua's Chinchou,Lightning,1×
016/033,Team Aqua's Lanturn,Lightning,1×
021/033,Team Aqua's Poochyena,Darkness,1×
022/033,Team Aqua's Mightyena,Darkness,1×
024/033,Potion,T,1×
026/033,Team Aqua Ball,T,1×
027/033,Team Aqua Schemer,T [Su],1×
028/033,Team Aqua Conspirator,T [Su],2×
029/033,Archie,T [Su],1×
032/033,Team Aqua Hideout,T [St],1×
033/033,Aqua Energy,Water E,1×
—,Water Energy,Water E,6×
—,Lightning Energy,Lightning E,3×
