No.,Card,Type,Quantity
001/018,Charmander,Fire,1×
002/018,Charmeleon,Fire,1×
003/018,Horsea,Water,1×
004/018,Seadra,Water,1×
005/018,Lotad,Water,1×
006/018,Lombre,Water,1×
007/018,Ludicolo,Water,1×
008/018,Spoink,Psychic,1×
009/018,Slakoth,Colorless,1×
010/018,Vigoroth,Colorless,1×
011/018,Latias ex,Colorless,1×
012/018,Houndour,Darkness,1×
013/018,Houndoom,Darkness,1×
014/018,Potion,T,1×
015/018,Double Full Heal,T,1×
016/018,Master Ball,T,1×
017/018,Lady Outing,T [Su],1×
018/018,Professor Birch,T [Su],1×
—,Fire Energy,Fire E,4×
—,Water Energy,Water E,4×
—,Psychic Energy,Psychic E,2×
—,Darkness Energy,Darkness E,2×
