No.,Card,Type,Quantity
001/019,Meditite,Psychic,1×
002/019,Baltoy,Psychic,1×
003/019,Beldum,Psychic,1×
004/019,Metang,Psychic,1×
005/019,Metagross,PsychicMetal,1×
006/019,Jirachi,PsychicMetal,1×
007/019,Meditite,Fighting,1×
008/019,Medicham,Fighting,1×
009/019,Baltoy,Fighting,1×
010/019,Claydol,Fighting,1×
011/019,Beldum,Metal,1×
012/019,Metang,Metal,1×
013/019,Potion,T,1×
014/019,Life Herb,T,1×
015/019,PokéNav,T,1×
016/019,Switch,T,1×
017/019,Poké Ball,T,1×
018/019,Steven's Advice,T [Su],1×
019/019,Magnetic Storm,T [St],1×
—,Psychic Energy,Psychic E,5×
—,Fighting Energy,Fighting E,4×
—,Metal Energy,Metal E,2×
