No.,Card name,Type,Rarity
001/082,Caterpie,Grass,Common
002/082,Metapod,Grass,Uncommon
003/082,Butterfree,Grass,Rare Holo
004/082,Weedle,Grass,Common
005/082,Kakuna,Grass,Uncommon
006/082,Beedrill,Grass,Rare Holo
007/082,Nidoran♀,Grass,Common
008/082,Nidorina,Grass,Rare
009/082,Nidoran♂,Grass,Common
010/082,Nidorino,Grass,Rare
011/082,Paras,Grass,Common
012/082,Parasect,Grass,Rare
013/082,Venonat,Grass,Uncommon
014/082,Venomoth,Grass,Rare
015/082,Bellsprout,Grass,Common
016/082,Weepinbell,Grass,Rare
017/082,Victreebel,Grass,Rare Holo
018/082,Tangela,Grass,Rare
019/082,Scyther,Grass,Rare
020/082,Growlithe,Fire,Uncommon
021/082,Arcanine,Fire,Rare
022/082,Ponyta,Fire,Common
023/082,Rapidash,Fire,Rare Holo
024/082,Moltres ex,Fire,Rare Holo ex
025/082,Poliwag,Water,Common
026/082,Poliwhirl,Water,Rare
027/082,Poliwrath,Water,Rare Holo
028/082,Seel,Water,Common
029/082,Dewgong,Water,Rare Holo
030/082,Shellder,Water,Uncommon
031/082,Cloyster,Water,Rare Holo
032/082,Krabby,Water,Common
033/082,Kingler,Water,Rare
034/082,Magikarp,Water,Common
035/082,Gyarados ex,Water,Rare Holo ex
036/082,Articuno ex,Water,Rare Holo ex
037/082,Pikachu,Lightning,Common
038/082,Raichu,Lightning,Rare Holo
039/082,Magnemite,Lightning,Uncommon
040/082,Magneton,Lightning,Rare
041/082,Voltorb,Lightning,Common
042/082,Electrode ex,Lightning,Rare Holo ex
043/082,Zapdos ex,Lightning,Rare Holo ex
044/082,Slowpoke,Psychic,Common
045/082,Slowbro,Psychic,Rare Holo
046/082,Gastly,Psychic,Common
047/082,Haunter,Psychic,Rare
048/082,Gengar ex,Psychic,Rare Holo ex
049/082,Drowzee,Psychic,Uncommon
050/082,Hypno,Psychic,Rare
051/082,Exeggcute,Psychic,Uncommon
052/082,Exeggutor,Psychic,Rare Holo
053/082,Mr. Mime ex,Psychic,Rare Holo ex
054/082,Mr. Mime ex,Psychic,Rare Holo ex
055/082,Nidoqueen,Fighting,Rare Holo
056/082,Nidoking,Fighting,Rare Holo
057/082,Diglett,Fighting,Common
058/082,Dugtrio,Fighting,Rare
059/082,Mankey,Fighting,Uncommon
060/082,Primeape,Fighting,Rare
061/082,Onix,Fighting,Uncommon
062/082,Cubone,Fighting,Common
063/082,Marowak,Fighting,Rare Holo
064/082,Pidgeot,Colorless,Rare Holo
065/082,Clefairy,Colorless,Common
066/082,Clefable ex,Colorless,Rare Holo ex
067/082,Farfetch'd,Colorless,Rare
068/082,Lickitung,Colorless,Rare
069/082,Chansey,Colorless,Rare
070/082,Kangaskhan,Colorless,Rare Holo
071/082,Tauros,Colorless,Rare Holo
072/082,Ditto,Colorless,Rare Holo
073/082,Porygon,Colorless,Uncommon
074/082,Snorlax,Colorless,Rare Holo
075/082,Great Ball,T,Uncommon
076/082,VS Seeker,T,Uncommon
077/082,PokéDex HANDY909,T,Uncommon
078/082,Professor Oak's Research,T [Su],Uncommon
079/082,Celio's Network,T [Su],Uncommon
080/082,Bill's Maintenance,T [Su],Uncommon
081/082,EXP. ALL,T [PT],Uncommon
082/082,Mt. Moon,T [St],Uncommon
