No.,Card name,Type,Rarity
001/084,Ekans,Grass,Common
002/084,Zubat,Grass,Common
003/084,Grimer,Grass,Common
004/084,Koffing,Grass,Common
005/084,Ledyba,Grass,Common
006/084,Ledian,Grass,Rare Holo
007/084,Hoppip,Grass,Common
008/084,Skiploom,Grass,Uncommon
009/084,Jumpluff,Grass,Rare Holo
010/084,Yanma,Grass,Rare
011/084,Treecko Star,Grass,ShinyRare Holo
012/084,Dark Arbok,GrassDarkness,Rare
013/084,Dark Golbat,GrassDarkness,Rare
014/084,Dark Muk,GrassDarkness,Rare
015/084,Dark Weezing,GrassDarkness,Rare Holo
016/084,Dark Crobat,GrassDarkness,Rare Holo
017/084,Magmar,Fire,Rare
018/084,Houndour,Fire,Common
019/084,Magby,Fire,Rare
020/084,Torchic Star,Fire,ShinyRare Holo
021/084,Dark Houndoom,FireDarkness,Rare Holo
022/084,Horsea,Water,Common
023/084,Seadra,Water,Uncommon
024/084,Marill,Water,Common
025/084,Azumarill,Water,Rare Holo
026/084,Wooper,Water,Common
027/084,Quagsire,Water,Rare
028/084,Qwilfish,Water,Rare
029/084,Remoraid,Water,Common
030/084,Delibird,Water,Rare
031/084,Mantine,Water,Rare
032/084,Kingdra,Water,Rare Holo
033/084,Mudkip Star,Water,ShinyRare Holo
034/084,Dark Octillery,WaterDarkness,Rare Holo
035/084,Voltorb,Lightning,Common
036/084,Mareep,Lightning,Common
037/084,Dark Electrode,LightningDarkness,Rare Holo
038/084,Dark Flaaffy,LightningDarkness,Rare
039/084,Dark Ampharos,LightningDarkness,Rare Holo
040/084,Slowpoke,Psychic,Common
041/084,Drowzee,Psychic,Common
042/084,Misdreavus,Psychic,Rare
043/084,Dark Hypno,PsychicDarkness,Rare Holo
044/084,Dark Slowking,PsychicDarkness,Rare Holo
045/084,Sandshrew,Fighting,Common
046/084,Onix,Fighting,Uncommon
047/084,Cubone,Fighting,Common
048/084,Heracross,Fighting,Rare
049/084,Swinub,Fighting,Common
050/084,Piloswine,Fighting,Rare Holo
051/084,Dark Sandslash,FightingDarkness,Rare
052/084,Dark Marowak,FightingDarkness,Rare Holo
053/084,Rattata,Colorless,Common
054/084,Sentret,Colorless,Common
055/084,Furret,Colorless,Rare
056/084,Togepi,Colorless,Uncommon
057/084,Togetic,Colorless,Rare Holo
058/084,Dark Raticate,Darkness,Rare
059/084,Rocket's Meowth,Darkness,Rare
060/084,Rocket's Hitmonchan ex,Darkness,Rare Holo ex
061/084,Rocket's Scyther ex,Darkness,Rare Holo ex
062/084,Rocket's Snorlax ex,Darkness,Rare Holo ex
063/084,Rocket's Zapdos ex,Darkness,Rare Holo ex
064/084,Rocket's Mewtwo ex,Darkness,Rare Holo ex
065/084,Rocket's Wobbuffet,Darkness,Rare
066/084,Rocket's Scizor ex,Darkness,Rare Holo ex
067/084,Rocket's Sneasel ex,Darkness,Rare Holo ex
068/084,Rocket's Entei ex,Darkness,Rare Holo ex
069/084,Rocket's Suicune ex,Darkness,Rare Holo ex
070/084,Dark Tyranitar,Darkness,Rare Holo
071/084,Rocket's Celebi,Darkness,Rare Holo
072/084,Dark Steelix,DarknessMetal,Rare Holo
073/084,Pow! Hand Extension,T [R],Uncommon
074/084,Swoop! Teleporter,T [R],Uncommon
075/084,Surprise! Time Machine,T [R],Uncommon
076/084,Venture Bomb,T [R],Uncommon
077/084,Pokémon Retriever,T [R],Uncommon
078/084,Copycat,T [Su],Uncommon
079/084,Rocket's Admin.,T [Su],Uncommon
080/084,Rocket's Mission,T [Su],Uncommon
081/084,Rocket's Hideout,T [St],Uncommon
082/084,Rocket's Tricky Gym,T [St],Uncommon
083/084,R Energy,Darkness E,Uncommon
084/084,Dark Metal Energy,Darkness E,Uncommon
085/084,Here Comes Team Rocket!,T [Su],Rare Secret
