No.,Card name,Type,Rarity
001/086,Weedle,Grass,Common
002/086,Kakuna,Grass,Common
003/086,Zubat,Grass,Common
004/086,Golbat,Grass,Common
005/086,Koffing,Grass,Common
006/086,Weezing,Grass,Rare
007/086,Ditto,Grass,Rare
008/086,Volbeat,Grass,Rare
009/086,Illumise,Grass,Rare
010/086,Beedrill δ,GrassMetal,Rare Holo
011/086,Crobat δ,GrassMetal,Rare Holo
012/086,Ditto,Fire,Rare
013/086,Larvitar δ,Fire,Common
014/086,Pupitar δ,Fire,Uncommon
015/086,Sunny Castform,Fire,Rare
016/086,Bagon δ,Fire,Common
017/086,Shelgon δ,Fire,Uncommon
018/086,Flareon δ,FireMetal,Rare Holo
019/086,Mewtwo δ,FireMetal,Rare Holo
020/086,Tyranitar δ,FireMetal,Rare Holo
021/086,Salamence δ,FireMetal,Rare Holo
022/086,Slowpoke,Water,Common
023/086,Staryu,Water,Common
024/086,Ditto,Water,Rare
025/086,Slowking,Water,Rare
026/086,Rain Castform,Water,Rare
027/086,Snow-cloud Castform,Water,Rare
028/086,Kyogre Star,Water,ShinyRare Holo
029/086,Starmie δ,WaterMetal,Rare Holo
030/086,Vaporeon δ,WaterMetal,Rare Holo
031/086,Holon's Voltorb,Lightning,Uncommon
032/086,Holon's Electrode,Lightning,Rare Holo
033/086,Ditto,Lightning,Rare
034/086,Dratini δ,Lightning,Common
035/086,Dragonair δ,Lightning,Uncommon
036/086,Beldum δ,Lightning,Common
037/086,Metang δ,Lightning,Uncommon
038/086,Jolteon δ,LightningMetal,Rare Holo
039/086,Dragonite δ,LightningMetal,Rare Holo
040/086,Metagross δ,LightningMetal,Rare Holo
041/086,Latias δ,LightningMetal,Rare Holo
042/086,Latios δ,LightningMetal,Rare Holo
043/086,Rayquaza δ,LightningMetal,Rare Holo
044/086,Drowzee,Psychic,Common
045/086,Hypno,Psychic,Rare
046/086,Ditto,Psychic,Rare
047/086,Ralts,Psychic,Common
048/086,Kirlia,Psychic,Common
049/086,Espeon δ,PsychicMetal,Rare Holo
050/086,Gardevoir δ,PsychicMetal,Rare Holo
051/086,Sandshrew,Fighting,Common
052/086,Cubone,Fighting,Common
053/086,Ditto,Fighting,Rare
054/086,Makuhita,Fighting,Common
055/086,Hariyama,Fighting,Rare
056/086,Groudon Star,Fighting,ShinyRare Holo
057/086,Sandslash δ,FightingMetal,Rare Holo
058/086,Marowak δ,FightingMetal,Rare Holo
059/086,Meowth,Colorless,Common
060/086,Persian,Colorless,Rare
061/086,Ditto,Colorless,Rare
062/086,Porygon,Colorless,Common
063/086,Porygon2,Colorless,Rare
064/086,Taillow,Colorless,Common
065/086,Swellow,Colorless,Rare
066/086,Azurill,Colorless,Uncommon
067/086,Castform,Colorless,Rare
068/086,Poochyena,Darkness,Common
069/086,Umbreon δ,DarknessMetal,Rare Holo
070/086,Mightyena δ,DarknessMetal,Rare Holo
071/086,Holon's Magnemite,Metal,Uncommon
072/086,Holon's Magneton,Metal,Rare Holo
073/086,Eevee δ,Metal,Uncommon
074/086,Skarmory,Metal,Uncommon
075/086,Metagross Star,Metal,ShinyRare Holo
076/086,Holon Transceiver,T,Uncommon
077/086,Holon Scientist,T [Su],Uncommon
078/086,Holon Researcher,T [Su],Uncommon
079/086,Holon Mentor,T [Su],Uncommon
080/086,Holon Farmer,T [Su],Uncommon
081/086,Holon Lass,T [Su],Uncommon
082/086,Holon Research Tower,T [St],Uncommon
083/086,Holon Ruins,T [St],Uncommon
084/086,Holon Energy GL,Colorless E,Uncommon
085/086,Holon Energy FF,Colorless E,Uncommon
086/086,Holon Energy WP,Colorless E,Uncommon
