No.,Card name,Type,Rarity
—,Bulbasaur,Grass,Common
—,Ivysaur,Grass,Uncommon
—,Venusaur,Grass,Rare Holo
—,Venonat,Grass,Common
—,Venomoth,Grass,Uncommon
—,Pinsir,Grass,Uncommon
—,Hoppip,Grass,Common
—,Skiploom,Grass,Uncommon
—,Jumpluff,Grass,Rare Holo
—,Sunkern,Grass,Common
—,Sunflora,Grass,Rare
—,Shuckle,Grass,Common
—,Shroomish,Grass,Common
—,Breloom,Grass,Uncommon
—,Burmy Plant Cloak,Grass,Common
—,Burmy Sandy Cloak,Grass,Common
—,Burmy Trash Cloak,Grass,Common
—,Wormadam Plant Cloak,Grass,Rare
—,Mothim,Grass,Rare
—,Charmander,Fire,Common
—,Charmeleon,Fire,Uncommon
—,Charizard,Fire,Rare Holo
—,Growlithe,Fire,Common
—,Arcanine,Fire,Rare
—,Entei,Fire,Rare Holo
—,Ho-Oh,Fire,Rare Holo
—,Squirtle,Water,Common
—,Wartortle,Water,Uncommon
—,Blastoise,Water,Rare Holo
—,Psyduck,Water,Common
—,Golduck,Water,Rare
—,Shellder,Water,Common
—,Cloyster,Water,Uncommon
—,Qwilfish,Water,Common
—,Wooper,Water,Common
—,Quagsire,Water,Uncommon
—,Corsola,Water,Common
—,Suicune,Water,Rare Holo
—,Lotad,Water,Common
—,Lombre,Water,Uncommon
—,Ludicolo,Water,Rare Holo
—,Shellos West Sea,Water,Common
—,Shellos East Sea,Water,Common
—,Gastrodon East Sea,Water,Rare Holo
—,Palkia LV.X,Water,Rare Holo LV.X
—,Voltorb,Lightning,Common
—,Electrode,Lightning,Rare
—,Mareep,Lightning,Common
—,Flaaffy,Lightning,Uncommon
—,Ampharos,Lightning,Rare Holo
—,Raikou,Lightning,Rare Holo
—,Plusle,Lightning,Rare
—,Minun,Lightning,Rare
—,Nidoran♂,Psychic,Common
—,Nidorino,Psychic,Uncommon
—,Nidoking,Psychic,Rare
—,Grimer,Psychic,Common
—,Muk,Psychic,Uncommon
—,Smoochum,Psychic,Uncommon
—,Jynx,Psychic,Common
—,Mew,Psychic,Rare Holo
—,Natu,Psychic,Common
—,Xatu,Psychic,Rare
—,Unown K,Psychic,Uncommon
—,Unown N,Psychic,Uncommon
—,Unown O,Psychic,Uncommon
—,Unown S,Psychic,Rare
—,Unown X,Psychic,Uncommon
—,Unown Z,Psychic,Uncommon
—,Ralts,Psychic,Common
—,Kirlia,Psychic,Uncommon
—,Shuppet,Psychic,Common
—,Banette,Psychic,Rare
—,Duskull,Psychic,Common
—,Diglett,Fighting,Common
—,Dugtrio,Fighting,Rare
—,Golem,Fighting,Rare
—,Phanpy,Fighting,Common
—,Donphan,Fighting,Uncommon
—,Gallade,Fighting,Rare Holo
—,Trapinch,Fighting,Common
—,Vibrava,Fighting,Uncommon
—,Flygon,Fighting,Rare Holo
—,Wormadam Sandy Cloak,Fighting,Rare
—,Gastrodon West Sea,Fighting,Rare Holo
—,Pidgey,Colorless,Common
—,Pidgeotto,Colorless,Uncommon
—,Pidgeot,Colorless,Rare
—,Rattata,Colorless,Common
—,Raticate,Colorless,Uncommon
—,Farfetch'd,Colorless,Uncommon
—,Lickitung,Colorless,Common
—,Lickilicky,Colorless,Rare Holo
—,Sentret,Colorless,Common
—,Furret,Colorless,Rare
—,Stantler,Colorless,Common
—,Smeargle,Colorless,Uncommon
—,Miltank,Colorless,Common
—,Lugia,Colorless,Rare Holo
—,Spinda,Colorless,Common
—,Kecleon,Colorless,Uncommon
—,Bagon,Colorless,Common
—,Shelgon,Colorless,Uncommon
—,Salamence,Colorless,Rare Holo
—,Clefairy,Colorless,Common
—,Sableye,Darkness,Uncommon
—,Carvanha,Darkness,Common
—,Sharpedo,Darkness,Rare
—,Absol,Darkness,Rare
—,Darkrai,Darkness,Rare Holo
—,Murkrow,Darkness,Common
—,Darkrai LV.X,Darkness,Rare Holo LV.X
—,Wormadam Trash Cloak,Metal,Rare
—,Dialga LV.X,Metal,Rare Holo LV.X
—,Professor Oak's Visit,Su,Uncommon
—,Team Galactic's Mars,Su,Uncommon
—,Roseanne's Research,Su,Uncommon
—,Darkness Energy,Darkness E,Uncommon
—,Metal Energy,Metal E,Uncommon
