No.,Card name,Type,Rarity
001/108,Seedot,Grass,Common
002/108,Cacnea,Grass,Common
003/108,Seviper,Grass,Rare
004/108,Lileep,Grass,Common
005/108,Cradily,Grass,Rare
006/108,Charmander,Fire,Common
007/108,Charmeleon,Fire,Uncommon
008/108,Charizard,Fire,Rare
009/108,Vulpix,Fire,Common
010/108,Ninetales,Fire,Rare
011/108,Flareon Star,Fire,ShinyRare Holo
012/108,Torchic,Fire,Common
013/108,Combusken,Fire,Uncommon
014/108,Blaziken,Fire,Rare Holo
015/108,Vaporeon Star,Water,ShinyRare Holo
016/108,Omanyte,Water,Common
017/108,Omastar,Water,Rare
018/108,Snorunt,Water,Common
019/108,Glalie,Water,Uncommon
020/108,Spheal,Water,Common
021/108,Sealeo,Water,Uncommon
022/108,Walrein ex,Water,Rare Holo ex
023/108,Pikachu,Lightning,Common
024/108,Raichu,Lightning,Rare Holo
025/108,Magnemite,Lightning,Common
026/108,Magneton,Lightning,Rare
027/108,Jolteon Star,Lightning,ShinyRare Holo
028/108,Chinchou,Lightning,Common
029/108,Lanturn,Lightning,Rare
030/108,Pichu,Lightning,Rare
031/108,Wobbuffet,Psychic,Rare
032/108,Ralts,Psychic,Common
033/108,Kirlia,Psychic,Uncommon
034/108,Gardevoir,Psychic,Rare Holo
035/108,Sableye,Psychic,Rare
036/108,Baltoy,Psychic,Common
037/108,Claydol ex,Psychic,Rare Holo ex
038/108,Shuppet,Psychic,Common
039/108,Banette,Psychic,Rare
040/108,Duskull,Psychic,Common
041/108,Dusclops,Psychic,Rare
042/108,Wynaut,Psychic,Common
043/108,Machop,Fighting,Common
044/108,Machoke,Fighting,Uncommon
045/108,Machamp,Fighting,Rare
046/108,Kabuto,Fighting,Common
047/108,Kabutops,Fighting,Rare
048/108,Meditite,Fighting,Common
049/108,Medicham,Fighting,Uncommon
050/108,Trapinch,Fighting,Common
051/108,Anorith,Fighting,Uncommon
052/108,Armaldo,Fighting,Rare
053/108,Poochyena,Darkness,Common
054/108,Mightyena,Darkness,Rare
055/108,Nuzleaf,Darkness,Uncommon
056/108,Shiftry ex,Darkness,Rare Holo ex
057/108,Carvanha,Darkness,Common
058/108,Sharpedo,Darkness,Uncommon
059/108,Cacturne,Darkness,Uncommon
060/108,Absol ex,Darkness,Rare Holo ex
061/108,Skarmory ex,Metal,Rare Holo ex
062/108,Mawile,Metal,Rare
063/108,Aron,Metal,Common
064/108,Lairon,Metal,Uncommon
065/108,Aggron,Metal,Rare
066/108,Beldum,Metal,Common
067/108,Metang,Metal,Uncommon
068/108,Metagross ex,Metal,Rare Holo ex
069/108,Slakoth,Colorless,Common
070/108,Vigoroth,Colorless,Uncommon
071/108,Slaking,Colorless,Rare Holo
072/108,Skitty,Colorless,Common
073/108,Delcatty,Colorless,Rare Holo
074/108,Vibrava,Colorless,Uncommon
075/108,Flygon ex,Colorless,Rare Holo ex
076/108,Swablu,Colorless,Common
077/108,Altaria,Colorless,Rare
078/108,Zangoose,Colorless,Rare
079/108,Bagon,Colorless,Common
080/108,Shelgon,Colorless,Uncommon
081/108,Salamence ex,Colorless,Rare Holo ex
082/108,Energy Recycle System,T,Uncommon
083/108,Energy Switch,T,Uncommon
084/108,Energy Removal 2,T,Uncommon
085/108,Great Ball,T,Uncommon
086/108,Claw Fossil,T,Common
087/108,Mysterious Fossil,T,Common
088/108,Root Fossil,T,Common
089/108,Master Ball,T,Uncommon
090/108,Scott,T [Su],Uncommon
091/108,Professor Birch,T [Su],Uncommon
092/108,Steven's Advice,T [Su],Uncommon
093/108,Battle Frontier,T [St],Uncommon
094/108,Sidney's Stadium,T [St],Uncommon
095/108,Drake's Stadium,T [St],Uncommon
096/108,Phoebe's Stadium,T [St],Uncommon
097/108,Glacia's Stadium,T [St],Uncommon
098/108,Cyclone Energy,Colorless E,Uncommon
099/108,Multi Energy,Rainbow E,Rare
100/108,Warp Energy,Colorless E,Uncommon
101/108,Darkness Energy,Darkness E,Rare
102/108,Metal Energy,Metal E,Rare
103/108,Grass Energy,Grass E,Rare
104/108,Fire Energy,Fire E,Rare
105/108,Water Energy,Water E,Rare
106/108,Lightning Energy,Lightning E,Rare
107/108,Psychic Energy,Psychic E,Rare
108/108,Fighting Energy,Fighting E,Rare
