No.,Card name,Type,Rarity
—,Caterpie,Grass,Common
—,Metapod,Grass,Common
—,Butterfree,Grass,Rare
—,Leafeon,Grass,Rare Holo
—,Treecko,Grass,Common
—,Grovyle,Grass,Uncommon
—,Sceptile,Grass,Rare Holo
—,Illumise,Grass,Common
—,Cacnea,Grass,Common
—,Leafeon LV.X,Grass,Rare Holo LV.X
—,Flareon,Fire,Rare
—,Moltres,Fire,Rare
—,Slugma,Fire,Common
—,Magcargo,Fire,Uncommon
—,Krabby,Water,Common
—,Kingler,Water,Rare
—,Lapras,Water,Rare
—,Glaceon,Water,Rare Holo
—,Articuno,Water,Rare
—,Delibird,Water,Uncommon
—,Wingull,Water,Common
—,Pelipper,Water,Uncommon
—,Clamperl,Water,Common
—,Huntail,Water,Uncommon
—,Gorebyss,Water,Uncommon
—,Luvdisc,Water,Common
—,Phione,Water,Rare Holo
—,Glaceon LV.X,Water,Rare Holo LV.X
—,Jolteon,Lightning,Rare
—,Pachirisu,Lightning,Rare Holo
—,Ekans,Psychic,Common
—,Arbok,Psychic,Uncommon
—,Espeon,Psychic,Rare
—,Unown L,Psychic,Common
—,Unown P,Psychic,Rare
—,Unown Q,Psychic,Common
—,Gardevoir,Psychic,Rare Holo
—,Gardevoir LV.X,Psychic,Rare Holo LV.X
—,Mankey,Fighting,Common
—,Primeape,Fighting,Rare
—,Kabuto,Fighting,Common
—,Kabutops,Fighting,Rare Holo
—,Solrock,Fighting,Common
—,Baltoy,Fighting,Common
—,Claydol,Fighting,Rare
—,Igglybuff,Colorless,Common
—,Jigglypuff,Colorless,Common
—,Wigglytuff,Colorless,Rare
—,Eevee,Colorless,Common
—,Aerodactyl,Colorless,Rare
—,Togepi,Colorless,Common
—,Togetic,Colorless,Uncommon
—,Togekiss,Colorless,Rare Holo
—,Zigzagoon,Colorless,Common
—,Linoone,Colorless,Uncommon
—,Swablu,Colorless,Common
—,Altaria,Colorless,Rare
—,Zangoose,Colorless,Common
—,Latias,Colorless,Rare
—,Cacturne,Darkness,Uncommon
—,Mawile,Metal,Rare
—,Rare Candy,T,Uncommon
—,Premier Ball,T,Uncommon
—,Leftovers,T,Uncommon
—,Felicity's Drawing,Su,Uncommon
—,Dawn Stadium,St,Uncommon
—,Dome Fossil,T,Uncommon
—,Old Amber,T,Uncommon
—,Call Energy,Colorless E,Uncommon
—,Health Energy,Colorless E,Uncommon
