No.,Card name,Type,Rarity
001/092,Tangela,Grass,Common
002/092,Tangrowth,Grass,Rare
003/092,Scyther,Grass,Uncommon
004/092,Scizor,Grass,Rare
005/092,Sceptile,Grass,Rare Holo
006/092,Combee,Grass,Common
007/092,Vespiquen,Grass,Rare
008/092,Cherubi,Grass,Common
009/092,Cherrim,Grass,Rare
010/092,Skorupi,Grass,Common
011/092,Shaymin,Grass,Rare Holo
012/092,Shaymin LV.X,Grass,Rare Holo LV.X
013/092,Ponyta,Fire,Common
014/092,Rapidash,Fire,Rare
015/092,Heatran LV.X,Fire,Rare Holo LV.X
016/092,Magikarp,Water,Common
017/092,Gyarados,Water,Rare
018/092,Bibarel,Water,Uncommon
019/092,Finneon,Water,Common
020/092,Lumineon,Water,Rare Holo
021/092,Snover,Water,Common
022/092,Abomasnow,Water,Rare
023/092,Pichu,Lightning,Uncommon
024/092,Pikachu,Lightning,Uncommon
025/092,Raichu,Lightning,Rare Holo
026/092,Raichu LV.X,Lightning,Rare Holo LV.X
027/092,Voltorb,Lightning,Common
028/092,Voltorb,Lightning,Common Holo
029/092,Electrode,Lightning,Uncommon
030/092,Gastly,Psychic,Common
031/092,Haunter,Psychic,Uncommon
032/092,Gengar,Psychic,Rare
033/092,Misdreavus,Psychic,Common
034/092,Mismagius,Psychic,Rare Holo
035/092,Budew,Psychic,Uncommon
036/092,Roselia,Psychic,Common
037/092,Roserade,Psychic,Rare
038/092,Duskull,Psychic,Common
039/092,Duskull,Psychic,Common Holo
040/092,Dusclops,Psychic,Uncommon
041/092,Dusknoir,Psychic,Rare Holo
042/092,Dusknoir LV.X,Psychic,Rare Holo LV.X
043/092,Drifloon,Psychic,Common
044/092,Drifloon,Psychic,Common Holo
045/092,Drifblim,Psychic,Rare
046/092,Bronzor,Psychic,Common
047/092,Bronzong,Psychic,Rare
048/092,Giratina,Psychic,Rare Holo
049/092,Machop,Fighting,Common
050/092,Machoke,Fighting,Uncommon
051/092,Machamp,Fighting,Rare
052/092,Machamp LV.X,Fighting,Rare Holo LV.X
053/092,Onix,Fighting,Common
054/092,Swinub,Fighting,Common
055/092,Piloswine,Fighting,Uncommon
056/092,Mamoswine,Fighting,Rare
057/092,Larvitar,Fighting,Common
058/092,Pupitar,Fighting,Uncommon
059/092,Torterra,Fighting,Rare Holo
060/092,Infernape,Fighting,Rare Holo
061/092,Tyranitar,Darkness,Rare
062/092,Sableye,Darkness,Uncommon
063/092,Stunky,Darkness,Common
064/092,Skuntank,Darkness,Rare
065/092,Drapion,Darkness,Rare
066/092,Magnemite,Metal,Common
067/092,Magneton,Metal,Uncommon
068/092,Magnezone,Metal,Rare Holo
069/092,Steelix,Metal,Rare
070/092,Empoleon,Metal,Rare Holo
071/092,Dialga,Metal,Rare Holo
072/092,Bagon,Colorless,Common
073/092,Shelgon,Colorless,Uncommon
074/092,Salamence,Colorless,Rare
075/092,Starly,Colorless,Common
076/092,Staravia,Colorless,Uncommon
077/092,Staraptor,Colorless,Rare
078/092,Bidoof,Colorless,Common
079/092,Regigigas,Colorless,Rare Holo
080/092,Regigigas LV.X,Colorless,Rare Holo LV.X
081/092,Luxury Ball,T,Uncommon
082/092,Great Ball,T,Uncommon
083/092,Poké Drawer +,T,Uncommon
084/092,Poké Healer +,T,Uncommon
085/092,Poké Blower +,T,Uncommon
086/092,Energy Link,T,Uncommon
087/092,Marley's Request,Su,Uncommon
088/092,Cyclone Energy,Colorless E,Uncommon
089/092,Warp Energy,Colorless E,Uncommon
090/092,Charmander,Fire,Ultra-Rare Common
091/092,Charmeleon,Fire,Ultra-Rare Uncommon
092/092,Charizard,Fire,Ultra-Rare Rare
