No.,Card name,Type,Rarity
001/090,Weedle,Grass,Common
002/090,Kakuna,Grass,Common
003/090,Beedrill,Grass,Rare
004/090,Seedot,Grass,Common
005/090,Tropius,Grass,Uncommon
006/090,Turtwig Pokémon GL,Grass,Common
007/090,Roserade Pokémon GL,Grass,Rare Holo
008/090,Leafeon,Grass,Rare
009/090,Growlithe,Fire,Uncommon
010/090,Arcanine,Fire,Rare Holo
011/090,Flareon,Fire,Rare
012/090,Staryu,Water,Common
013/090,Starmie,Water,Uncommon
014/090,Vaporeon,Water,Rare
015/090,Quagsire Pokémon GL,Water,Common
016/090,Spheal,Water,Common
017/090,Sealeo,Water,Uncommon
018/090,Walrein,Water,Rare
019/090,Floatzel Pokémon GL,Water,Rare Holo
020/090,Floatzel Pokémon GL LV.X,Water,Rare Holo LV.X
021/090,Shellos West Sea,Water,Common
022/090,Shellos East Sea,Water,Common
023/090,Gastrodon East Sea,Water,Rare
024/090,Glaceon,Water,Rare
025/090,Mamoswine Pokémon GL,Water,Rare
026/090,Froslass Pokémon GL,Water,Rare Holo
027/090,Raichu Pokémon GL,Lightning,Rare
028/090,Jolteon,Lightning,Rare
029/090,Luxray Pokémon GL,Lightning,Rare Holo
030/090,Luxray Pokémon GL LV.X,Lightning,Rare Holo LV.X
031/090,Heat Rotom,Lightning,Uncommon Holo
032/090,Frost Rotom,Lightning,Uncommon Holo
033/090,Wash Rotom,Lightning,Uncommon Holo
034/090,Fan Rotom,Lightning,Uncommon Holo
035/090,Mow Rotom,Lightning,Uncommon Holo
036/090,Nidoran♀,Psychic,Common
037/090,Nidorina,Psychic,Common
038/090,Nidoqueen,Psychic,Rare
039/090,Nidoran♂,Psychic,Common
040/090,Nidorino,Psychic,Common
041/090,Alakazam Pokémon 4,Psychic,Rare
042/090,Alakazam Pokémon 4 LV.X,Psychic,Rare Holo LV.X
043/090,Gengar Pokémon GL,Psychic,Rare
044/090,Koffing,Psychic,Common
045/090,Weezing,Psychic,Uncommon
046/090,Mismagius Pokémon GL,Psychic,Rare Holo
047/090,Nidoking,Fighting,Rare
048/090,Machamp Pokémon GL,Fighting,Uncommon
049/090,Aerodactyl Pokémon GL,Fighting,Uncommon
050/090,Trapinch,Fighting,Common
051/090,Rampardos Pokémon GL,Fighting,Rare Holo
052/090,Gastrodon West Sea,Fighting,Rare
053/090,Lucario Pokémon GL,Fighting,Rare Holo
054/090,Hippopotas,Fighting,Common
055/090,Hippowdon,Fighting,Rare
056/090,Hippowdon LV.X,Fighting,Rare Holo LV.X
057/090,Nuzleaf,Darkness,Common
058/090,Shiftry,Darkness,Rare Holo
059/090,Carvanha,Darkness,Common
060/090,Sharpedo,Darkness,Uncommon
061/090,Forretress Pokémon G,Metal,Uncommon
062/090,Steelix Pokémon GL,Metal,Uncommon
063/090,Aron,Metal,Common
064/090,Lairon,Metal,Uncommon
065/090,Aggron,Metal,Rare
066/090,Jirachi,Metal,Rare Holo
067/090,Bastiodon Pokémon GL,Metal,Rare Holo
068/090,Eevee,Colorless,Common
069/090,Munchlax,Colorless,Common
070/090,Snorlax,Colorless,Common
071/090,Vibrava,Colorless,Uncommon
072/090,Flygon,Colorless,Rare Holo
073/090,Flygon LV.X,Colorless,Rare Holo LV.X
074/090,Kecleon,Colorless,Common
075/090,Ambipom Pokémon G,Colorless,Rare
076/090,Team Galactic's Invention G-109 SP Radar,T,Uncommon
077/090,Team Galactic's Invention G-107 Technical Machine Pokémon G,T,Uncommon
078/090,Underground Expedition,Su,Uncommon
079/090,Volkner's Philosophy,Su,Uncommon
080/090,Charon's Choice,Su,Uncommon Holo
081/090,Bebe's Search,Su,Uncommon
082/090,Sunyshore City Gym,St,Uncommon
083/090,Pokémon Contest Hall,St,Uncommon
084/090,Upper Energy,Colorless E,Uncommon
085/090,SP Energy,Colorless E,Uncommon
086/090,Darkness Energy,Darkness E,Uncommon
087/090,Metal Energy,Metal E,Uncommon
088/090,Pikachu,Lightning,SuperRare Holo
089/090,Surfing Pikachu,Lightning,SuperRare Holo
090/090,Flying Pikachu,Lightning,SuperRare Holo
