No.,Card name,Type,Rarity
001/100,Bulbasaur,Grass,Common
002/100,Ivysaur,Grass,Uncommon
003/100,Venusaur,Grass,Rare Holo
004/100,Butterfree Pokémon FB,Grass,Rare
005/100,Paras,Grass,Common
006/100,Parasect,Grass,Rare
007/100,Pinsir,Grass,Common
008/100,Yanma,Grass,Uncommon
009/100,Yanma,Grass,Uncommon Holo
010/100,Yanmega,Grass,Rare Holo
011/100,Surskit,Grass,Common
012/100,Masquerain,Grass,Uncommon
013/100,Shroomish,Grass,Common
014/100,Nincada,Grass,Common
015/100,Ninjask,Grass,Uncommon
016/100,Shedinja,Grass,Rare
017/100,Magmar,Fire,Common
018/100,Magmortar,Fire,Rare Holo
019/100,Blaziken Pokémon FB,Fire,Rare Holo
020/100,Blaziken Pokémon FB LV.X,Fire,Rare Holo LV.X
021/100,Numel,Fire,Common
022/100,Camerupt,Fire,Rare
023/100,Seel,Water,Common
024/100,Dewgong,Water,Rare
025/100,Goldeen,Water,Common
026/100,Seaking,Water,Rare
027/100,Mudkip,Water,Common
028/100,Marshtomp,Water,Uncommon
029/100,Swampert,Water,Rare Holo
030/100,Wailmer,Water,Common
031/100,Wailord,Water,Rare
032/100,Feebas,Water,Common
033/100,Milotic,Water,Uncommon
034/100,Milotic,Water,Uncommon Holo
035/100,Empoleon Pokémon FB,Water,Rare
036/100,Plusle,Lightning,Rare
037/100,Minun,Lightning,Uncommon
038/100,Electivire Pokémon FB,Lightning,Rare Holo
039/100,Electivire Pokémon FB LV.X,Lightning,Rare Holo LV.X
040/100,Mime Jr.,Psychic,Common
041/100,Mr. Mime,Psychic,Rare
042/100,Meditite,Psychic,Common
043/100,Medicham,Psychic,Rare
044/100,Lunatone,Psychic,Uncommon
045/100,Solrock,Psychic,Rare
046/100,Baltoy,Psychic,Common
047/100,Claydol,Psychic,Rare
048/100,Chingling,Psychic,Common
049/100,Chimecho,Psychic,Common
050/100,Drifblim Pokémon FB,Psychic,Rare Holo
051/100,Dusknoir Pokémon FB,Psychic,Rare
052/100,Sandshrew,Fighting,Common
053/100,Sandslash,Fighting,Rare
054/100,Mankey,Fighting,Common
055/100,Primeape,Fighting,Rare
056/100,Rhyhorn,Fighting,Common
057/100,Rhydon,Fighting,Uncommon
058/100,Rhyperior,Fighting,Rare Holo
059/100,Breloom,Fighting,Uncommon
060/100,Relicanth,Fighting,Uncommon
061/100,Relicanth,Fighting,Uncommon Holo
062/100,Murkrow,Darkness,Common
063/100,Honchkrow,Darkness,Rare
064/100,Absol Pokémon G,Darkness,Rare Holo
065/100,Absol Pokémon G LV.X,Darkness,Rare Holo LV.X
066/100,Skarmory Pokémon FB,Metal,Common
067/100,Mawile,Metal,Rare
068/100,Beldum,Metal,Common
069/100,Metang,Metal,Uncommon
070/100,Metagross,Metal,Rare Holo
071/100,Doduo,Colorless,Common
072/100,Dodrio,Colorless,Rare
073/100,Dragonite Pokémon FB,Colorless,Uncommon
074/100,Whismur,Colorless,Common
075/100,Loudred,Colorless,Uncommon
076/100,Exploud,Colorless,Rare
077/100,Spinda,Colorless,Rare
078/100,Rayquaza Pokémon C,Colorless,Rare Holo
079/100,Rayquaza Pokémon C LV.X,Colorless,Rare Holo LV.X
080/100,Staraptor Pokémon FB,Colorless,Rare Holo
081/100,Staraptor Pokémon FB LV.X,Colorless,Rare Holo LV.X
082/100,Chatot Pokémon G,Colorless,Uncommon
083/100,Gible,Colorless,Common
084/100,Gabite,Colorless,Uncommon
085/100,Garchomp,Colorless,Rare Holo
086/100,Lickilicky Pokémon C,Colorless,Common
087/100,Regigigas Pokémon FB,Colorless,Rare Holo
088/100,VS Seeker,T,Uncommon
089/100,Night Teleporter,T,Uncommon
090/100,Cyrus's Initiative,Su,Uncommon
091/100,Palmer's Contribution,Su,Uncommon
092/100,Cynthia's Guidance,Su,Uncommon
093/100,Champion's Room,St,Uncommon
094/100,Battle Tower,St,Uncommon
095/100,SP Energy,Colorless E,Uncommon
096/100,Darkness Energy,Darkness E,Uncommon
097/100,Metal Energy,Metal E,Uncommon
098/100,Moltres,Fire,SuperRare Holo
099/100,Articuno,Water,SuperRare Holo
100/100,Zapdos,Lightning,SuperRare Holo
