No.,Card name,Type,Rarity
001/090,Beedrill Pokémon G,Grass,Common
002/090,Tangela,Grass,Common
003/090,Tangrowth,Grass,Rare Holo
004/090,Tangrowth LV.X,Grass,Rare Holo LV.X
005/090,Treecko,Grass,Common
006/090,Grovyle,Grass,Uncommon
007/090,Sceptile,Grass,Rare
008/090,Burmy Plant Cloak,Grass,Common
009/090,Burmy Sandy Cloak,Grass,Common
010/090,Burmy Trash Cloak,Grass,Common
011/090,Wormadam Plant Cloak,Grass,Uncommon
012/090,Mothim,Grass,Rare Holo
013/090,Cherubi,Grass,Common
014/090,Cherrim,Grass,Rare
015/090,Charmander,Fire,Common
016/090,Charmeleon,Fire,Uncommon
017/090,Charizard,Fire,Rare Holo
018/090,Ponyta,Fire,Common
019/090,Ponyta,Fire,Common Holo
020/090,Rapidash,Fire,Rare
021/090,Heatran,Fire,Rare Holo
022/090,Omanyte,Water,Common
023/090,Omastar,Water,Rare
024/090,Wingull,Water,Common
025/090,Pelipper,Water,Rare
026/090,Snorunt,Water,Common
027/090,Glalie,Water,Rare
028/090,Froslass,Water,Rare Holo
029/090,Arceus,Water,Rare Holo
030/090,Pichu,Lightning,Rare
031/090,Pikachu,Lightning,Common
032/090,Raichu,Lightning,Rare
033/090,Zapdos Pokémon G,Lightning,Rare Holo
034/090,Electrike,Lightning,Common
035/090,Manectric,Lightning,Rare
036/090,Shinx,Lightning,Common
037/090,Shinx,Lightning,Common Holo
038/090,Luxio,Lightning,Uncommon
039/090,Luxray,Lightning,Rare Holo
040/090,Gastly,Psychic,Common
041/090,Haunter,Psychic,Uncommon
042/090,Gengar,Psychic,Rare
043/090,Gengar LV.X,Psychic,Rare Holo LV.X
044/090,Gulpin,Psychic,Common
045/090,Swalot,Psychic,Rare Holo
046/090,Geodude,Fighting,Common
047/090,Graveler,Fighting,Uncommon
048/090,Golem,Fighting,Rare
049/090,Kabuto,Fighting,Common
050/090,Kabutops,Fighting,Rare Holo
051/090,Aerodactyl,Fighting,Rare
052/090,Makuhita,Fighting,Common
053/090,Hariyama,Fighting,Rare
054/090,Nosepass,Fighting,Common
055/090,Wormadam Sandy Cloak,Fighting,Uncommon
056/090,Croagunk,Fighting,Common
057/090,Toxicroak,Fighting,Rare Holo
058/090,Arceus,Fighting,Rare Holo
059/090,Spiritomb,Darkness,Rare
060/090,Arceus,Darkness,Rare Holo
061/090,Wormadam Trash Cloak,Metal,Uncommon
062/090,Bronzor,Metal,Common
063/090,Bronzong,Metal,Rare
064/090,Probopass,Metal,Rare Holo
065/090,Arceus,Metal,Rare Holo
066/090,Rattata,Colorless,Common
067/090,Raticate,Colorless,Rare
068/090,Bagon,Colorless,Common
069/090,Bagon,Colorless,Common Holo
070/090,Shelgon,Colorless,Uncommon
071/090,Salamence,Colorless,Rare Holo
072/090,Salamence LV.X,Colorless,Rare Holo LV.X
073/090,Buneary,Colorless,Common
074/090,Lopunny,Colorless,Rare
075/090,Porygon-Z Pokémon G,Colorless,Rare
076/090,Arceus,Colorless,Rare Holo
077/090,Arceus LV.X,Colorless,Rare Holo LV.X
078/090,Energy Search,T,Uncommon
079/090,Beginning Door,T,Uncommon
080/090,Pokémon Rescue,T,Uncommon
081/090,Helix Fossil,T,Uncommon
082/090,Dome Fossil,T,Uncommon
083/090,Old Amber,T,Uncommon
084/090,Lucky Egg,T,Uncommon
085/090,Expert Belt,T,Uncommon
086/090,Bench Shield,T,Uncommon
087/090,Professor Oak's Visit,Su,Uncommon
088/090,Department Girl,Su,Uncommon
089/090,Bebe's Search,Su,Uncommon
090/090,Ultimate Zone,St,Uncommon
