No.,Card name,Type,Rarity
001/070,Caterpie,Grass,Common
002/070,Metapod,Grass,Uncommon
003/070,Butterfree,Grass,Rare
004/070,Paras,Grass,Common
005/070,Parasect,Grass,Uncommon
006/070,Chikorita,Grass,Common
007/070,Bayleef,Grass,Common
008/070,Meganium,Grass,Uncommon
009/070,Meganium,Grass,Rare Prime
010/070,Ledyba,Grass,Common
011/070,Ledian,Grass,Rare
012/070,Vulpix,Fire,Common
013/070,Ninetales,Fire,Rare Holo
014/070,Cyndaquil,Fire,Common
015/070,Quilava,Fire,Common
016/070,Typhlosion,Fire,Uncommon
017/070,Typhlosion,Fire,Rare Prime
018/070,Poliwag,Water,Common
019/070,Poliwhirl,Water,Uncommon
020/070,Poliwrath,Water,Rare
021/070,Politoed,Water,Rare Holo
022/070,Magikarp,Water,Common
023/070,Gyarados,Water,Rare Holo
024/070,Marill,Water,Common
025/070,Azumarill,Water,Rare Holo
026/070,Wooper,Water,Common
027/070,Quagsire,Water,Rare Holo
028/070,Delibird,Water,Uncommon
029/070,Lugia LEGEND,Water,Rare Holo LEGEND
030/070,Lugia LEGEND,Water,Rare Holo LEGEND
031/070,Pichu,Lightning,Rare Holo
032/070,Pikachu,Lightning,Common
033/070,Raichu,Lightning,Rare Holo
034/070,Zubat,Psychic,Common
035/070,Golbat,Psychic,Common
036/070,Crobat,Psychic,Uncommon
037/070,Crobat,Psychic,Rare Prime
038/070,Drowzee,Psychic,Common
039/070,Hypno,Psychic,Rare
040/070,Exeggcute,Psychic,Common
041/070,Exeggutor,Psychic,Rare
042/070,Natu,Psychic,Common
043/070,Xatu,Psychic,Rare Holo
044/070,Unown,Psychic,Uncommon
045/070,Sandshrew,Fighting,Common
046/070,Sandslash,Fighting,Rare
047/070,Sudowoodo,Fighting,Rare Holo
048/070,Tyrogue,Fighting,Rare
049/070,Hitmontop,Fighting,Rare Holo
050/070,Igglybuff,Colorless,Uncommon
051/070,Jigglypuff,Colorless,Common
052/070,Wigglytuff,Colorless,Uncommon
053/070,Meowth,Colorless,Common
054/070,Persian,Colorless,Rare
055/070,Farfetch'd,Colorless,Rare
056/070,Aipom,Colorless,Common
057/070,Snubbull,Colorless,Common
058/070,Granbull,Colorless,Rare
059/070,Teddiursa,Colorless,Common
060/070,Ursaring,Colorless,Uncommon
061/070,Ursaring,Colorless,Rare Prime
062/070,Miltank,Colorless,Uncommon
063/070,Full Heal,I,Uncommon
064/070,Pokégear 3.0,I,Uncommon
065/070,Pokémon Communication,I,Uncommon
066/070,Moomoo Milk,I,Uncommon
067/070,Fisherman,Su,Uncommon
068/070,Pokémon Collector,Su,Uncommon
069/070,Copycat,Su,Uncommon
070/070,Rainbow Energy,Colorless E,Uncommon
071/070,Alph Lithograph,I,—
