No.,Card name,Type,Rarity
001/080,Oddish,Grass,Common
002/080,Gloom,Grass,Uncommon
003/080,Vileplume,Grass,Rare
004/080,Bellossom,Grass,Rare Holo
005/080,Scyther,Grass,Common
006/080,Pineco,Grass,Common
007/080,Combee,Grass,Common
008/080,Vespiquen,Grass,Rare
009/080,Flareon,Fire,Uncommon
010/080,Slugma,Fire,Common
011/080,Magcargo,Fire,Rare Holo
012/080,Horsea,Water,Common
013/080,Seadra,Water,Common
014/080,Kingdra,Water,Uncommon
015/080,Kingdra,Water,Rare Prime
016/080,Vaporeon,Water,Uncommon
017/080,Jolteon,Lightning,Uncommon
018/080,Chinchou,Lightning,Common
019/080,Lanturn,Lightning,Rare
020/080,Lanturn,Lightning,Rare Prime
021/080,Rotom,Lightning,Rare
022/080,Grimer,Psychic,Common
023/080,Muk,Psychic,Uncommon
024/080,Espeon,Psychic,Rare Holo
025/080,Misdreavus,Psychic,Common
026/080,Mismagius,Psychic,Rare
027/080,Unown,Psychic,Uncommon
028/080,Drifloon,Psychic,Common
029/080,Drifblim,Psychic,Rare
030/080,Onix,Fighting,Common
031/080,Gligar,Fighting,Common
032/080,Gliscor,Fighting,Rare Holo
033/080,Larvitar,Fighting,Common
034/080,Pupitar,Fighting,Uncommon
035/080,Makuhita,Fighting,Common
036/080,Hariyama,Fighting,Rare
037/080,Umbreon,Darkness,Rare Holo
038/080,Murkrow,Darkness,Common
039/080,Honchkrow,Darkness,Rare
040/080,Sneasel,Darkness,Common
041/080,Weavile,Darkness,Rare
042/080,Houndour,Darkness,Common
043/080,Houndoom,Darkness,Rare Holo
044/080,Tyranitar,Darkness,Rare Prime
045/080,Sableye,Darkness,Common
046/080,Forretress,Metal,Rare Holo
047/080,Steelix,Metal,Rare Prime
048/080,Scizor,Metal,Rare Holo
049/080,Skarmory,Metal,Rare
050/080,Mawile,Metal,Common
051/080,Beldum,Metal,Common
052/080,Metang,Metal,Uncommon
053/080,Metagross,Metal,Rare
054/080,Rattata,Colorless,Common
055/080,Raticate,Colorless,Common
056/080,Doduo,Colorless,Common
057/080,Dodrio,Colorless,Rare
058/080,Eevee,Colorless,Common
059/080,Togepi,Colorless,Common
060/080,Togetic,Colorless,Uncommon
061/080,Togekiss,Colorless,Rare Holo
062/080,Smeargle,Colorless,Rare Holo
063/080,Entei & Raikou LEGEND,FireLightning,Rare Holo LEGEND
064/080,Entei & Raikou LEGEND,FireLightning,Rare Holo LEGEND
065/080,Suicune & Entei LEGEND,WaterFire,Rare Holo LEGEND
066/080,Suicune & Entei LEGEND,WaterFire,Rare Holo LEGEND
067/080,Raikou & Suicune LEGEND,LightningWater,Rare Holo LEGEND
068/080,Raikou & Suicune LEGEND,LightningWater,Rare Holo LEGEND
069/080,Energy Exchanger,I,Uncommon
070/080,Defender,I,Uncommon
071/080,Rare Candy,I,Uncommon
072/080,PlusPower,I,Uncommon
073/080,Legend Box,I,Uncommon
074/080,Flower Shop Lady,Su,Uncommon
075/080,Sage's Training,Su,Uncommon
076/080,Team Rocket's Trickery,Su,Uncommon
077/080,Ruins of Alph,St,Uncommon
078/080,Burned Tower,St,Uncommon
079/080,Darkness Energy,Darkness E,Uncommon
080/080,Metal Energy,Metal E,Uncommon
081/080,Alph Lithograph,I,—
