No.,Card name,Type,Rarity
001/080,Bellsprout,Grass,Common
002/080,Weepinbell,Grass,Uncommon
003/080,Victreebel,Grass,Rare Holo
004/080,Yanma,Grass,Common
005/080,Yanmega,Grass,Uncommon
006/080,Yanmega,Grass,Rare Prime
007/080,Celebi,Grass,Rare Prime
008/080,Kricketot,Grass,Common
009/080,Kricketune,Grass,Rare
010/080,Ponyta,Fire,Common
011/080,Rapidash,Fire,Rare Holo
012/080,Magby,Fire,Uncommon
013/080,Magmar,Fire,Uncommon
014/080,Magmortar,Fire,Rare
015/080,Psyduck,Water,Common
016/080,Golduck,Water,Rare
017/080,Tentacool,Water,Common
018/080,Tentacruel,Water,Uncommon
019/080,Swinub,Water,Common
020/080,Piloswine,Water,Uncommon
021/080,Mamoswine,Water,Rare Holo
022/080,Wailmer,Water,Common
023/080,Wailord,Water,Rare
024/080,Luvdisc,Water,Common
025/080,Voltorb,Lightning,Common
026/080,Electrode,Lightning,Uncommon
027/080,Electrode,Lightning,Rare Prime
028/080,Elekid,Lightning,Rare
029/080,Electabuzz,Lightning,Uncommon
030/080,Electivire,Lightning,Rare Holo
031/080,Nidoran♀,Psychic,Common
032/080,Nidorina,Psychic,Uncommon
033/080,Nidoqueen,Psychic,Rare
034/080,Nidoran♂,Psychic,Common
035/080,Nidorino,Psychic,Uncommon
036/080,Unown,Psychic,Uncommon
037/080,Celebi,Psychic,Rare Holo
038/080,Spoink,Psychic,Common
039/080,Grumpig,Psychic,Rare
040/080,Skorupi,Psychic,Common
041/080,Nidoking,Fighting,Rare Holo
042/080,Machop,Fighting,Common
043/080,Machoke,Fighting,Common
044/080,Machamp,Fighting,Uncommon
045/080,Machamp,Fighting,Rare Prime
046/080,Cubone,Fighting,Common
047/080,Marowak,Fighting,Uncommon
048/080,Lunatone,Fighting,Rare
049/080,Solrock,Fighting,Rare Holo
050/080,Carvanha,Darkness,Common
051/080,Sharpedo,Darkness,Rare
052/080,Drapion,Darkness,Rare Holo
053/080,Aron,Metal,Common
054/080,Lairon,Metal,Uncommon
055/080,Aggron,Metal,Rare Holo
056/080,Bronzor,Metal,Common
057/080,Bronzong,Metal,Rare
058/080,Pidgey,Colorless,Common
059/080,Pidgeotto,Colorless,Common
060/080,Pidgeot,Colorless,Uncommon
061/080,Lickitung,Colorless,Common
062/080,Lickilicky,Colorless,Uncommon
063/080,Kangaskhan,Colorless,Common
064/080,Ditto,Colorless,Rare
065/080,Porygon,Colorless,Common
066/080,Porygon2,Colorless,Common
067/080,Porygon-Z,Colorless,Rare Holo
068/080,Aipom,Colorless,Common
069/080,Ambipom,Colorless,Rare
070/080,Kyogre & Groudon LEGEND,WaterFighting,Rare Holo LEGEND
071/080,Kyogre & Groudon LEGEND,WaterFighting,Rare Holo LEGEND
072/080,Palkia & Dialga LEGEND,WaterMetal,Rare Holo LEGEND
073/080,Palkia & Dialga LEGEND,WaterMetal,Rare Holo LEGEND
074/080,Rayquaza & Deoxys LEGEND,ColorlessPsychic,Rare Holo LEGEND
075/080,Rayquaza & Deoxys LEGEND,ColorlessPsychic,Rare Holo LEGEND
076/080,Junk Arm,I,Uncommon
077/080,Black Belt,Su,Uncommon
078/080,Twins,Su,Uncommon
079/080,Indigo Plateau,St,Uncommon
080/080,Rescue Energy,Colorless E,Uncommon
081/080,Alph Lithograph,I,—
