No.,Card name,Type,Rarity
001/066,Dwebble,Grass,C
002/066,Crustle,Grass,C
003/066,Karrablast,Grass,C
004/066,Foongus,Grass,C
005/066,Amoonguss,Grass,C
006/066,Shelmet,Grass,C
007/066,Accelgor,Grass,U
008/066,Virizion,Grass,R
009/066,Victini,Fire,R
010/066,Heatmor,Fire,C
011/066,Larvesta,Fire,C
012/066,Volcarona,Fire,U
013/066,Tympole,Water,C
014/066,Palpitoad,Water,C
015/066,Seismitoad,Water,U
016/066,Tirtouga,Water,U
017/066,Carracosta,Water,U
018/066,Vanillite,Water,C
019/066,Vanillish,Water,C
020/066,Vanilluxe,Water,U
021/066,Frillish,Water,C
022/066,Jellicent,Water,U
023/066,Cryogonal,Water,U
024/066,Kyurem,Water,R
025/066,Tynamo,Lightning,C
026/066,Eelektrik,Lightning,U
027/066,Eelektross,Lightning,R
028/066,Yamask,Psychic,C
029/066,Cofagrigus,Psychic,U
030/066,Trubbish,Psychic,C
031/066,Garbodor,Psychic,C
032/066,Elgyem,Psychic,C
033/066,Beheeyem,Psychic,U
034/066,Litwick,Psychic,C
035/066,Lampent,Psychic,C
036/066,Chandelure,Psychic,U
037/066,Gigalith,Fighting,U
038/066,Conkeldurr,Fighting,U
039/066,Archen,Fighting,U
040/066,Archeops,Fighting,U
041/066,Stunfisk,Fighting,C
042/066,Mienfoo,Fighting,C
043/066,Mienshao,Fighting,C
044/066,Golett,Fighting,C
045/066,Golurk,Fighting,U
046/066,Terrakion,Fighting,R
047/066,Landorus,Fighting,R
048/066,Pawniard,Darkness,C
049/066,Bisharp,Darkness,U
050/066,Deino,Darkness,C
051/066,Zweilous,Darkness,C
052/066,Hydreigon,Darkness,R
053/066,Escavalier,Metal,U
054/066,Durant,Metal,C
055/066,Cobalion,Metal,R
056/066,Axew,Colorless,C
057/066,Fraxure,Colorless,C
058/066,Haxorus,Colorless,R
059/066,Druddigon,Colorless,U
060/066,Super Rod,I,U
061/066,Xtransceiver,I,U
062/066,Plume Fossil,I,U
063/066,Cover Fossil,I,U
064/066,Rocky Helmet,I,U
065/066,Eviolite,I,U
066/066,N,Su,U
067/066,Virizion,Grass,SR
068/066,Terrakion,Fighting,SR
069/066,Cobalion,Metal,SR
070/066,Victini,Fire,SR
071/066,N,Su,SR
072/066,Meowth,Colorless,UR
