No.,Card name,Type,Rarity
001/069,Bulbasaur,Grass,C
002/069,Ivysaur,Grass,C
003/069,Venusaur,Grass,R
004/069,Carnivine,Grass,U
005/069,Karrablast,Grass,C
006/069,Shelmet,Grass,C
007/069,Accelgor,Grass,U
008/069,Flareon,Fire,C
009/069,EnteiEX,Fire,R
010/069,Torchic,Fire,C
011/069,Combusken,Fire,C
012/069,Blaziken,Fire,R
013/069,Heatmor,Fire,U
014/069,Larvesta,Fire,C
015/069,Volcarona,Fire,R
016/069,Slowpoke,Water,C
017/069,Slowbro,Water,U
018/069,Vaporeon,Water,C
019/069,Piplup,Water,C
020/069,Prinplup,Water,C
021/069,Empoleon,Water,R
022/069,Ducklett,Water,C
023/069,Swanna,Water,U
024/069,Jolteon,Lightning,C
025/069,RaikouEX,Lightning,R
026/069,Plusle,Lightning,C
027/069,Minun,Lightning,C
028/069,Joltik,Lightning,C
029/069,Galvantula,Lightning,U
030/069,Tynamo,Lightning,C
031/069,Eelektrik,Lightning,C
032/069,Eelektross,Lightning,R
033/069,Espeon,Psychic,U
034/069,Slowking,Psychic,U
035/069,Woobat,Psychic,C
036/069,Swoobat,Psychic,C
037/069,Yamask,Psychic,C
038/069,Cofagrigus,Psychic,U
039/069,Aerodactyl,Fighting,U
040/069,Drilbur,Fighting,C
041/069,Excadrill,Fighting,U
042/069,Umbreon,Darkness,U
043/069,Sableye,Darkness,U
044/069,DarkraiEX,Darkness,R
045/069,Sandile,Darkness,C
046/069,Krokorok,Darkness,C
047/069,Krookodile,Darkness,R
048/069,Zorua,Darkness,C
049/069,Zoroark,Darkness,R
050/069,Vullaby,Darkness,C
051/069,Mandibuzz,Darkness,C
052/069,Escavalier,Metal,U
053/069,Klink,Metal,C
054/069,Klang,Metal,C
055/069,Klinklang,Metal,R
056/069,Chansey,Colorless,C
057/069,Blissey,Colorless,R
058/069,Eevee,Colorless,C
059/069,Lillipup,Colorless,C
060/069,Herdier,Colorless,C
061/069,Stoutland,Colorless,U
062/069,TornadusEX,Colorless,R
063/069,Enhanced Hammer,I,U
064/069,Dark Patch,I,U
065/069,Rare Candy,I,U
066/069,Old Amber Aerodactyl,I,U
067/069,Dark Claw,I,U
068/069,Hooligans Jim & Cas,Su,U
069/069,Twist Mountain,St,U
070/069,EnteiEX,Fire,SR
071/069,RaikouEX,Lightning,SR
072/069,DarkraiEX,Darkness,SR
073/069,TornadusEX,Colorless,SR
074/069,Gardevoir,Psychic,UR
075/069,Archeops,Fighting,UR
076/069,Pokémon Catcher,I,UR
