No.,Card name,Type,Rarity
001/050,Yanma,Grass,C
002/050,Yanmega,Grass,U
003/050,Wurmple,Grass,C
004/050,Silcoon,Grass,C
005/050,Beautifly,Grass,U
006/050,Cascoon,Grass,C
007/050,Roselia,Grass,C
008/050,Roserade,Grass,U
009/050,Vulpix,Fire,C
010/050,Ninetales,Fire,R
011/050,Wailmer,Water,C
012/050,Wailord,Water,R
013/050,Buizel,Water,C
014/050,Floatzel,Water,U
015/050,Tympole,Water,C
016/050,Palpitoad,Water,U
017/050,Seismitoad,Water,U
018/050,Alomomola,Water,C
019/050,Mareep,Lightning,C
020/050,Flaaffy,Lightning,C
021/050,Ampharos,Lightning,R
022/050,MewEX,Psychic,R
023/050,Dustox,Psychic,U
024/050,Drifloon,Psychic,C
025/050,Drifblim,Psychic,U
026/050,Sigilyph,Psychic,R
027/050,Trubbish,Psychic,C
028/050,Garbodor,Psychic,R
029/050,Baltoy,Fighting,C
030/050,Claydol,Fighting,U
031/050,Stunfisk,Fighting,C
032/050,TerrakionEX,Fighting,R
033/050,Murkrow,Darkness,C
034/050,Honchkrow,Darkness,U
035/050,Aron,Metal,C
036/050,Lairon,Metal,C
037/050,Aggron,Metal,R
038/050,Durant,Metal,C
039/050,GiratinaEX,Dragon,R
040/050,Deino,Dragon,C
041/050,Zweilous,Dragon,U
042/050,Hydreigon,Dragon,R
043/050,Aipom,Colorless,C
044/050,Ambipom,Colorless,U
045/050,Bidoof,Colorless,C
046/050,Bibarel,Colorless,U
047/050,Audino,Colorless,C
048/050,Devolution Spray,I,U
049/050,Rescue Scarf,I,U
050/050,Blend Energy GRPD,Colorless E,U
051/050,MewEX,Psychic,SR
052/050,TerrakionEX,Fighting,SR
053/050,GiratinaEX,Dragon,SR
054/050,Reuniclus,Psychic,UR
055/050,Rayquaza,Dragon,UR
