No.,Card name,Type,Rarity
001/059,Tangela,Grass,C
002/059,Tangrowth,Grass,R
003/059,Scyther,Grass,C
004/059,CelebiEX,Grass,R
005/059,Sewaddle,Grass,C
006/059,Swadloon,Grass,C
007/059,Leavanny,Grass,U
008/059,Petilil,Grass,C
009/059,Lilligant,Grass,U
010/059,Numel,Fire,C
011/059,Camerupt,Fire,U
012/059,Squirtle,Water,C
013/059,Wartortle,Water,C
014/059,Blastoise,Water,R
015/059,Psyduck,Water,C
016/059,Golduck,Water,U
017/059,Ducklett,Water,C
018/059,Swanna,Water,U
019/059,KeldeoEX,Water,R
020/059,Electabuzz,Lightning,C
021/059,Electivire,Lightning,R
022/059,Joltik,Lightning,C
023/059,Galvantula,Lightning,U
024/059,Duskull,Psychic,C
025/059,Dusclops,Psychic,U
026/059,Dusknoir,Psychic,R
027/059,Croagunk,Psychic,C
028/059,Toxicroak,Psychic,U
029/059,Woobat,Psychic,C
030/059,Swoobat,Psychic,U
031/059,Sandshrew,Fighting,C
032/059,Sandslash,Fighting,C
033/059,Solrock,Fighting,U
034/059,Timburr,Fighting,C
035/059,Gurdurr,Fighting,U
036/059,Conkeldurr,Fighting,U
037/059,Dwebble,Fighting,C
038/059,Crustle,Fighting,R
039/059,Scizor,Metal,R
040/059,Skarmory,Metal,C
041/059,White KyuremEX,Dragon,R
042/059,Ditto,Colorless,R
043/059,Dunsparce,Colorless,C
044/059,Whismur,Colorless,C
045/059,Loudred,Colorless,C
046/059,Exploud,Colorless,U
047/059,Skitty,Colorless,C
048/059,Delcatty,Colorless,U
049/059,Patrat,Colorless,C
050/059,Watchog,Colorless,C
051/059,Lillipup,Colorless,C
052/059,Herdier,Colorless,C
053/059,Stoutland,Colorless,R
054/059,Bicycle,I,U
055/059,Ether,I,U
056/059,Skyla,Su,U
057/059,Aspertia City Gym,St,U
058/059,Computer Search,I,R
059/059,Crystal Edge,I,R
060/059,CelebiEX,Grass,SR
061/059,KeldeoEX,Water,SR
062/059,White KyuremEX,Dragon,SR
063/059,Bianca,Su,SR
064/059,Terrakion,Fighting,UR
065/059,Altaria,Dragon,UR
