No.,Card name,Type,Rarity
001/059,Oddish,Grass,C
002/059,Gloom,Grass,C
003/059,Vileplume,Grass,R
004/059,Bellossom,Grass,U
005/059,Heracross,Grass,C
006/059,Combee,Grass,C
007/059,Vespiquen,Grass,U
008/059,Cottonee,Grass,C
009/059,Whimsicott,Grass,U
010/059,Charmander,Fire,C
011/059,Charmeleon,Fire,C
012/059,Charizard,Fire,R
013/059,Darumaka,Fire,C
014/059,Darmanitan,Fire,U
015/059,Marill,Water,C
016/059,Azumarill,Water,C
017/059,Swinub,Water,C
018/059,Piloswine,Water,U
019/059,Mamoswine,Water,U
020/059,Delibird,Water,C
021/059,Frillish,Water,C
022/059,Jellicent,Water,U
023/059,Blitzle,Lightning,C
024/059,Zebstrika,Lightning,R
025/059,Spoink,Psychic,C
026/059,Grumpig,Psychic,U
027/059,CresseliaEX,Psychic,R
028/059,Munna,Psychic,C
029/059,Musharna,Psychic,U
030/059,Venipede,Psychic,C
031/059,Whirlipede,Psychic,C
032/059,Scolipede,Psychic,R
033/059,Meloetta,Psychic,R
034/059,Gligar,Fighting,C
035/059,Gliscor,Fighting,R
036/059,Trapinch,Fighting,C
037/059,Lunatone,Fighting,U
038/059,Mienfoo,Fighting,C
039/059,Mienshao,Fighting,C
040/059,LandorusEX,Fighting,R
041/059,Purrloin,Darkness,C
042/059,Liepard,Darkness,R
043/059,Vibrava,Dragon,U
044/059,Flygon,Dragon,R
045/059,Black KyuremEX,Dragon,R
046/059,Rattata,Colorless,C
047/059,Raticate,Colorless,U
048/059,Buneary,Colorless,C
049/059,Lopunny,Colorless,C
050/059,Pidove,Colorless,C
051/059,Tranquill,Colorless,C
052/059,Unfezant,Colorless,U
053/059,Audino,Colorless,U
054/059,Escape Rope,I,U
055/059,Town Map,I,U
056/059,Hugh,Su,U
057/059,Virbank City Gym,St,U
058/059,Gold Potion,I,R
059/059,Crystal Wall,I,R
060/059,CresseliaEX,Psychic,SR
061/059,LandorusEX,Fighting,SR
062/059,Black KyuremEX,Dragon,SR
063/059,Cheren,Su,SR
064/059,Golurk,Psychic,UR
065/059,Rocky Helmet,I,UR
